OBJNAME,FIELD,NEW_VALUE,REASON
dw1000m0831,RA,150.228900,NED
dw1000m0831,DEC,-8.530500,NED
dw1002m0642,RA,150.657000,NED
dw1002m0642,DEC,-6.708300,NED
UGC 7242,RA,183.5354,VI
UGC 7242,DEC,66.0902,VI
GALEXASC J091730.10+262729.8,RA,139.37553295495766,VI
GALEXASC J091730.10+262729.8,DEC,26.458587025567933,VI
GALEXASC J091730.10+262729.8,DIAM,0.58680165,VI
GALEXASC J091730.10+262729.8,BA,0.7422832,VI
GALEXASC J091730.10+262729.8,PA,146.44102,VI
2dFGRS S345Z154,RA,345.94052578873976,VI
2dFGRS S345Z154,DEC,-30.461483736832086,VI
2dFGRS S345Z154,DIAM,0.9240345,VI
2dFGRS S345Z154,BA,0.675193,VI
2dFGRS S345Z154,PA,176.77347,VI
