OBJNAME,FIELD,NEW_VALUE,REASON
NGC 2146,RA,94.6647,VI
NGC 2146,DEC,78.3568,VI
WISEA J065705.89+462434.4,RA,104.2744,VI
WISEA J065705.89+462434.4,DEC,46.4100,VI
WISEA J065806.09+554139.3,RA,104.5254,VI
WISEA J065806.09+554139.3,DEC,55.6943,VI
I Zw 015,RA, 128.0569,VI
I Zw 015,DEC,55.8656,VI
WISEA J085939.95+294120.7,RA,134.9164,VI
WISEA J085939.95+294120.7,DEC,29.6892,VI
MCG +09-15-079,RA,135.3831,VI
MCG +09-15-079,DEC,50.6173,VI
CGCG 196-071,RA,247.0833,VI
CGCG 196-071,DEC,38.8114,VI
MCG +08-30-019,RA,247.4096,VI
MCG +08-30-019,DEC,50.1689,VI
WISEA J011227.10-490340.3,RA,18.1124,VI
WISEA J011227.10-490340.3,DEC,-49.0611,VI
LCRS B021941.4-383652,RA,35.4358,VI
LCRS B021941.4-383652,DEC,-38.3874,VI
WISEA J022527.91-293240.0,RA,36.3662,VI
WISEA J022527.91-293240.0,DEC,-29.5441,VI
MCG +01-08-021,RA,44.0194,VI
MCG +01-08-021,DEC,8.0297,VI
WISEA J000655.05-000358.6,RA,1.7289,VI
WISEA J000655.05-000358.6,DEC,-0.0658,VI
WISEA J031145.00-424251.7,RA,47.9370,VI
WISEA J031145.00-424251.7,DEC,-42.7148,VI
PGC 954398,RA, 50.5746,VI
PGC 954398,DEC,-12.3315,VI
WISEA J033015.64-022408.8,RA,52.5652,VI
WISEA J033015.64-022408.8,DEC,-2.4021,VI
ESO 004- G 010,DIAM,2.5,VI
APMUKS(BJ) B040312.24-493907.8,RA,61.1561,VI
APMUKS(BJ) B040312.24-493907.8,DEC,-49.5178,VI
APMUKS(BJ) B040312.24-493907.8,BA,0.8,VI
APMUKS(BJ) B040312.24-493907.8,DIAM,0.6,VI
WISEA J042453.83-631953.1,RA,66.2249,VI
WISEA J042453.83-631953.1,DEC,-63.3315,VI
WISEA J042453.83-631953.1,BA,0.9,VI
UGCA 109,RA,79.7559,VI
UGCA 109,DEC,-21.5440,VI
WISEA J060107.45-294714.4,RA,90.2811,VI
WISEA J060107.45-294714.4,DEC,-29.7873,VI
WISEA J064649.60-645750.6,DIAM,1.6,VI
WISEA J080224.72+093549.9,DIAM,1.5,VI
WISEA J084248.50-170812.6,RA,130.7032,VI
WISEA J084248.50-170812.6,DEC,-17.1369,VI
WISEA J094034.27-695608.8,RA,145.1429,VI
WISEA J094034.27-695608.8,DEC,-69.9362,VI
WISEA J094125.53-155526.7,RA,145.3559,VI
WISEA J094125.53-155526.7,DEC,-15.9239,VI
2MFGC 07748,RA,150.2055,VI
2MFGC 07748,DEC,-1.3240,VI
WISEA J102512.06-304744.2,RA,156.3012,VI
WISEA J102512.06-304744.2,DEC,-30.7959,VI
WISEA J102834.17+030127.1,RA,157.1427,VI
WISEA J102834.17+030127.1,DEC,3.0238,VI
PGC 665383,RA,159.0063,VI
PGC 665383,DEC,-34.2246,VI
WISEA J103707.15-313745.4,RA,159.2800,VI
WISEA J103707.15-313745.4,DEC,-31.6294,VI
2MASX J12202880-3231185,RA,185.1211,VI
2MASX J12202880-3231185,DEC,-32.5222,VI
2MASX J12202880-3231185,PA,5.0,VI
VCC 1042,RA,186.9393,VI
VCC 1042,DEC,12.8730,VI
ESO 218- G 009,RA,189.6604,VI
ESO 218- G 009,DEC,-48.6980,VI
ESO 218- G 009,PA,135.0,VI
PGC1230597,RA,197.3669,VI
PGC1230597,DEC,2.5548,VI
FLASH J131810.49-343254.7,RA,199.5432,VI
FLASH J131810.49-343254.7,DEC,-34.5486,VI
WISEA J133340.88-312000.4,RA,203.4207,VI
WISEA J133340.88-312000.4,DEC,-31.3329,VI
WISEA J133823.92-391427.3,RA,204.5997,VI
WISEA J133823.92-391427.3,DEC,-39.2413,VI
WISEA J135145.35-482744.1,RA,207.9388,VI
WISEA J135145.35-482744.1,DEC,-48.4631,VI
WKK 3842,RA,210.3334,VI
WKK 3842,DEC,-51.6516,VI
NGC 5591 NED01,PA,50.0,VI
NGC 5591 NED01,DIAM,1.5,VI
WISEA J154450.56-371403.1,RA,236.2101,VI
WISEA J154450.56-371403.1,DEC,-37.2348,VI
CGCG 050-120,RA,238.6216,VI
CGCG 050-120,DEC,7.5137,VI
ESO 069- G 013,RA,252.8718,VI
ESO 069- G 013,DEC,-69.0030,VI
ESO 044- G 010,DIAM,2.1,VI
WISEA J173544.85-622802.1,RA,263.9388,VI
WISEA J173544.85-622802.1,DEC,-62.4667,VI
ESO 102-IG 011,RA,265.4038,VI
ESO 102-IG 011,DEC,-63.1395,VI
CGCG 141-008,RA,266.4046,VI
CGCG 141-008,DEC,22.2238,VI
PGC 330915,RA,266.4233,VI
PGC 330915,DEC,-63.5996,VI
PGC 330915,PA,160.0,VI
WISEA J181048.93+302716.5,RA,272.7036,VI
WISEA J181048.93+302716.5,DEC,30.4558,VI
WISEA J181048.93+302716.5,PA,45.0,VI
WISEA J182907.52-475029.7,RA,277.2789,VI
WISEA J182907.52-475029.7,DEC,-47.8422,VI
PGC 397885,RA,278.2179,VI
PGC 397885,DEC,-56.7059,VI
WISEA J184132.17-524750.3,RA,280.3858,VI
WISEA J184132.17-524750.3,DEC,-52.7973,VI
2MASS J18473827-6716372,RA,281.9121,VI
2MASS J18473827-6716372,DEC,-67.2766,VI
WISEA J190839.13-510306.9,RA,287.1636,VI
WISEA J190839.13-510306.9,DEC,-51.0538,VI
PGC 223615,RA,291.1561,VI
PGC 223615,DEC,-82.2859,VI
PGC 223615,PA,0.0,VI
FGCE 1380,RA,292.9637,VI
FGCE 1380,DEC,-32.0504,VI
FGCE 1380,PA,90.0,VI
FGCE 1391,RA,295.7347,VI
FGCE 1391,DEC,-67.5541,VI
2MASXi J2004576-261228,RA,301.2415,VI
2MASXi J2004576-261228,DEC,-26.2078,VI
FGCE 1437,RA,302.7237,VI
FGCE 1437,DEC,-48.9183,VI
2MASX J20225255-8341278,RA,305.720114,VI
2MASX J20225255-8341278,DEC,-83.691209,VI
WISEA J202308.25+013117.5,RA,305.7856,VI
WISEA J202308.25+013117.5,DEC,1.5201,VI
ESO 528-IG 002 NED01,RA,306.1649,VI
ESO 528-IG 002 NED01,DEC,-23.1125,VI
ESO 528-IG 002 NED01,DIAM,0.5,VI
2MASS J20384676-5033142,RA,309.6918,VI
