OBJNAME,REGION,RA,DEC,DIAM,PA,BA,MAG,REASON
ESO112-008,dr11-south,8.335154030539513,-61.29483475697393,0.756,94.4,0.726,16.128,SGA2020 dropped
PGC1148248,dr11-south,48.44931768782753,-0.24339070130379103,0.759,80.0,0.245,18.240,SGA2020 dropped
PGC1219013,dr11-south,318.8029566132882,2.1931492899094,0.703,50.0,0.629,16.760,SGA2020 dropped
IC2860,dr11-south,172.1858247061296,14.041856457000442,0.725,158.4,0.743,16.640,SGA2020 dropped
IC4025,dr11-south,195.11814738073042,19.105022159447174,0.3,153.3,0.664,16.600,SGA2020 dropped
PGC002153,dr11-south,8.99429998348198,-10.139826774624508,0.796,46.3,0.446,16.657,SGA2020 dropped
PGC064267,dr11-south,303.0959088788203,-56.84003123253818,0.745,173.9,0.458,16.160,SGA2020 dropped
PGC198197,dr11-south,12.09098827868526,-25.12687956302816,0.899,58.3,0.621,16.350,SGA2020 dropped
NGC2944,dr11-south,144.82495342421905,32.310782499688216,1.487,97.9,0.357,14.879,SGA2020 dropped
PGC083335,dr11-south,161.6621163848341,11.765239544067416,0.824,69.0,0.805,15.467,SGA2020 dropped
NGC3439,dr11-south,163.107192156321,8.557603456982157,0.795,142.5,0.685,15.200,SGA2020 dropped
PGC169320,dr11-south,186.8796763320197,12.95176353963951,0.748,178.3,0.482,17.739,SGA2020 dropped
PGC095401,dr11-south,335.1529215527317,-55.12853574903977,0.781,134.4,0.291,16.100,SGA2020 dropped
PGC016463,dr11-south,74.68701242630092,-27.88823663655762,0.708,73.8,0.516,16.450,SGA2020 dropped
PGC1825335,dr11-south,118.48654002775139,28.06536082984675,0.991,127.3,0.253,18.273,SGA2020 dropped
PGC040340,dr11-south,186.0570519676145,14.929033298877817,0.774,106.7,0.690,19.223,SGA2020 dropped
PGC046778,dr11-south,200.8476975069848,0.4553971041082939,0.800,73.7,0.605,17.378,SGA2020 dropped
PGC047671,dr11-south,203.18790646644712,10.005252239852265,0.714,42.5,0.354,16.573,SGA2020 dropped
PGC055006,dr11-south,231.10442585879315,3.6369947531419045,0.759,35.9,0.552,15.910,SGA2020 dropped
PGC089132,dr11-south,312.8357812442923,-52.09864773927741,0.740,124.8,0.187,18.320,SGA2020 dropped
PGC1463599,dr11-south,351.14181065922355,14.654288787740652,0.722,125.0,0.626,17.257,SGA2020 dropped
PGC095587,dr11-south,81.49846808838738,-25.260383537912723,0.792,12.6,0.489,16.450,SGA2020 dropped
PGC1001582,dr11-south,164.4824211952886,-8.601166150316967,0.899,8.1,0.545,16.100,SGA2020 dropped
PGC1009975,dr11-south,325.17185124472576,-7.987709723246775,0.716,46.9,0.171,18.687,SGA2020 dropped
PGC1059038,dr11-south,202.1868207785177,-4.375508890645424,0.897,168.8,0.199,17.770,SGA2020 dropped
PGC1066378,dr11-south,177.78812525742663,-3.8260525198964705,0.711,150.2,0.195,18.710,SGA2020 dropped
PGC1082681,dr11-south,209.69622070576068,-2.7945513572719203,0.716,146.5,0.404,17.510,SGA2020 dropped
PGC1098723,dr11-south,228.2271919536337,-2.2065170390316142,0.736,172.9,0.216,18.719,SGA2020 dropped
