# Custom external galaxy catalog, containing objects missing from HyperLeda, NED-LVS, and LVD.
# diameter is in arcmin
#
# LVD's Dw1245+6158:
#   ,SMDG J1245495+615810,191.45623,61.96947,0.4593333333333333,0.4,67.79,17.71,r,Row 4871 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's KK 166:
#   ,SMDG J1249122+353645,192.30065,35.61258,0.399,0.84,67.09,18.58,r,Row 4952 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's KK 193:
#  ,SMDG J1315298+413008,198.87417,41.50223,0.39866666666666667,0.77,299.17,18.14,r,Row 5316 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's NGC 4631-dw3:
#  ,SMDG J1242530+322721,190.72097,32.45592,0.4233333333333333,0.9,81.86,19.28,r,Row 4788 in 'SMUDGes_catalog.6_23.ascii'
#
# Super-faint!
#   ,SMDG J0130373-195118,22.65546,-19.85495,2.2623333333333333,0.48,89.53,17.63,r,Row 617 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J0151087-141129,27.7863,-14.19137,1.3086666666666666,0.78,333.63,17.1,r,Row 746 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J0441370-014216,70.40414,-1.70431,1.3286666666666667,0.66,332.62,17.72,r,Row 1933 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J1225544+140829,186.47664,14.14138,1.29,0.6,59.07,17.61,r,Row 4106 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J1230495+133018,187.70627,13.50494,0.44033333333333335,0.81,309.33,18.42,r,Row 4370 in 'SMUDGes_catalog.6_23.ascii'
#
# Shreds of UGC 05706:
# ,SMDG J1031105+343018,157.79394,34.50495,0.7579999999999999,0.74,280.3,16.43,r,Row 2806 in 'SMUDGes_catalog.6_23.ascii'
# ,SMDG J1031120+343013,157.79989,34.50348,0.6716666666666666,0.89,286.53,16.25,r,Row 2807 in 'SMUDGes_catalog.6_23.ascii'
#
objname,objname_ned,ra,dec,diam,ba,pa,mag,mag_band,essential_note
,SMDG J0342551-352036,55.72956,-35.34344,0.3173333333333333,0.59,313.75,18.73,r,Row 1636 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343006-215649,55.75252,-21.94687,0.4,0.82,343.11,17.67,r,Row 1639 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343231-344144,55.84634,-34.69545,0.35033333333333333,0.89,310.37,17.81,r,Row 1643 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343245-370631,55.85202,-37.10868,0.2983333333333333,0.61,352.7,19.46,r,Row 1644 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343330-360022,55.88756,-36.00618,0.3383333333333333,0.51,309.99,19.16,r,Row 1645 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343355-354028,55.89771,-35.67438,0.303,0.78,325.83,19.62,r,Row 1647 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343376-344636,55.90653,-34.7766,0.3556666666666667,0.61,10.76,20.13,r,Row 1648 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343397-351258,55.91546,-35.21622,0.312,0.45,347.62,19.03,r,Row 1649 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343481-533037,55.95044,-53.51022,0.2793333333333334,0.67,293.09000000000003,18.22,r,Row 1650 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0343488-353732,55.95339,-35.62549,0.49,0.38,8.44,18.38,r,Row 1651 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0344180-412903,56.07492,-41.48411,0.8793333333333333,0.66,278.55,17.77,r,Row 1653 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0344301-351043,56.12543,-35.1786,0.3016666666666667,0.76,304.01,18.15,r,Row 1654 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0344393-355857,56.16355,-35.98253,0.4266666666666667,0.77,86.09,17.5,r,Row 1656 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0344441-544124,56.18371,-54.68988,0.3203333333333333,0.9,342.28,17.42,r,Row 1657 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0344507-383340,56.2114,-38.56102,0.25833333333333336,0.78,80.18,18.65,r,Row 1659 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0344548-362950,56.22834,-36.49711,0.311,0.54,281.83,19.35,r,Row 1660 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345088-363854,56.28646,-36.64844,1.0113333333333334,0.95,357.88,17.61,r,Row 1662 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345097-223826,56.29054,-22.64046,0.798,0.6,53.61,19.09,r,Row 1663 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345106-232201,56.29428,-23.36689,0.266,0.9,314.03,19.45,r,Row 1665 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345171-365826,56.32123,-36.97402,0.29100000000000004,0.5,271.88,18.97,r,Row 1666 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345309-343019,56.37883,-34.50527,0.392,0.76,30.56,18.2,r,Row 1668 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345329-345906,56.38723,-34.98505,0.3266666666666667,0.97,348.21,19.24,r,Row 1669 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345451-315538,56.43796,-31.92733,0.433,0.51,310.1,18.69,r,Row 1674 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345542-401157,56.47589,-40.19913,0.3093333333333333,0.56,69.27,18.98,r,Row 1675 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0345567-353625,56.48639,-35.607,0.32166666666666666,0.65,70.47,19.98,r,Row 1676 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0346083-364919,56.53463,-36.82191,0.4873333333333333,0.91,83.96,17.37,r,Row 1678 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0346208-382355,56.58686,-38.3986,0.253,0.78,295.35,18.54,r,Row 1679 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0347090-412151,56.78733,-41.36428,0.30566666666666664,0.67,337.11,18.56,r,Row 1682 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0347170-343758,56.82098,-34.63278,0.39299999999999996,0.77,86.64,18.61,r,Row 1683 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0347179-570127,56.82455,-57.02418,0.252,0.55,293.65,19.94,r,Row 1684 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0347353-380041,56.8969,-38.01126,0.27166666666666667,0.91,76.72,20.38,r,Row 1685 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0347467-391558,56.94468,-39.26614,0.3943333333333333,0.84,290.86,18.41,r,Row 1686 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0348020-210351,57.00839,-21.06407,0.34700000000000003,0.85,51.1,18.41,r,Row 1691 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0348043-364446,57.01791,-36.74625,0.31466666666666665,0.57,337.77,17.94,r,Row 1692 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0348084-380015,57.03518,-38.0042,0.2786666666666667,0.72,12.42,20.07,r,Row 1693 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0348219-360624,57.09124,-36.10657,0.4326666666666667,0.65,328.34,17.99,r,Row 1694 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0349116-390407,57.29851,-39.06848,0.417,0.67,348.57,18.66,r,Row 1695 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0349125-365826,57.30191,-36.9739,0.4656666666666667,0.96,293.11,17.03,r,Row 1696 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0350061-231556,57.52546,-23.2655,0.25366666666666665,0.83,314.94,19.61,r,Row 1700 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0350094-362439,57.53901,-36.41085,0.28933333333333333,0.52,1.2,19.93,r,Row 1701 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0350165-384602,57.56855,-38.76732,0.2823333333333334,0.56,329.15,18.82,r,Row 1702 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0350300-410337,57.62513,-41.06014,0.29533333333333334,0.98,315.32,19.53,r,Row 1704 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0350319-375918,57.63278,-37.98828,0.5186666666666667,0.75,337.11,18.47,r,Row 1705 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0351012-364101,57.75505,-36.68352,0.3923333333333333,0.56,299.88,17.45,r,Row 1708 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0351248-352833,57.8535,-35.47579,0.30966666666666665,0.53,297.12,19.03,r,Row 1710 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0351252-335055,57.85504,-33.84862,0.3506666666666666,0.51,23.99,18.84,r,Row 1711 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0352406-150812,58.16913,-15.13664,0.2876666666666667,0.47,76.47,20.94,r,Row 1716 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0353011-435740,58.25471,-43.96099,0.306,0.67,5.77,18.14,r,Row 1718 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0354276-370830,58.61504,-37.14175,0.42833333333333334,0.69,40.5,17.82,r,Row 1720 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0354428-363231,58.67839,-36.54207,0.448,0.89,7.37,18.38,r,Row 1721 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0356159-531217,59.06632,-53.20466,0.33699999999999997,0.43,57.12,19.26,r,Row 1724 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0356358-261434,59.14914,-26.24291,0.29566666666666663,0.59,336.32,18.07,r,Row 1725 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0356408-350141,59.16983,-35.02806,0.3453333333333333,0.81,322.44,17.27,r,Row 1726 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0356524-400901,59.21847,-40.15038,0.263,0.78,359.66,19.49,r,Row 1727 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0357036-331523,59.26497,-33.25646,0.351,0.78,322.12,17.51,r,Row 1728 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0357213-184931,59.3386,-18.82523,0.32599999999999996,0.54,300.92,19.74,r,Row 1731 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0357216-370445,59.34005,-37.07904,0.2846666666666666,0.63,316.54,20.72,r,Row 1732 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0358138-614421,59.5574,-61.73911,0.275,0.87,327.94,19.24,r,Row 1734 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0400435-613000,60.18113,-61.49976,0.26966666666666667,0.7,50.77,19.79,r,Row 1741 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0400466-610908,60.1942,-61.15213,0.2903333333333334,0.95,67.87,18.24,r,Row 1742 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0401180-431954,60.32484,-43.33165,0.324,0.83,309.28,19.29,r,Row 1743 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0401598-530403,60.49909,-53.06762,0.25433333333333336,0.9,70.17,17.98,r,Row 1746 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0403125-385549,60.80225,-38.93025,0.2673333333333333,0.63,80.27,18.42,r,Row 1749 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0404418-551856,61.17434,-55.31557,0.32599999999999996,0.72,318.55,18.09,r,Row 1756 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0406337-334544,61.64044,-33.76222,0.25666666666666665,0.69,40.81,18.69,r,Row 1760 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0406539-480442,61.72462,-48.07824,0.27599999999999997,0.73,87.61,18.5,r,Row 1762 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0408148-434031,62.06169,-43.6752,0.5353333333333333,0.7,67.32,18.64,r,Row 1764 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0408335-592922,62.13971,-59.48934,0.25633333333333336,0.58,56.13,20.59,r,Row 1767 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0409020-332152,62.25847,-33.36446,0.25633333333333336,0.41,60.34,20.06,r,Row 1769 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0409027-204720,62.26116,-20.7888,0.4376666666666667,0.6,33.4,19.62,r,Row 1770 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0409090-324801,62.28767,-32.80022,0.309,0.62,63.13,17.81,r,Row 1771 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0410270-381857,62.61234,-38.31574,0.255,0.53,297.4,20.9,r,Row 1778 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0410494-152748,62.70578,-15.46321,0.2776666666666667,0.79,310.1,19.62,r,Row 1780 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0411151-330445,62.81277,-33.07927,0.31533333333333335,0.84,57.7,17.83,r,Row 1781 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0411281-535656,62.86721,-53.94898,0.308,0.55,305.5,18.32,r,Row 1783 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0411383-330711,62.9095,-33.11985,0.4166666666666667,0.59,357.58,19.46,r,Row 1784 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0413248-553854,63.35315,-55.64828,0.286,0.56,59.97,19.0,r,Row 1788 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0413276-590718,63.36518,-59.12172,0.284,0.95,16.62,18.68,r,Row 1789 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0413445-134554,63.43522,-13.76487,0.44133333333333336,0.72,271.44,17.55,r,Row 1790 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0413500-035630,63.45828,-3.9416,0.26466666666666666,0.51,321.57,19.26,r,Row 1791 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0414445-552456,63.68534,-55.41549,1.2206666666666666,0.82,89.97,16.57,r,Row 1797 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0415044-555618,63.76829,-55.93824,0.5093333333333333,0.53,330.33,17.61,r,Row 1798 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0415101-380141,63.7919,-38.02795,0.312,0.51,56.3,20.51,r,Row 1800 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0415500-544007,63.95851,-54.66855,0.311,0.59,299.76,18.06,r,Row 1803 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0416030-380232,64.01252,-38.04218,0.2903333333333334,0.93,19.31,19.88,r,Row 1805 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0416071-552212,64.02944,-55.37009,0.5096666666666666,0.69,299.40999999999997,17.58,r,Row 1806 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0416136-432036,64.05672,-43.34325,0.4516666666666667,0.67,78.6,17.14,r,Row 1809 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0418045-554528,64.51871,-55.75778,0.5016666666666667,0.76,5.57,17.18,r,Row 1816 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0418182-270134,64.57565,-27.02617,0.353,0.74,62.98,19.39,r,Row 1817 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0418189-312421,64.57862,-31.40575,0.32966666666666666,0.39,31.64,18.77,r,Row 1818 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0419293-553902,64.87219,-55.65043,0.3346666666666666,0.94,75.38,17.75,r,Row 1822 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0420167-363730,65.06973,-36.6251,0.29233333333333333,0.58,333.09,18.44,r,Row 1828 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0420529-475717,65.22044,-47.95476,0.376,0.51,40.15,18.9,r,Row 1831 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0421412-155004,65.42154,-15.83453,0.27299999999999996,0.52,59.53,20.38,r,Row 1836 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0422210-562141,65.58762,-56.36131,0.26866666666666666,0.85,69.52,18.77,r,Row 1839 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0422332-564111,65.63826,-56.68636,0.32766666666666666,0.61,354.27,18.44,r,Row 1843 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0422384-155130,65.65986,-15.85841,0.29433333333333334,0.8,354.24,18.61,r,Row 1845 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0422529-563728,65.7206,-56.62448,0.39499999999999996,0.48,310.77,17.71,r,Row 1846 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0423090-532217,65.78768,-53.37127,0.481,0.53,83.93,19.56,r,Row 1848 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0423114-570000,65.79761,-56.99993,0.49233333333333335,0.75,42.5,16.75,r,Row 1849 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0423135-434045,65.8064,-43.6791,0.7323333333333333,0.7,66.11,16.79,r,Row 1850 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0423167-434735,65.81975,-43.79293,0.30866666666666664,0.71,11.65,18.63,r,Row 1852 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0423465-492430,65.94374,-49.40837,0.29933333333333334,0.52,3.98,18.77,r,Row 1855 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0424529-565655,66.22025,-56.94859,0.4106666666666667,0.57,292.94,18.08,r,Row 1859 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0425232-122539,66.34657,-12.4276,0.26066666666666666,0.61,24.62,19.13,r,Row 1861 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0425478-424741,66.449,-42.7948,0.31133333333333335,0.68,308.38,19.35,r,Row 1862 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0427054-430423,66.77235,-43.07314,0.5383333333333333,0.41,46.17,18.48,r,Row 1867 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0428221-325630,67.09213,-32.94158,0.28633333333333333,0.56,47.76,18.89,r,Row 1879 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0428239-103454,67.09961,-10.58167,0.356,0.61,273.62,18.54,r,Row 1880 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0428544-474800,67.22654,-47.79985,0.28,0.86,67.31,19.35,r,Row 1886 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0429190-543709,67.329,-54.61922,0.3413333333333333,0.76,300.75,18.9,r,Row 1888 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0429373-534601,67.40551,-53.76692,0.31966666666666665,0.86,352.87,19.98,r,Row 1890 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0430075-575040,67.53111,-57.84447,0.4296666666666667,0.57,69.12,17.68,r,Row 1892 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0430339-052909,67.64142,-5.48582,0.4036666666666667,0.51,69.21,19.28,r,Row 1893 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0431004-545444,67.75162,-54.91235,0.29100000000000004,0.49,284.55,19.94,r,Row 1894 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0431190-530422,67.8293,-53.07285,0.38366666666666666,0.49,22.68,18.74,r,Row 1896 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0431426-612029,67.92732,-61.34152,0.2753333333333333,0.59,7.54,20.37,r,Row 1902 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0431593-494232,67.99706,-49.70895,0.25133333333333335,0.55,13.81,19.78,r,Row 1906 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0432037-041039,68.01521,-4.17751,0.2836666666666667,0.48,336.94,20.09,r,Row 1907 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0432058-542233,68.02397,-54.37591,0.3303333333333333,0.53,278.28,20.15,r,Row 1908 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0432105-044654,68.0437,-4.78167,0.29233333333333333,0.71,353.82,18.32,r,Row 1909 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0432593-581230,68.24707,-58.2084,0.303,0.8,318.94,17.4,r,Row 1912 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0433240-041035,68.3498,-4.17639,0.36933333333333335,0.71,335.94,19.36,r,Row 1914 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0437196-512433,69.33177,-51.40909,0.25633333333333336,0.52,285.73,18.71,r,Row 1924 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0437484-295328,69.45183,-29.8912,0.321,0.74,349.75,17.48,r,Row 1927 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0441599-633227,70.4994,-63.54093,0.3923333333333333,0.62,283.55,17.71,r,Row 1934 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0444125-530404,71.05224,-53.0677,0.28966666666666663,0.59,83.69,18.91,r,Row 1939 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0445553-024229,71.48059,-2.70816,0.25866666666666666,0.67,58.24,19.4,r,Row 1943 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0446340-262350,71.64175,-26.39729,0.38466666666666666,0.46,356.9,18.77,r,Row 1944 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0447139-570828,71.80796,-57.14102,0.385,0.83,281.97,17.21,r,Row 1946 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0447171-591757,71.82131,-59.29913,0.3143333333333333,0.88,328.18,17.64,r,Row 1947 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0448380-584618,72.15849,-58.77168,0.313,0.62,50.49,17.96,r,Row 1948 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0449042-460703,72.26742,-46.1176,0.26266666666666666,0.66,332.27,19.54,r,Row 1949 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0452164-031828,73.0682,-3.30791,0.3953333333333333,0.66,350.84,18.61,r,Row 1958 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0452238-055244,73.09924,-5.87878,0.25366666666666665,0.59,56.65,18.6,r,Row 1960 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0452309-031402,73.12878,-3.23396,0.3446666666666667,0.64,271.15999999999997,19.67,r,Row 1962 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0453540-181150,73.47495,-18.19736,0.262,0.76,321.14,20.15,r,Row 1965 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0454163-043012,73.56773,-4.50337,0.26233333333333336,0.61,58.31,18.57,r,Row 1966 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0455400-033628,73.91684,-3.6079,0.325,0.79,312.63,18.85,r,Row 1973 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0457403-050409,74.41796,-5.06925,0.293,0.71,82.24,19.06,r,Row 1975 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0458506-301030,74.7107,-30.17506,0.2836666666666667,0.42,275.54,19.98,r,Row 1980 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0459164-072243,74.81814,-7.3785,0.31933333333333336,0.61,337.52,18.5,r,Row 1984 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0459293-241357,74.87197,-24.23261,0.25866666666666666,0.65,25.66,19.4,r,Row 1986 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0500012-325444,75.00502,-32.91213,0.338,0.95,348.89,16.98,r,Row 1988 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0500333-294115,75.13877,-29.68754,0.441,0.62,83.36,17.89,r,Row 1990 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0502162-302401,75.56732,-30.40021,0.29233333333333333,0.46,2.64,19.59,r,Row 1993 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0503148-211924,75.81155,-21.32345,0.25033333333333335,0.66,340.12,18.81,r,Row 1996 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0504225-285831,76.09384,-28.97521,0.25933333333333336,0.5,319.87,19.52,r,Row 2001 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0505551-285511,76.47962,-28.91972,0.31933333333333336,0.54,33.86,19.77,r,Row 2005 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0507063-362900,76.77639,-36.48333,0.3236666666666667,0.77,39.94,18.39,r,Row 2010 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0507247-373906,76.85283,-37.65167,0.49033333333333334,0.83,300.49,17.61,r,Row 2012 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0508304-361713,77.1268,-36.28692,0.2573333333333333,0.59,49.36,19.09,r,Row 2014 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0508370-534838,77.15424,-53.81067,0.2846666666666666,0.42,359.29,19.28,r,Row 2015 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0509026-412919,77.26102,-41.48868,0.3413333333333333,0.77,1.34,17.81,r,Row 2017 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0509349-203021,77.39549,-20.50581,0.383,0.66,7.13,18.16,r,Row 2018 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0509384-201250,77.41013,-20.21399,0.28933333333333333,0.98,55.94,18.49,r,Row 2019 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0510285-330112,77.61888,-33.02005,0.6709999999999999,0.48,337.82,16.87,r,Row 2023 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0510293-290504,77.62228,-29.08431,0.412,0.42,70.48,19.85,r,Row 2024 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0510504-371709,77.71012,-37.28577,0.27466666666666667,0.77,317.3,19.98,r,Row 2027 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0512354-445928,78.14754,-44.9911,0.33233333333333337,0.39,43.0,18.63,r,Row 2030 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0513438-283150,78.43261,-28.53059,0.274,0.67,326.01,18.17,r,Row 2032 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0514459-541654,78.69116,-54.28169,0.29333333333333333,0.46,37.3,18.75,r,Row 2033 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0514594-534935,78.74748,-53.82628,0.3106666666666667,0.64,4.36,20.05,r,Row 2034 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0516425-540338,79.17692,-54.06046,0.30533333333333335,0.52,301.21,19.23,r,Row 2038 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0516443-365530,79.18461,-36.92497,0.27466666666666667,0.87,8.64,19.4,r,Row 2039 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0518338-583400,79.64071,-58.56639,0.27066666666666667,0.43,315.58,20.81,r,Row 2041 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0518540-242941,79.72513,-24.49461,0.311,0.87,44.59,19.22,r,Row 2042 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0519008-362127,79.75344,-36.35754,0.25433333333333336,0.76,76.94,20.02,r,Row 2043 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0520056-343910,80.02327,-34.65269,0.26233333333333336,0.51,282.72,19.41,r,Row 2048 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0520238-612428,80.09916,-61.40771,0.29333333333333333,0.56,28.44,18.33,r,Row 2051 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0526038-313303,81.51586,-31.55076,0.267,0.58,21.49,20.34,r,Row 2065 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0526326-301838,81.63603,-30.3105,0.26466666666666666,0.37,285.31,20.4,r,Row 2068 in 'SMUDGes_catalog.6_23.ascii'
,SMDG J0534123-362901,83.55113,-36.48357,0.3236666666666667,0.74,302.12,18.21,r,Row 2078 in 'SMUDGes_catalog.6_23.ascii'
