| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| LV J0843+4025     | 08:43:38.0 | +40:25:47 |  0.33 | 0.58 |
| dw0846+3300       | 08:46:14.2 | +32:59:49 |  0.73 | 0.90 |
| dw0846+3348       | 08:46:31.2 | +33:48:40 |  0.77 | 0.90 |
| dw0848+3226       | 08:48:39.8 | +32:26:38 |  0.26 | 0.95 |
| ESO496-010        | 08:49:06.0 | -26:19:12 |  1.05 | 0.66 |
| AGC182595         | 08:51:12.1 | +27:52:48 |  0.36 | 0.58 |
| UMa II            | 08:51:30.0 | +63:07:48 | 25.30 | 0.50 |
| Dw0852-0210       | 08:52:35.5 | -02:10:41 |  0.73 | 0.97 |
| NGC2683           | 08:52:40.9 | +33:25:02 | 13.49 | 0.24 |
| KK69              | 08:52:50.7 | +33:47:52 |  1.38 | 0.76 |
| NGC2683dw1        | 08:53:26.8 | +33:18:19 |  0.35 | 0.63 |
| N2683dw2          | 08:54:20.5 | +33:14:58 |  0.40 | 0.90 |
| dw0855+3336       | 08:55:10.6 | +33:36:54 |  0.35 | 0.69 |
| KK70              | 08:55:22.0 | +33:33:33 |  0.50 | 0.97 |
| dw0856+3155       | 08:56:25.9 | +31:55:01 |  0.27 | 0.74 |
| KSP-DW1           | 08:56:52.2 | -24:58:05 |  0.38 | 0.54 |
| KSP-DW3           | 08:58:25.5 | -24:44:55 |  0.21 | 0.98 |
| KSP-DW4           | 08:58:29.5 | -25:06:18 |  0.52 | 0.91 |
| UGC04704          | 08:59:00.3 | +39:12:36 |  4.37 | 0.11 |
| LV J0859+3923     | 08:59:46.9 | +39:23:06 |  0.39 | 0.69 |
| PGC025409         | 09:02:50.6 | +71:18:22 |  1.16 | 0.73 |
| LSBC D564-08      | 09:02:54.0 | +20:04:31 |  0.72 | 0.71 |
| ESO497-004        | 09:03:03.1 | -23:48:30 |  1.12 | 0.23 |
| KSP-DW6           | 09:04:02.4 | -22:56:52 |  0.48 | 0.88 |
| HIPASS J0905-36   | 09:06:00.0 | -36:03:36 |  0.50 | 0.75 |
| UGC04787          | 09:07:34.9 | +33:16:36 |  2.45 | 0.28 |
| KKH46             | 09:08:36.6 | +05:17:32 |  0.60 | 0.86 |
| KSP-DW11          | 09:08:53.3 | -23:08:33 |  0.64 | 0.59 |
| LSBC D634-03      | 09:08:53.5 | +14:34:55 |  0.47 | 0.88 |
| KSP-DW12          | 09:09:06.4 | -23:53:58 |  0.14 | 0.61 |
| KK71              | 09:09:10.9 | -23:22:04 |  0.40 | 0.78 |
| DDO056            | 09:09:46.6 | -23:00:33 |  1.29 | 0.70 |
| KSP-DW13          | 09:10:00.0 | -24:10:19 |  0.50 | 0.62 |
| Dw0910+7326       | 09:10:15.6 | +73:26:24 |  2.35 | 0.88 |
| KSP-DW14          | 09:10:25.0 | -24:01:30 |  0.52 | 0.90 |
| Dw0910+6942       | 09:10:42.1 | +69:42:11 |  0.37 | 0.82 |
| KSP-DW15          | 09:11:10.7 | -24:24:41 |  0.54 | 0.93 |
| KSP-DW16          | 09:11:26.9 | -23:08:44 |  0.25 | 0.59 |
| KSP-DW17          | 09:11:36.2 | -23:30:00 |  0.43 | 0.92 |
| KSP-DW18          | 09:11:42.2 | -24:13:29 |  0.22 | 0.71 |
| KK72              | 09:11:42.3 | -23:58:56 |  0.45 | 0.83 |
| NGC2784 dw01      | 09:12:18.5 | -24:12:40 |  0.89 | 0.89 |
| NGC2784           | 09:12:19.4 | -24:10:18 |  5.50 | 0.40 |
| KK73              | 09:12:29.3 | -24:14:28 |  0.62 | 0.62 |
| UGCA153           | 09:13:12.1 | -19:24:31 |  2.24 | 0.60 |
| LV J0913+1937     | 09:13:39.0 | +19:37:08 |  0.54 | 0.45 |
| KK74              | 09:14:32.4 | -23:33:26 |  0.76 | 0.71 |
| KSP-DW20          | 09:14:40.5 | -24:15:10 |  0.43 | 0.80 |
| KSP-DW21          | 09:15:08.4 | -25:02:58 |  0.11 | 0.94 |
| AGC198507A        | 09:15:24.0 | +25:24:54 |  0.18 | 0.39 |
| AGC198507         | 09:15:25.8 | +25:25:10 |  0.20 | 0.75 |
| KSP-DW23          | 09:16:01.6 | -23:36:23 |  0.13 | 0.90 |
| UGC04879          | 09:16:02.2 | +52:50:24 |  3.24 | 0.56 |
| KSP-DW24          | 09:16:08.5 | -23:43:17 |  0.26 | 0.49 |
| Dw0916+6944       | 09:16:43.7 | +69:44:01 |  0.57 | 0.33 |
| HIPASS J0916-23b  | 09:16:58.0 | -23:16:47 |  0.66 | 0.37 |
| KSP-DW28          | 09:17:43.4 | -23:29:37 |  0.51 | 0.70 |
| NGC2835           | 09:17:52.9 | -22:21:19 |  8.91 | 0.67 |
| Dw0918+6935       | 09:18:34.9 | +69:35:43 |  0.27 | 0.85 |
| Dw0919+6932       | 09:19:07.8 | +69:32:54 |  0.30 | 0.62 |
| UGC04918          | 09:19:17.7 | +69:48:04 |  1.00 | 0.53 |
| NGC2787           | 09:19:18.6 | +69:12:12 |  3.31 | 0.63 |
| LSBC D565-06      | 09:19:29.4 | +21:36:12 |  0.60 | 0.86 |
| Dw0919+6955       | 09:19:33.9 | +69:55:20 |  0.42 | 0.65 |
| UGC04932          | 09:19:34.1 | +51:06:33 |  1.86 | 0.32 |
| Dw0920+6924       | 09:20:02.6 | +69:24:45 |  0.18 | 0.80 |
| KSP-DW30          | 09:20:13.2 | -23:56:02 |  0.33 | 0.75 |
| Dw0920+7017       | 09:20:22.4 | +70:17:29 |  0.48 | 0.51 |
| KJ78              | 09:20:36.4 | +49:40:31 |  0.41 | 0.62 |
| DDO062            | 09:21:27.5 | -22:30:02 |  2.51 | 0.24 |
| Dw0921+75         | 09:21:36.0 | +75:16:41 |  0.45 | 0.85 |
| AGC198508         | 09:22:57.0 | +24:56:48 |  0.38 | 0.57 |
| ESO565-003        | 09:23:09.9 | -20:10:03 |  0.72 | 0.67 |
| MCG +09-16-010    | 09:23:17.0 | +51:58:23 |  0.92 | 0.78 |
| LeoK              | 09:24:06.1 | +16:30:38 |  0.80 | 0.74 |
| UGC04998          | 09:25:12.1 | +68:22:59 |  1.78 | 0.62 |
| LV J0926+3343     | 09:26:09.4 | +33:43:04 |  0.85 | 0.24 |
| NGC2915           | 09:26:11.5 | -76:37:35 |  2.00 | 0.53 |
| [CKT2009]d0926+70 | 09:26:27.9 | +70:30:24 |  0.40 | 0.75 |
| Dw0927+6818       | 09:27:27.8 | +68:18:55 |  0.53 | 0.76 |
| UGC05047          | 09:28:49.6 | +51:33:38 |  1.62 | 0.28 |
| dw0929+2213       | 09:29:54.7 | +22:13:05 |  0.35 | 0.70 |
| KDG056            | 09:30:12.9 | +19:59:30 |  0.68 | 0.80 |
| NGC2903-HI-1      | 09:30:39.9 | +21:43:25 |  0.27 | 0.75 |
| NGC2903           | 09:32:09.6 | +21:30:02 | 12.59 | 0.48 |
| dw0932+1952       | 09:32:23.8 | +19:52:30 |  0.24 | 0.80 |
| ESO373-007        | 09:32:45.4 | -33:14:44 |  1.29 | 0.54 |
| UGC05086          | 09:32:48.9 | +21:27:54 |  0.98 | 0.90 |
| LSBC D565-09      | 09:33:14.1 | +20:30:53 |  0.38 | 0.72 |
| ESO373-008        | 09:33:21.5 | -33:02:00 |  6.43 | 0.13 |
| [CKT2009]d0934+70 | 09:34:03.7 | +70:12:57 |  0.59 | 0.86 |
| Dw0934+0628       | 09:34:33.1 | +06:28:02 |  0.34 | 0.66 |
| CGCG 035-007      | 09:34:44.9 | +06:25:32 |  1.07 | 0.63 |
| LeoT              | 09:34:53.4 | +17:03:05 |  2.09 | 0.71 |
| LV J0935-1348     | 09:35:21.6 | -13:48:52 |  0.42 | 0.75 |
| Antlia 2          | 09:35:32.8 | -36:46:02 |151.20 | 0.62 |
| dw0936+2135       | 09:36:21.4 | +21:35:56 |  0.32 | 0.78 |
| [CKT2009]d0939+71 | 09:39:15.9 | +71:18:42 |  0.35 | 0.85 |
| LV J0939-2507     | 09:39:35.0 | -25:07:35 |  0.63 | 0.57 |
| KISSB023          | 09:40:12.7 | +29:35:29 |  0.83 | 0.34 |
| KUG 0937+480      | 09:40:19.6 | +47:46:38 |  0.85 | 0.36 |
| KDG058            | 09:40:27.0 | +00:02:33 |  0.66 | 0.78 |
| HolmI             | 09:40:32.3 | +71:11:11 |  4.57 | 0.81 |
| UGC05186          | 09:42:59.8 | +33:15:52 |  1.38 | 0.23 |
| AGC198691         | 09:43:32.4 | +33:26:58 |  0.14 | 0.74 |
| LV J0944-2254     | 09:44:20.1 | -22:54:58 |  0.32 | 0.76 |
| [CKT2009]d0944+69 | 09:44:22.5 | +69:12:40 |  0.20 | 0.99 |
| [CKT2009]d0944+71 | 09:44:34.4 | +71:28:57 |  0.89 | 0.62 |
| IC0559            | 09:44:43.9 | +09:36:55 |  1.32 | 0.74 |
| F8D1              | 09:44:47.1 | +67:26:19 |  2.19 | 0.91 |
| UGC05209          | 09:45:04.2 | +32:14:18 |  0.83 | 0.96 |
| FM1               | 09:45:10.0 | +68:45:54 |  0.89 | 0.89 |
| RKK1610           | 09:45:24.8 | -48:08:29 |  0.93 | 0.68 |
| NGC2976           | 09:47:15.6 | +67:54:49 |  5.75 | 0.46 |
| AGC191803         | 09:48:05.9 | +07:07:45 |  0.72 | 0.47 |
| Antlia B          | 09:48:56.1 | -25:59:24 |  1.95 | 0.70 |
| KK77              | 09:50:10.0 | +67:30:24 |  2.40 | 0.75 |
| KK78              | 09:50:19.6 | +31:27:24 |  0.41 | 0.60 |
| DDO064            | 09:50:22.4 | +31:29:15 |  2.19 | 0.38 |
| UGC05288          | 09:51:17.2 | +07:49:38 |  1.45 | 0.62 |
| NGC3037           | 09:51:24.0 | -27:00:40 |  1.29 | 0.87 |
| BK3N              | 09:53:48.5 | +68:58:09 |  0.32 | 0.80 |
| M81-dw J0954+6821 | 09:54:07.0 | +68:21:51 |  0.23 | 0.55 |
| LV J0954+3620     | 09:54:50.6 | +36:20:02 |  0.34 | 0.67 |
| KKSG15            | 09:55:10.5 | -06:16:12 |  1.29 | 0.23 |
| [CKT2009]d0955+70 | 09:55:13.6 | +70:24:29 |  0.35 | 0.87 |
| MESSIER081        | 09:55:33.5 | +69:04:00 | 28.18 | 0.52 |
| JKB83             | 09:55:49.6 | +69:19:57 |  0.13 | 0.74 |
| MESSIER082        | 09:55:53.9 | +69:40:57 | 11.48 | 0.38 |
| SMDG0956+82       | 09:56:13.0 | +82:53:24 |  0.70 | 0.60 |
| LV J0956-0929     | 09:56:37.6 | -09:29:11 |  0.93 | 0.73 |
| DDO068C           | 09:56:41.1 | +29:00:51 |  0.45 | 0.62 |
| DDO068            | 09:56:45.7 | +28:49:30 |  2.00 | 0.37 |
| Dw0956-0523       | 09:56:55.6 | -05:23:32 |  0.38 | 0.95 |
| KDG061            | 09:57:02.7 | +68:35:30 |  1.41 | 0.58 |
| KDG61em           | 09:57:07.5 | +68:35:54 |  0.18 | 0.89 |
| PGC154449         | 09:57:08.9 | -09:15:48 |  0.93 | 0.70 |
| ClumpI            | 09:57:21.2 | +68:42:55 |  0.18 | 0.72 |
| A0952+69          | 09:57:29.0 | +69:16:20 |  1.82 | 0.53 |
| HolmIX            | 09:57:32.4 | +69:02:35 |  2.63 | 0.80 |
| PGC28789          | 09:58:00.9 | +47:19:28 |  1.47 | 0.18 |
| Dw0958-0834       | 09:58:05.5 | -08:34:36 |  0.37 | 0.73 |
| AGC718245         | 09:58:16.2 | +21:05:20 |  0.70 | 0.84 |
| Dw0958-0610       | 09:58:35.3 | -06:09:58 |  0.38 | 0.81 |
| [CKT2009]d0958+66 | 09:58:48.5 | +66:50:59 |  0.87 | 0.58 |
| AGC198712         | 09:59:10.3 | +36:02:23 |  0.29 | 0.30 |
| LeoA              | 09:59:26.4 | +30:44:47 |  5.75 | 0.61 |
| [CKT2009]d0959+68 | 09:59:33.1 | +68:39:25 |  0.79 | 0.70 |
| KKSG16            | 09:59:47.5 | -09:20:36 |  0.87 | 0.78 |
| SexB              | 10:00:00.1 | +05:19:56 |  6.03 | 0.69 |
| dw1000-0741       | 10:00:01.0 | -07:41:17 |  0.49 | 0.78 |
| dw1000-0821       | 10:00:10.6 | -08:21:25 |  0.83 | 0.59 |
| KKH57             | 10:00:16.0 | +63:11:06 |  0.60 | 0.83 |
| LV J1000+5022     | 10:00:25.5 | +50:22:45 |  0.58 | 0.76 |
| LV J1000+3032     | 10:00:36.5 | +30:32:10 |  0.28 | 0.71 |
| ClumpIII          | 10:00:40.4 | +68:39:37 |  0.10 | 0.95 |
| dw1000-0831       | 10:00:55.0 | -08:31:48 |  0.17 | 0.69 |
| MCG -01-26-009    | 10:01:33.6 | -06:31:30 |  1.12 | 0.78 |
| KKSG17            | 10:01:38.4 | -08:14:56 |  1.66 | 0.21 |
| dw1002-0818       | 10:02:01.0 | -08:18:36 |  0.15 | 0.73 |
| UGCA193           | 10:02:36.2 | -06:00:43 |  4.27 | 0.07 |
| dw1002-0642       | 10:02:37.7 | -06:42:29 |  0.24 | 0.38 |
| NGC3109           | 10:03:07.2 | -26:09:36 | 19.95 | 0.19 |
| NGC3077           | 10:03:21.0 | +68:44:02 |  6.46 | 0.83 |
| GARLAND           | 10:03:42.0 | +68:41:36 |  3.98 | 0.60 |
| ESO499-038        | 10:03:50.2 | -26:36:46 |  0.83 | 0.55 |
| NGC3104           | 10:03:57.4 | +40:45:25 |  3.55 | 0.56 |
| dw1004-0737       | 10:03:58.8 | -07:38:28 |  0.57 | 0.92 |
| Antlia            | 10:04:04.0 | -27:19:55 |  2.00 | 0.75 |
| dw1004-0657       | 10:04:37.7 | -06:57:32 |  0.46 | 0.88 |
| BK5N              | 10:04:40.3 | +68:15:20 |  0.79 | 0.75 |
| UGC05427          | 10:04:41.0 | +29:21:59 |  1.38 | 0.67 |
| KDG063            | 10:05:07.3 | +66:33:18 |  1.91 | 0.88 |
| NGC3115           | 10:05:14.0 | -07:43:07 |  8.51 | 0.35 |
| UGC05423          | 10:05:30.6 | +70:21:52 |  1.07 | 0.67 |
| d1005+68          | 10:05:31.8 | +68:14:20 |  0.33 | 0.75 |
| KDG065            | 10:05:34.4 | -07:44:57 |  1.07 | 0.69 |
| KKSG18            | 10:05:41.6 | -07:58:53 |  1.51 | 0.80 |
| dw1006-0730       | 10:06:12.7 | -07:30:00 |  0.34 | 0.75 |
| dw1006-0732       | 10:06:26.6 | -07:32:56 |  0.26 | 0.83 |
| dw1006-0730-n2    | 10:06:33.6 | -07:30:36 |  0.22 | 0.68 |
| Dw1006-0828       | 10:06:35.8 | -08:27:56 |  0.16 | 0.80 |
| [CKT2009]d1006+67 | 10:06:46.2 | +67:12:04 |  0.32 | 0.97 |
| d1006+69          | 10:06:55.5 | +69:54:17 |  0.44 | 0.80 |
| KDG064            | 10:07:01.9 | +67:49:39 |  1.95 | 0.47 |
| Segue 1           | 10:07:03.2 | +16:04:25 |  7.00 | 0.52 |
| dw1007-0835       | 10:07:15.4 | -08:35:10 |  0.23 | 0.36 |
| UGC05456          | 10:07:19.7 | +10:21:44 |  1.62 | 0.50 |
| dw1007-0715       | 10:07:20.2 | -07:15:47 |  0.43 | 0.81 |
| KKH58             | 10:07:22.7 | +38:58:11 |  1.26 | 0.48 |
| dw1007-0830       | 10:07:47.0 | -08:30:14 |  0.20 | 0.73 |
| IKN               | 10:08:05.9 | +68:23:57 |  2.69 | 0.85 |
| LeoI              | 10:08:26.9 | +12:18:29 |  9.77 | 0.79 |
| d1009+68          | 10:09:14.3 | +68:45:25 |  0.78 | 0.49 |
| AGC208477         | 10:09:19.8 | +27:56:44 |  0.22 | 0.68 |
| PGC1099440        | 10:09:32.5 | -02:10:58 |  0.74 | 0.64 |
| [CKT2009]d1009+70 | 10:09:34.9 | +70:32:55 |  0.72 | 0.85 |
| SexA              | 10:11:00.8 | -04:41:34 |  5.89 | 0.83 |
| Dw1012+4259       | 10:12:42.7 | +42:59:31 |  0.62 | 0.75 |
| UGC05497          | 10:12:48.4 | +64:06:27 |  0.89 | 0.74 |
| SexDSph           | 10:13:03.0 | -01:36:52 | 30.20 | 0.65 |
| [CKT2009]d1014+68 | 10:14:55.8 | +68:45:27 |  0.20 | 0.90 |
| [CKT2009]d1015+69 | 10:15:06.9 | +69:02:15 |  0.25 | 0.98 |
| KUG 1013+414      | 10:16:15.6 | +41:09:59 |  1.13 | 0.39 |
| SMDG1017-05       | 10:17:16.3 | -05:29:53 |  0.69 | 0.72 |
| LV J1017+2922     | 10:17:26.5 | +29:22:11 |  0.65 | 0.77 |
| NGC3184           | 10:18:17.0 | +41:25:28 |  7.41 | 0.93 |
| LV J1018+4109     | 10:18:22.2 | +41:09:57 |  0.38 | 0.86 |
| PGC30114          | 10:18:43.0 | +46:02:44 |  1.53 | 0.30 |
| UGC05571          | 10:19:42.4 | +52:03:56 |  1.20 | 0.40 |
| HIJASS J1021+6842 | 10:21:00.2 | +68:42:00 |  -99. | -99. |
| HS117             | 10:21:25.2 | +71:06:58 |  1.51 | 0.60 |
| LV J1021+0054     | 10:21:38.9 | +00:54:00 |  0.42 | 0.73 |
| LeoP              | 10:21:45.1 | +18:05:17 |  0.55 | 0.54 |
| AGC731448         | 10:23:45.0 | +27:06:39 |  0.48 | 0.66 |
| KKSG19            | 10:24:28.3 | -12:25:57 |  0.69 | 0.86 |
| NGC3239           | 10:25:04.9 | +17:09:49 |  5.01 | 0.61 |
| Sextans II        | 10:25:44.9 | -00:37:52 |  8.40 | 0.57 |
| DDO078            | 10:26:27.9 | +67:39:24 |  2.00 | 0.95 |
| UGC05672          | 10:28:20.9 | +22:34:17 |  3.09 | 0.28 |
| IC2574            | 10:28:22.4 | +68:24:58 | 13.18 | 0.41 |
| LV J1028+4240     | 10:28:33.0 | +42:40:08 |  0.48 | 0.71 |
| [CKT2009]d1028+70 | 10:28:39.7 | +70:14:01 |  0.71 | 0.77 |
| AGC749315         | 10:29:06.4 | +26:54:38 |  0.11 | 0.86 |
| DDO082            | 10:30:35.0 | +70:37:10 |  3.39 | 0.59 |
| LV J1030+0607     | 10:30:44.3 | +06:07:38 |  0.71 | 0.60 |
| AGC731457         | 10:31:55.8 | +28:01:33 |  0.38 | 0.64 |
| NGC3274           | 10:32:17.1 | +27:40:07 |  2.40 | 0.48 |
| Dw1033+1213       | 10:33:29.3 | +12:13:44 |  0.33 | 0.77 |
| BK6N              | 10:34:31.9 | +66:00:42 |  1.10 | 0.64 |
| UMa I             | 10:34:48.8 | +51:56:06 | 18.00 | 0.20 |
| AGC202248         | 10:34:56.1 | +11:29:32 |  0.37 | 0.74 |
| PGC2277751        | 10:35:12.1 | +46:14:12 |  0.46 | 0.63 |
| ESO501-023        | 10:35:23.2 | -24:45:15 |  3.47 | 0.79 |
| LeG03             | 10:35:48.8 | +08:28:47 |  0.95 | 0.23 |
| KUG 1033+366B     | 10:36:17.6 | +36:25:31 |  0.60 | 0.53 |
| NGC3299           | 10:36:23.8 | +12:42:27 |  2.40 | 0.77 |
| DDO083            | 10:36:43.3 | +31:32:48 |  2.04 | 0.40 |
| AGC205165         | 10:37:04.8 | +15:20:15 |  0.72 | 0.74 |
| dw1037+09         | 10:37:40.6 | +09:06:20 |  0.47 | 0.77 |
| Dw1038+1158       | 10:38:04.8 | +11:58:23 |  0.32 | 0.88 |
| AGC200499         | 10:38:08.0 | +10:22:51 |  0.85 | 0.78 |
| AGC208397         | 10:38:58.1 | +03:52:27 |  0.17 | 0.60 |
| UGC05797          | 10:39:25.2 | +01:43:07 |  1.23 | 0.87 |
| LeG04             | 10:39:40.2 | +12:44:06 |  0.52 | 0.50 |
| LeG05             | 10:39:43.3 | +12:38:04 |  0.60 | 0.53 |
| LeG06             | 10:39:55.7 | +13:54:28 |  0.63 | 0.65 |
| AGC208399         | 10:40:10.7 | +04:54:32 |  0.56 | 0.88 |
| UGC05812          | 10:40:56.6 | +12:28:19 |  1.48 | 0.40 |
| [CKT2009]d1041+70 | 10:41:16.8 | +70:09:03 |  0.35 | 0.60 |
| FS04              | 10:42:00.3 | +12:20:06 |  1.00 | 0.46 |
| dw1042+2415       | 10:42:22.1 | +24:15:00 |  0.61 | 0.65 |
| LeG09             | 10:42:34.6 | +12:09:02 |  0.71 | 0.83 |
| DDO084            | 10:42:41.9 | +34:26:56 |  4.47 | 0.74 |
| N3344dw1          | 10:42:44.0 | +25:01:30 |  0.30 | 0.65 |
| dw1042+1359       | 10:42:45.4 | +13:59:24 |  0.23 | 0.40 |
| dw1043+1410       | 10:43:10.8 | +14:10:48 |  0.31 | 0.72 |
| ESO376-016        | 10:43:27.1 | -37:02:33 |  0.69 | 0.56 |
| NGC3344           | 10:43:30.2 | +24:55:25 |  7.59 | 0.90 |
| dw1043+1415       | 10:43:49.8 | +14:15:17 |  0.25 | 0.75 |
| LeG10             | 10:43:55.4 | +12:08:07 |  0.16 | 0.95 |
| NGC3351           | 10:43:57.7 | +11:42:13 |  7.24 | 0.68 |
| LeG11             | 10:44:02.1 | +15:35:20 |  0.35 | 0.90 |
| LeG12             | 10:44:07.8 | +11:31:59 |  0.22 | 0.80 |
| dw1044+1359       | 10:44:25.9 | +13:59:56 |  0.26 | 0.69 |
| AGC205445         | 10:44:35.3 | +13:56:23 |  0.60 | 0.84 |
| dw1044+1351       | 10:44:38.2 | +13:51:32 |  0.28 | 0.81 |
| LeG13             | 10:44:57.6 | +11:54:58 |  0.42 | 0.44 |
| dw1045+2427       | 10:45:31.0 | +24:27:58 |  0.31 | 0.77 |
| dw1045+14b        | 10:45:56.0 | +14:13:37 |  0.31 | 0.76 |
| dw1045+16         | 10:45:56.5 | +16:55:00 |  0.40 | 0.95 |
| dw1045+13         | 10:45:58.1 | +13:32:52 |  0.22 | 0.85 |
| LeG14             | 10:46:14.4 | +12:57:36 |  0.36 | 0.88 |
| KK93              | 10:46:24.8 | +14:01:30 |  0.58 | 0.94 |
| LeG16             | 10:46:30.0 | +11:45:21 |  0.29 | 0.98 |
| LeG17             | 10:46:41.5 | +12:19:35 |  0.58 | 0.78 |
| NGC3368           | 10:46:45.8 | +11:49:11 |  8.91 | 0.68 |
| dw1046+1244       | 10:46:46.0 | +12:44:59 |  0.14 | 0.81 |
| LeG18             | 10:46:53.3 | +12:44:40 |  0.80 | 0.75 |
| LeG19             | 10:46:54.8 | +12:47:17 |  0.37 | 0.70 |
| KK94              | 10:46:57.3 | +12:59:54 |  0.58 | 0.85 |
| dw1047+16         | 10:47:00.3 | +16:08:50 |  0.39 | 0.70 |
| LeG21             | 10:47:00.8 | +12:57:35 |  0.25 | 0.75 |
| dw1047+1153       | 10:47:06.0 | +11:52:41 |  0.22 | 0.88 |
| NGC3368dwTBG      | 10:47:08.0 | +11:17:02 |  0.35 | 0.95 |
| M96-DF7           | 10:47:13.5 | +12:48:09 |  0.59 | 0.88 |
| DDO088            | 10:47:22.3 | +14:04:13 |  2.14 | 0.95 |
| M96-DF2           | 10:47:40.6 | +12:02:56 |  0.72 | 0.81 |
| ESO318-013        | 10:47:41.9 | -38:51:15 |  1.78 | 0.14 |
| dw1047+1258       | 10:47:42.2 | +12:58:30 |  0.22 | 0.96 |
| NGC3377           | 10:47:42.4 | +13:59:08 |  5.25 | 0.58 |
| BST1047+1156      | 10:47:43.8 | +11:56:01 |  0.73 | 0.85 |
| NGC3379           | 10:47:49.6 | +12:34:54 |  5.37 | 0.89 |
| M96-DF1           | 10:48:13.1 | +11:58:06 |  0.32 | 0.59 |
| NGC3384           | 10:48:16.9 | +12:37:45 |  5.50 | 0.45 |
| dw1048+1121       | 10:48:23.0 | +11:21:07 |  0.32 | 0.94 |
| dw1048+1154       | 10:48:25.0 | +11:54:43 |  0.18 | 0.92 |
| dw1048+13         | 10:48:35.8 | +13:03:36 |  0.33 | 0.95 |
| dw1048+1259       | 10:48:52.1 | +12:59:42 |  0.30 | 0.78 |
| PGC032348         | 10:48:53.7 | +14:07:28 |  0.96 | 0.64 |
| UGC05923          | 10:49:07.6 | +06:55:02 |  1.26 | 0.47 |
| dw1049+12a        | 10:49:11.4 | +12:47:34 |  0.38 | 0.75 |
| dw1049+15         | 10:49:13.9 | +15:58:22 |  0.36 | 0.77 |
| Willman1          | 10:49:21.0 | +51:03:00 |  3.70 | 0.53 |
| dw1049+12b        | 10:49:26.0 | +12:33:09 |  0.44 | 0.80 |
| DDO087            | 10:49:36.5 | +65:31:50 |  1.58 | 0.90 |
| LeG22             | 10:49:37.1 | +11:21:06 |  0.56 | 0.66 |
| MRK1265           | 10:49:40.4 | +22:50:19 |  0.34 | 0.61 |
| AGC740112         | 10:49:55.4 | +23:04:06 |  0.39 | 0.60 |
| dw1050+1352       | 10:50:03.6 | +13:53:20 |  0.43 | 0.86 |
| UGC05944          | 10:50:19.1 | +13:16:19 |  1.12 | 0.97 |
| dw1050+1353       | 10:50:20.4 | +13:53:46 |  0.48 | 0.80 |
| dw1050+1213       | 10:50:24.0 | +12:13:05 |  0.12 | 0.73 |
| KK96              | 10:50:27.1 | +12:21:39 |  0.60 | 0.80 |
| dw1050+1236       | 10:50:35.8 | +12:36:32 |  0.17 | 0.52 |
| NGC3412           | 10:50:53.3 | +13:24:44 |  3.98 | 0.56 |
| LSBC D640-11      | 10:51:01.4 | +13:20:02 |  0.90 | 0.65 |
| dw1051+11         | 10:51:03.0 | +11:01:13 |  0.62 | 0.75 |
| Dw1051+6416       | 10:51:16.1 | +64:16:41 |  0.33 | 0.93 |
| NGC3413           | 10:51:20.7 | +32:45:59 |  2.22 | 0.51 |
| LeG26             | 10:51:21.1 | +12:50:57 |  0.69 | 0.89 |
| Dw1051+3617       | 10:51:27.6 | +36:17:10 |  0.28 | 0.73 |
| AGC205540         | 10:51:31.4 | +14:06:53 |  0.32 | 0.62 |
| KKH65             | 10:51:59.1 | +28:21:45 |  0.58 | 0.86 |
| AGC205544         | 10:52:04.8 | +15:01:50 |  0.45 | 0.80 |
| LV J1052+3628     | 10:52:05.5 | +36:28:36 |  0.44 | 0.69 |
| UGC05983          | 10:52:17.5 | +36:35:36 |  1.10 | 0.61 |
| AGC202456         | 10:52:19.5 | +11:02:36 |  0.72 | 0.89 |
| LeG27             | 10:52:20.1 | +14:42:26 |  0.37 | 0.67 |
| NGC3432           | 10:52:31.1 | +36:37:08 |  5.37 | 0.22 |
| LV J1052+3639     | 10:52:40.8 | +36:39:54 |  1.68 | 0.37 |
| KDG073            | 10:52:57.1 | +69:32:45 |  1.20 | 0.83 |
| LeG28             | 10:53:00.7 | +10:22:45 |  0.68 | 0.50 |
| UGC06014          | 10:53:42.7 | +09:43:41 |  1.20 | 0.57 |
| Dw1053+1518       | 10:53:46.3 | +15:18:40 |  0.31 | 0.47 |
| dw1055+11         | 10:55:43.0 | +11:58:05 |  0.55 | 0.95 |
| LSBC D640-12      | 10:55:57.1 | +12:20:20 |  0.45 | 0.50 |
| LSBC D640-13      | 10:56:14.0 | +12:00:37 |  0.58 | 0.57 |
| HS1053+3624       | 10:56:40.4 | +36:08:28 |  0.50 | 0.49 |
| ESO215-009        | 10:57:30.2 | -48:10:44 |  2.00 | 0.60 |
| VV747             | 10:57:47.0 | +36:15:39 |  1.10 | 0.56 |
| CGCG 095-078      | 10:58:02.2 | +19:30:19 |  0.84 | 0.48 |
| LSBC D640-14      | 10:58:10.5 | +11:59:57 |  0.48 | 0.66 |
| AGC205278         | 10:58:52.1 | +14:07:46 |  0.54 | 0.68 |
| dw1059+11         | 10:59:51.1 | +11:25:38 |  0.36 | 0.80 |
| NGC3489           | 11:00:18.6 | +13:54:04 |  3.80 | 0.57 |
| Dw1100+1125       | 11:00:31.4 | +11:25:52 |  0.38 | 0.92 |
| LeG33             | 11:00:45.2 | +14:10:20 |  0.35 | 0.55 |
