| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| Sculptor          | 01:00:09.4 | -33:42:33 | 39.81 | 0.68 |
| PAndAS-50         | 01:01:50.6 | +48:18:19 |  0.45 | 0.95 |
| LGS 3             | 01:03:55.0 | +21:53:06 |  2.40 | 0.58 |
| IC1613            | 01:04:47.8 | +02:08:00 | 19.05 | 0.90 |
| And X             | 01:06:33.7 | +44:48:16 |  2.20 | 0.90 |
| Sculptor B        | 01:06:50.9 | -35:04:39 |  0.69 | 0.59 |
| UGC00685          | 01:07:22.3 | +16:41:02 |  2.40 | 0.71 |
| KKH5              | 01:07:32.5 | +51:26:25 |  0.87 | 0.62 |
| PAndAS-C02        | 01:07:53.9 | +48:22:42 |  0.25 | 0.90 |
| AM0106-382        | 01:08:22.0 | -38:12:33 |  0.72 | 0.56 |
| Sculptor A        | 01:08:30.8 | -36:03:53 |  0.64 | 0.66 |
| DoIII             | 01:09:24.6 | -27:20:50 |  0.32 | 0.59 |
| NGC0404           | 01:09:26.9 | +35:43:03 |  3.47 | 0.95 |
| And V             | 01:10:17.1 | +47:37:41 |  3.20 | 0.74 |
| DoI               | 01:11:40.4 | +34:36:03 |  0.69 | 0.68 |
| And XV            | 01:14:18.7 | +38:07:03 |  2.60 | 0.76 |
| And II            | 01:16:29.8 | +33:25:09 | 10.60 | 0.84 |
| And XXIV          | 01:18:30.0 | +46:21:58 |  5.20 | 0.90 |
| PiscesB           | 01:19:11.7 | +11:07:18 |  0.48 | 0.48 |
| PAndAS-55         | 01:19:20.4 | +46:03:12 |  0.25 | 0.90 |
| Triangulum III    | 01:21:41.3 | +26:23:32 |  0.86 | 0.53 |
| PAndAS-56         | 01:23:03.5 | +41:55:11 |  0.28 | 0.97 |
| And XXII          | 01:27:40.0 | +28:05:25 |  1.80 | 0.39 |
| PAndAS-57         | 01:27:47.5 | +40:40:47 |  0.20 | 0.90 |
| Triangulum IV     | 01:28:38.9 | +30:59:04 | 13.00 | 0.79 |
| UGC01056          | 01:28:47.2 | +16:41:17 |  1.00 | 0.68 |
| PAndAS-58         | 01:29:02.1 | +40:47:08 |  0.20 | 0.95 |
| And XXIII         | 01:29:21.8 | +38:43:08 | 10.80 | 0.59 |
| UGC01085          | 01:31:18.9 | +07:47:16 |  1.36 | 0.65 |
| UGC01104          | 01:32:42.3 | +18:18:57 |  1.78 | 0.60 |
| AGC112454         | 01:32:59.7 | +14:22:24 |  0.78 | 0.33 |
| MESSIER033        | 01:33:50.8 | +30:39:37 | 69.18 | 0.61 |
| dw0133+1543       | 01:33:56.2 | +15:43:52 |  0.13 | 0.95 |
| dw0134+1544       | 01:34:13.0 | +15:44:46 |  0.60 | 0.73 |
| AGC114027         | 01:34:41.8 | +14:38:40 |  0.38 | 0.46 |
| KKH6              | 01:34:51.6 | +52:05:30 |  0.87 | 0.60 |
| NGC0625           | 01:35:05.0 | -41:26:11 |  7.08 | 0.28 |
| dw0136+1628       | 01:36:20.2 | +16:28:12 |  0.45 | 0.54 |
| NGC628dwB         | 01:36:23.2 | +15:57:53 |  0.15 | 0.58 |
| NGC0628           | 01:36:41.3 | +15:47:12 | 11.22 | 0.94 |
| NGC628dwA         | 01:37:17.8 | +15:37:58 |  0.32 | 0.64 |
| dw0137+1607       | 01:37:39.8 | +16:07:55 |  0.31 | 0.80 |
| AGC112503         | 01:38:00.3 | +14:58:58 |  0.42 | 0.93 |
| UGC01171          | 01:39:44.8 | +15:53:58 |  1.29 | 0.92 |
| dw0139+1433       | 01:39:50.6 | +14:33:22 |  0.25 | 0.87 |
| DDO013            | 01:40:09.6 | +15:54:17 |  4.57 | 0.78 |
| AGC112521         | 01:41:07.9 | +27:19:26 |  0.60 | 0.55 |
| KK13              | 01:42:16.8 | +26:22:04 |  0.71 | 0.57 |
| KDG010            | 01:43:36.2 | +15:41:37 |  1.45 | 0.67 |
| Dw0143+1338       | 01:43:55.2 | +13:38:42 |  0.86 | 0.86 |
| KK14              | 01:44:42.7 | +27:17:16 |  0.79 | 0.37 |
| ESO245-005        | 01:45:03.6 | -43:35:53 |  3.80 | 0.89 |
| JKB142            | 01:45:48.2 | +16:22:41 |  0.43 | 0.58 |
| KK15              | 01:46:41.6 | +26:48:05 |  0.59 | 0.33 |
| N672dwB           | 01:47:11.1 | +27:41:00 |  0.20 | 0.75 |
| N672dwA           | 01:47:19.1 | +27:15:16 |  0.26 | 0.85 |
| IC1727            | 01:47:30.1 | +27:19:52 |  6.92 | 0.36 |
| NGC0672           | 01:47:53.2 | +27:26:01 |  7.24 | 0.36 |
| UGC01281          | 01:49:32.3 | +32:35:33 |  5.62 | 0.18 |
| Dw0149+3237       | 01:49:50.9 | +32:37:42 |  0.40 | 0.95 |
| Phoenix           | 01:51:06.3 | -44:26:41 |  5.50 | 0.85 |
| KK16              | 01:55:20.6 | +27:57:15 |  1.32 | 0.37 |
| Dw0158+3018       | 01:58:54.7 | +30:18:50 |  0.67 | 0.40 |
| KK17              | 02:00:09.9 | +28:49:57 |  1.00 | 0.50 |
| NGC0784           | 02:01:16.8 | +28:50:37 |  6.61 | 0.23 |
| UGC01561          | 02:04:05.0 | +24:12:28 |  1.23 | 0.72 |
| Cetus III         | 02:05:19.4 | -04:16:12 |  2.46 | 0.24 |
| Cas1              | 02:06:07.9 | +69:00:36 |  2.19 | 0.77 |
| UGC01703          | 02:12:55.8 | +32:48:51 |  0.79 | 0.55 |
| Triangulum II     | 02:13:17.4 | +36:10:42 |  7.80 | 0.79 |
| NGC0855           | 02:14:03.7 | +27:52:38 |  3.09 | 0.38 |
| Dw0214+2836       | 02:14:09.6 | +28:36:47 |  0.44 | 0.48 |
| Dw0218+2813       | 02:18:04.1 | +28:13:01 |  0.72 | 0.91 |
| Segue 2           | 02:19:16.0 | +20:10:31 |  5.40 | 0.85 |
| SMDG0220-00       | 02:20:48.2 | -00:27:54 |  0.97 | 0.83 |
| [TT2009] 25       | 02:21:12.4 | +42:21:51 |  0.76 | 0.53 |
| UGC01807          | 02:21:13.4 | +42:45:46 |  1.87 | 0.99 |
| NGC0891           | 02:22:32.8 | +42:20:48 | 13.18 | 0.29 |
| Eridanus 3        | 02:22:45.5 | -52:17:01 |  1.10 | 0.73 |
| [TT2009] 30       | 02:22:54.7 | +42:42:45 |  1.16 | 0.41 |
| SMDG0223-02       | 02:23:18.7 | -02:03:25 |  0.66 | 0.67 |
| KKH11             | 02:24:35.0 | +56:00:42 |  1.66 | 0.54 |
| [KK2000] 03       | 02:24:42.7 | -73:30:46 |  2.45 | 0.40 |
| DDO019            | 02:25:00.2 | +36:02:16 |  2.14 | 0.76 |
| d0226+3325        | 02:26:52.8 | +33:25:37 |  1.66 | 0.92 |
| NGC0925           | 02:27:16.0 | +33:34:41 | 11.75 | 0.56 |
| Halogas           | 02:27:20.0 | +33:57:30 |  0.43 | 0.75 |
| KKH12             | 02:27:27.0 | +57:29:16 |  1.70 | 0.29 |
| Hydrus 1 dw       | 02:29:33.4 | -78:41:28 | 14.80 | 0.79 |
