objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
CGMW 3-2661,202914,WISEA J184954.47-203120.0,-99,4.214,GPair
CGMW 3-2946,203186,WISEA J190118.18-171321.9,-99,1.662,GPair
CGMW 3-3008,203243,WISEA J190243.76-172440.7,-99,2.668,GPair
CGMW 3-3049,203282,WISEA J190345.48-195046.7,-99,7.504,GPair
CGMW 3-3074,203305,WISEA J190421.59-224508.1,-99,3.082,GPair
CGMW 3-3360,203582,WISEA J190946.89-121540.7,-99,1.674,GPair
CGMW 3-3377,203597,WISEA J191012.33-193527.5,-99,1.574,GPair
CGMW 3-3403,203620,WISEA J191035.24-125038.9,-99,8.125,GPair
CGMW 3-3466,203676,WISEA J191250.85-084744.4,-99,2.143,GPair
CGMW 3-3492,203701,WISEA J191345.27-081912.2,-99,2.328,GPair
CGMW 3-3579,203782,WISEA J191619.82-080157.0,203783,4.135,GPair
WISEA J191619.82-080157.0,203783,WISEA J191620.05-080136.6,-99,20.760,G
CGMW 3-3616,203816,WISEA J191745.65-090656.4,-99,1.190,GPair
CGMW 3-3669,203865,WISEA J191903.78-025012.7,-99,4.126,GPair
CGMW 3-3674,203870,WISEA J191922.64-101623.4,-99,3.121,GPair
CGMW 3-3679,203875,WISEA J191933.69-091453.1,-99,4.359,GPair
CGMW 3-3734,203928,WISEA J192105.40-082201.0,-99,1.297,GPair
CGMW 3-3738,203932,WISEA J192121.30-134937.3,-99,7.168,GPair
CGMW 3-3739,203933,WISEA J192118.13-104204.9,-99,6.865,GPair
CGMW 3-3836,204027,WISEA J192350.07-120223.0,-99,2.003,GPair
CGMW 3-3930,204118,WISEA J192528.18+004410.6,-99,1.808,GPair
CGMW 3-3943,204130,WISEA J192600.61-103134.5,-99,4.322,GPair
CGMW 3-3971,204156,WISEA J192655.95-055622.2,-99,6.123,GPair
CGMW 3-4071,204250,WISEA J192949.09-094138.0,-99,2.334,GPair
CGMW 3-4175,204352,WISEA J193128.77-095703.8,-99,3.530,GPair
CGMW 3-4182,204359,WISEA J193120.03+025703.7,204358,8.002,GPair
CGMW 3-4208,204383,WISEA J193215.53-060412.1,-99,4.993,GPair
CGMW 3-4296,204471,WISEA J193412.17+005817.8,-99,5.666,GPair
CGMW 3-4298,204473,WISEA J193413.91+005820.2,-99,4.402,GPair
CGMW 3-4420,204584,WISEA J193803.16+002932.2,-99,4.126,GPair
CGMW 3-4486,204645,WISEA J193935.28+023023.4,-99,7.320,GPair
CGMW 3-4564,204716,WISEA J194140.04-022014.4,-99,1.825,GPair
CGMW 3-4777,204912,WISEA J194630.96-025206.3,-99,1.200,GPair
CGMW 3-4898,205027,WISEA J194815.97-022218.3,-99,2.193,GPair
CGMW 3-4997,205125,WISEA J194943.76-002443.1,-99,5.157,GPair
CGMW 3-5175,205300,WISEA J195214.51+013716.1,-99,1.364,GPair
CGMW 3-5323,205441,WISEA J195508.61-033844.7,-99,6.035,GPair
CGMW 4-1563,206984,WISEA J183432.92-332122.3,-99,6.078,GPair
CGMW 4-1798,207217,WISEA J183621.60-365039.0,-99,3.913,GPair
CGMW 4-2533,207943,WISEA J184059.57-305918.9,-99,2.626,GPair
CGMW 4-2561,207971,2MASX J18411310-3604311,-99,9.740,GPair
CGMW 4-2585,207995,WISEA J184122.48-315212.2,-99,6.930,GPair
CGMW 4-2863,208266,WISEA J184425.83-345106.8,-99,1.972,GPair
CGMW 4-2906,208309,WISEA J184455.04-362144.2,-99,6.104,GPair
CGMW 4-3002,208404,WISEA J184611.12-294407.1,-99,1.665,GPair
CGMW 4-3149,208550,WISEA J184803.54-295143.4,-99,3.250,GPair
CGMW 4-3228,208626,WISEA J184904.47-285415.7,-99,7.296,GPair
CGMW 4-3242,208640,2MASX J18491719-3157309,-99,3.745,GPair
CGMW 4-3449,208845,WISEA J185151.17-324708.1,-99,2.043,GPair
CGMW 4-3517,208909,WISEA J185234.72-291507.0,-99,1.497,GPair
CGMW 4-3605,208997,WISEA J185324.85-272928.6,-99,2.765,GPair
2MFGC 14642,209019,WISEA J185339.67-314612.2,-99,0.636,GPair
CGMW 4-3654,209045,2MASX J18535515-2944376,-99,3.067,GPair
CGMW 4-3759,209146,WISEA J185452.55-263904.0,-99,4.527,GPair
CGMW 4-3811,209196,WISEA J185522.12-321334.5,-99,4.730,GPair
CGMW 4-3849,209232,2MASX J18554773-3427073,-99,8.637,GPair
CGMW 4-3864,209246,WISEA J185556.20-340230.7,-99,8.573,GPair
CGMW 4-4024,209404,WISEA J185716.59-231758.5,-99,1.412,GPair
CGMW 4-4081,209459,WISEA J185756.21-374618.5,-99,2.910,GPair
CGMW 4-4226,209600,WISEA J185905.16-350241.5,-99,6.982,GPair
CGMW 4-4273,209645,WISEA J185930.87-273121.1,-99,7.064,GPair
CGMW 4-4368,209738,WISEA J190020.69-373309.4,-99,5.722,GPair
IRAS 18575-3024,209786,WISEA J190042.93-302014.4,-99,0.932,GPair
CGMW 4-4454,209822,WISEA J190057.25-242400.0,-99,0.289,GPair
CGMW 4-4481,209848,2MASX J19011004-2321099,-99,3.939,GPair
CGMW 4-4518,209884,WISEA J190125.68-295016.0,-99,3.374,GPair
CGMW 4-4572,209935,WISEA J190153.66-293917.9,-99,3.449,GPair
CGMW 4-4577,209940,WISEA J190155.25-264006.6,-99,3.297,GPair
CGMW 4-4705,210060,WISEA J190301.24-253241.5,-99,3.067,GPair
CGMW 4-4840,210191,WISEA J190405.80-271420.0,-99,2.172,GPair
CGMW 4-5113,210449,WISEA J190620.27-233656.9,-99,3.661,GPair
CGMW 4-5177,210509,WISEA J190653.46-352150.8,-99,9.082,GPair
CGMW 4-5205,210535,WISEA J190707.71-243003.6,-99,6.350,GPair
CGMW 4-5431,210756,WISEA J190857.33-243628.8,-99,5.316,GPair
CGMW 4-5440,210764,WISEA J190907.83-244536.3,-99,3.130,GPair
CGMW 4-5459,210783,WISEA J190921.49-280251.4,-99,3.320,GPair
CGMW 4-5691,211005,WISEA J191101.58-261001.8,-99,1.286,GPair
CGMW 4-5725,211039,6dF J1911131-223254,-99,0.745,GPair
CGMW 4-5805,211118,WISEA J191140.80-225533.5,-99,1.138,GPair
CGMW 4-6178,211483,WISEA J191433.20-235503.1,-99,2.953,GPair
CGMW 4-6533,211834,WISEA J191641.84-250453.3,-99,0.722,GPair
CGMW 4-6793,212090,WISEA J191754.38-244212.8,-99,0.429,GPair
GALEXASC J061415.66+802751.5,213329,WISEA J061443.42+802736.5,-99,75.059,GPair
PKS 1429-410,577586,WISEA J143227.90-411438.5,-99,2.978,GPair
IRAS 11446-3348,667298,WISEA J114710.48-340525.4,-99,16.060,GPair
AM 1547-321,692203,WISEA J155106.74-322448.2,-99,15.278,GPair
CGCG 137-040,738318,WISEA J235242.66-284257.0,-99,445527.371,GPair
APMUKS(BJ) B001206.92-15574 ID,907830,WISEA J001439.47-154106.7,-99,1.333,GPair
LEDA 996048,996048,WISEA J145328.00-090211.3,-99,9.677,GPair
APMUKS(BJ) B001549.16-04444 ID,1057775,WISEA J001822.53-042804.8,-99,2.942,GPair
APMUKS(BJ) B034742.86-04245 ID,1060646,WISEA J035012.47-041548.4,-99,3.131,GPair
APMUKS(BJ) B023813.19-03091 ID,1079476,WISEA J024044.57-025628.8,-99,3.161,GPair
2MASXi J2109059-002049,1145637,2MASXi J2109059-002049 NED01,-99,0.173,GPair
IRAS 02477+1000,1376163,WISEA J025027.23+101221.5,-99,13.475,GPair
[PQE2016] J083550.30+164439.1,1515936,WISEA J083550.28+164438.6,-99,0.339,GPair
NPM1G +18.0357,1559999,WISEA J131325.95+182708.9,-99,1.768,GPair
IRAS 00472+2051,1643297,WISEA J004955.08+210728.7,-99,19.545,GPair
2MASX J13223186+2631598,1779782,SDSS J132231.86+263159.0,-99,0.008,GPair
WISEA J123850.41+312309.9,1944630,2MASS J12385041+3123084,-99,0.396,GPair
KUG 1002+319,1961801,KUG 1002+319 NED01,-99,0.881,GPair
IRAS 16078+6446,2670126,WISEA J160818.63+643815.0,-99,6.233,GPair
IRAS 14444+8353,2788224,WISEA J144018.15+834036.8,-99,6.844,GPair
IRAS 00568-1656,2816258,WISEA J005920.92-164003.5,-99,6.597,GPair
IRAS 01471-0808,2816290,WISEA J014937.58-075352.8,-99,20.577,GPair
IRAS 04525-2252,2816437,WISEA J045441.96-224751.7,-99,17.036,GPair
IRAS 06411-2905,2816549,6dF J0643043-290825,-99,10.765,GPair
IRAS 06468-3434,2816551,WISEA J064837.37-343800.7,-99,15.176,GPair
AM 0659-680,2816562,AM 0659-680 E,-99,7.844,GPair
CoD -29 08887 X24,2816741,2MASX J11091617-3002389,-99,17.531,GPair
IRAS 14129+6111,2816906,WISEA J141428.00+605726.8,-99,8.829,GPair
IRAS 18219-7555,2817108,2MASX J18285721-7553363,-99,2.275,GPair
IRAS 23129-7842,2817355,WISEA J231638.20-782543.7,-99,27.229,GPair
KUG 1209+172,3098530,WISEA J121201.75+165729.7,-99,0.298,GPair
WISEA J002856.83+004037.1,3116182,2MASX J00285683+0040370,-99,0.429,GPair
ESO 409-IG 027,3166347,WISEA J001149.83-272202.2,-99,2.695,GPair
VIII Zw 013,3166354,WISEA J001607.48-063901.5,-99,0.100,GPair
ESO 150-IG 004,3166381,ESO 150-IG 004 NED02,1421,6.166,GPair
ESO 194-IG 035,3166429,ESO 194-IG 035 NED02,2656,19.164,GPair
ESO 194-IG 035 NED02,2656,ESO 194-IG 035 NED01,2658,23.016,G
III Zw 014,3166439,III Zw 014 NOTES02,2983,3.609,GPair
III Zw 014 NOTES02,2983,WISEA J005113.53+010915.3,-99,240.849,G
ESO 195-IG 011,3166444,ESO 195-IG 011 NED02,3146,2.222,GPair
VI Zw 154,3166596,VI Zw 154 NOTES01,7838,4.746,GPair
VI Zw 154 NOTES01,7838,VI Zw 154 NOTES02,7840,17.234,G
VI Zw 195,3166627,WISEA J021453.84+385509.4,-99,0.188,GPair
ESO 081-IG 012,3166674,WISEA J023254.94-622200.8,-99,19.649,GPair
V Zw 357,3166816,V Zw 357 NOTES02,13455,0.096,GPair
ESO 202-IG 045,3166910,ESO 202-IG 045 NED02,15741,6.885,GPair
ESO 204-IG 010,3166974,ESO 204-IG 010 NED02,17350,0.457,GPair
VII Zw 066,3167024,VII Zw 066 NOTES01,18788,0.047,GPair
VII Zw 079,3167058,VII Zw 079 NOTES02,19383,0.062,GPair
VII Zw 088,3167064,VII Zw 088 NOTES02,19514,0.188,GPair
VII Zw 117,3167079,VII Zw 117 NOTES02,20146,3.079,GPair
VII Zw 173,3167118,IC 3029,38755,254804.427,GPair
ESO 375-IG 006,3167281,WISEA J101750.20-335509.9,-99,13.665,GPair
UGC 05630,3167293,UGC 05630 NED01,200256,7.864,GPair
VIII Zw 113,3167344,VIII Zw 113 NED02,32931,0.143,GPair
VII Zw 405,3167420,VII Zw 405 NOTES02,35441,2.784,GPair
VIII Zw 151,3167463,2MASX J11544395+1326476,-99,0.123,GPair
VIII Zw 256,3167630,VIII Zw 256 NED01,45767,2.161,GPair
VIII Zw 256 NED01,45767,VIII Zw 256 NED02,45768,2.381,G
ESO 444-IG 008,3167650,ESO 444-IG 008 NED01,46404,6.414,GPair
I Zw 061,3167684,2MASX J13312076+5405350,-99,0.125,GPair
Heron Galaxy,3167752,ARP 084,-99,31.587,GPair
VII Zw 606,3167907,VII Zw 606 NOTES01,55207,0.123,GPair
VII Zw 606 NOTES01,55207,WISEA J152853.76+591011.7,-99,7.879,G
VII Zw 671,3168018,VII Zw 671 NOTES01,3440851,0.253,GPair
ESO 102-IG 017,3168073,ESO 102-IG 017 NED01,61018,4.404,GPair
VII Zw 784,3168095,VII Zw 784 NOTES02,61718,0.084,GPair
VII Zw 853,3168136,VII Zw 853 NOTES01,62619,0.073,GPair
ESO 232-IG 013,3168184,WISEA J193736.38-473526.9,498971,21.102,GPair
ESO 047-IG 029,3168339,ESO 047-IG 029 NED02,66609,15.795,GPair
IV Zw 081,3168407,IV Zw 081 NOTES02,67603,0.165,GPair
ESO 190-IG 015,3168495,WISEA J223239.85-523304.9,-99,8.313,GPair
ESO 190-IG 016,3168497,ESO 190-IG 016 NED01,69134,10.361,GPair
IV Zw 119,3168534,IV Zw 119 NOTES02,69871,0.943,GPair
IV Zw 119 NOTES02,69871,WISEA J225141.76+333646.3,-99,2.241,G
V Zw 399,3168569,V Zw 399 NOTES02,70627,3.093,GPair
V Zw 422,3168611,V Zw 422 NOTES02,72120,0.130,GPair
V Zw 422 NOTES02,72120,WISEA J234124.94+474704.9,-99,77.502,G
IV Zw 162,3168617,IV Zw 162 NOTES02,72196,0.456,GPair
ESO 292-IG 019,3168621,ESO 292-IG 019 NED02,72322,0.196,GPair
MAPS-NGP O_619_0930056,3275156,SDSS J133725.97-025325.5,-99,0.247,GPair
2dFGRS N384Z040,3291320,SDSS J121151.84+005736.8,5896758,0.060,GPair
WISEA J023739.15+003858.3,3519325,2MASS J02373921+0038591,5806368,0.900,GPair
WISEA J021036.94+001737.7,3632605,SDSS J021037.01+001738.4,-99,1.015,GPair
2MASX J02315604-0000327,3639570,WISEA J023156.07-000034.2,-99,1.437,GPair
WISEA J124047.93+261301.0,3793834,2MASS J12404794+2613004,-99,0.612,GPair
2MASX J13132687+2023591,3804385,WISEA J131326.91+202358.6,-99,0.388,GPair
2MASX J13200407+2533150,3806209,SDSS J132004.12+253314.3,-99,0.446,GPair
WISEA J132424.87+242117.9,3807449,SDSS J132424.89+242117.0,-99,0.509,GPair
WISEA J133440.51+211019.3,3810202,SDSS J133440.53+211019.0,-99,0.411,GPair
2MASX J13415631+2506419,3812188,SDSS J134156.31+250642.0,-99,0.325,GPair
KPG 310,4588703,NGC 3985,37542,11.989,GPair
CGCG 037-050,4677261,LEDA 4677261,-99,0.436,GPair
ESO 472-IG 021,891,ESO 472-IG 021 NED01,-99,16.233,GPair
ESO 410-IG 007,1177,2MASX J00180586-2918063,-99,2.398,GPair
UGC 00177,1230,UGC 00177 NED01,-99,19.529,GPair
IV Zw 018,1529,IV Zw 018 NOTES03,-99,7.183,GPair
ESO 012-IG 018,1945,WISEA J003152.89-812057.6,-99,3.437,GPair
ESO 242-IG 022,2345,ESO 242-IG 022 NED01,-99,11.739,GPair
III Zw 016,3221,III Zw 016 NOTES02,-99,5.769,GPair
NGC 0414,4254,NGC 0414 NED01,-99,5.387,GPair
ESO 352-IG 022,4418,2MASX J01134356-3354520,-99,0.632,GPair
NGC 0526,5120,NGC 0526A,-99,12.363,GPair
MRK 1158,5885,IV Zw 053 NOTES02,-99,0.532,GPair
CGCG 552-013,7186,WISEA J015536.50+473336.8,-99,5.979,GPair
ESO 414-IG 009,7101,2MASX J01544888-2808541,-99,4.273,GPair
ESO 544-IG 003,7432,6dF J0158191-211330,-99,0.607,GPair
NGC 0797,7832,NGC 0797 NED02,-99,21.111,GPair
V Zw 256,9815,WISEA J023435.58+295726.1,-99,33.225,GPair
ESO 546-IG 007,10212,ESO 546-IG 007 NED01,-99,12.804,GPair
MRK 1057,10711,WISEA J024938.94+340219.6,-99,0.100,GPair
ESO 417-IG 014,11589,ESO 417- G 014 NED01,-99,8.860,GPair
UGC 02565,11840,WISEA J031010.02+315516.7,-99,0.200,GPair
III Zw 053,12542,III Zw 053 NED01,-99,12.281,GPair
UGC 02726,12768,UGC 02726 NED01,-99,22.293,GPair
CGCG 416-010,12841,WISEA J032625.12+094013.5,-99,5.722,GPair
ESO 083-IG 005,3166797,ESO 083-IG 005 NED01,12932,0.510,GPair
CGCG 442-001,13124,WISEA J033222.36+152351.2,-99,0.003,GPair
ESO 054-IG 015,13387,2MASX J03375430-7103341,-99,4.440,GPair
ESO 249-IG 020,3166833,ESO 249-IG 020 NED02,13908,6.717,GPair
ESO 055-IG 002,14059,ESO 055-IG 002 NED02,-99,6.575,GPair
VII Zw 014,15211,VII Zw 014 NED01,-99,16.016,GPair
UGC 03123,15772,UGC 03123 NED02,-99,5.128,GPair
ESO 015-IG 011,15581,ESO 015-IG 011 NED02,-99,1.008,GPair
ESO 203-IG 001,15988,WISEA J044649.52-483330.1,-99,1.128,GPair
ESO 119-IG 001,15964,WISEA J044613.26-622351.5,-99,19.967,GPair
CGCG 468-002,16795,CGCG 468-002 NED01,-99,15.340,GPair
IC 0409,17105,IC 0409 NED01,-99,3.079,GPair
ARP 052,17109,2MASX J05194054+0343466,-99,0.900,GPair
ESO 423-IG 018,17369,WISEA J053023.85-273821.8,-99,4.918,GPair
ESO 204-IG 017,17446,ESO 204-IG 017 NED01,-99,7.460,GPair
NGC 2187,18354,NGC 2187B,-99,29.573,GPair
VV 596,18458,WISEA J060810.98+341549.5,-99,1.256,GPair
ESO 087-IG 041,19592,WISEA J064649.60-645750.6,-99,36.226,GPair
CGCG 146-007,19779,KUG 0649+276,-99,4.039,GPair
CGCG 085-017,19905,CGCG 085-017 NED02,-99,0.850,GPair
ESO 427-IG 020,19906,WISEA J065640.71-282121.5,-99,8.190,GPair
ESO 122-IG 011,19962,ESO 122-IG 011 NED02,-99,6.124,GPair
ESO 434-IG 036,28001,2MASX J09455786-3212087,-99,7.682,GPair
NGC 3058,28513,NGC 3058 NED02,-99,0.000,GPair
ESO 263-IG 003,29320,WISEA J100550.45-441321.0,-99,47.324,GPair
ESO 374-IG 045,29811,ESO 374-IG 045 NED02,-99,30.254,GPair
ESO 374- G 046,29840,ESO 374- G 046 NED01,-99,12.782,GPair
ESO 437-IG 003,31334,2MASX J10350772-2759286,-99,2.148,GPair
ESO 437-IG 037,31772,6dF J1040310-291609,-99,1.549,GPair
ESO 569-IG?002,32082,WISEA J104500.05-220909.0,-99,3.855,GPair
MCG -02-28-039,33252,MCG -02-28-039 NED02,-99,5.608,GPair
CGCG 213-024,33426,CGCG 213-024 NED01,-99,117.914,GPair
ESO 502-IG 015,33509,WISEA J110514.90-235047.2,-99,4.292,GPair
ESO 215-IG 020,33522,ESO 215-IG 020 NED01,-99,8.213,GPair
ESO 215-IG 033,34058,WISEA J111154.12-475511.4,-99,4.342,GPair
ESO 319-IG 012,34618,ESO 319-IG 012 NED01,-99,4.597,GPair
NGC 3651,34898,NGC 3651 NED01,-99,6.880,GPair
ESO 377-IG 048,35188,WISEA J112624.80-361534.1,-99,7.569,GPair
MCG -03-30-002,35624,2MASX J11324346-1643560,-99,0.665,GPair
ESO 439- G 021,36116,2MASX J11390904-3158514,-99,2.727,GPair
NGC 3836,36445,NGC 3836 NED02,-99,3.265,GPair
UGC 06741,36681,UGC 06741 NED01,-99,33.812,GPair
ESO 504-IG 019,37127,WISEA J115142.25-274422.8,-99,13.420,GPair
ESO 505-IG 005,37960,WISEA J120150.55-240725.6,-99,1.486,GPair
ESO 267-IG 009,38032,ESO 267-IG 009 NED01,-99,7.047,GPair
ESO 380-IG 015,39744,ESO 380-IG 015 NED01,-99,8.398,GPair
ESO 380-IG 031,40845,WISEA J122724.94-342335.3,-99,1.159,GPair
ESO 380-IG 037,41393,2MASX J12310276-3730402,-99,2.925,GPair
IC 3557,42015,IC 3557 NED01,-99,2.320,GPair
ESO 506-IG 035,42525,WISEA J124102.90-255732.0,-99,1.512,GPair
ARK 388,43162,CGCG 043-025 NED01,-99,2.388,GPair
ESO 323- G 028,43719,ESO 323- G 028 NED01,-99,17.068,GPair
ESO 269-IG 022,44510,ESO 269-IG 022 NED01,-99,14.359,GPair
ESO 173-IG 005,45354,WISEA J130612.89-573322.0,-99,7.341,GPair
MCG -03-34-051,46533,MCG -03-34-051 NED02,-99,3.573,GPair
ESO 444-IG 089,48208,ESO 444-IG 089 NED01,-99,10.043,GPair
ESO 325-IG 012,48763,ESO 325-IG 012 NED02,-99,0.326,GPair
ESO 221-IG 008,49119,ESO 221-IG 008 NED02,-99,12.488,GPair
ESO 445-IG 072,3167737,WISEA J135334.82-312811.7,-99,13.027,GPair
ESO 510-IG 036,49851,ESO 510-IG 036 NED01,-99,15.405,GPair
ESO 510-IG 052,50095,WISEA J140334.68-271646.8,-99,0.191,GPair
MRK 0283,50065,MRK 0283a,50072,0.382,GPair
UM 653,3167795,VIII Zw 390 NED01,50978,0.539,GPair
ESO 067-IG 001,51434,WISEA J142407.76-720022.1,-99,7.473,GPair
ESO 446-IG 056,51380,2MASX J14225967-3106016,-99,4.248,GPair
ESO 326-IG 022,51521,WISEA J142540.24-393720.0,-99,14.888,GPair
MCG +05-34-063,51931,2MASS J14320502+2857306,-99,8.087,GPair
ESO 447- G 034,52643,WISEA J144426.97-310837.1,-99,1.799,GPair
ESO 513- G 009,53412,WISEA J145633.35-243007.5,-99,5.704,GPair
ESO 513-IG 011,53598,ESO 513-IG 011 NED01,3838330,18.025,GPair
ESO 448-IG 012,53968,ESO 448-IG 012 NED01,-99,2.941,GPair
MRK 1394,54116,6dF J1509455-075016,-99,2.733,GPair
CGCG 108-039,56631,CGCG 108-039 NED01,3442023,4.421,GPair
ESO 137-IG 005,57566,2MASX J16140865-6124527,-99,0.700,GPair
ESO 100-IG 020,57939,WISEA J162212.87-633302.2,-99,1.171,GPair
ESO 069-IG 006,58663,ESO 069-IG 006N,-99,34.749,GPair
UGC 10683,59569,UGC 10683 NED02,-99,32.689,GPair
NGC 6623,61739,NGC 6623 NED02,-99,14.615,GPair
ESO 281-IG 022,62209,ESO 281-IG 022 NED01,-99,8.717,GPair
IC 4759,62367,IC 4759 NED02,-99,6.081,GPair
ESO 104-IG 012,62433,ESO 104-IG 012 NED02,-99,14.185,GPair
ESO 281-IG 036,62577,WISEA J185554.41-461719.0,-99,6.766,GPair
ESO 141-IG 032,62909,WISEA J191253.05-602310.5,-99,3.014,GPair
ESO 184-IG 032,62907,ESO 184-IG 032 NED02,62906,10.746,GPair
ESO 184-IG 032 NED02,62906,ESO 184-IG 032 NED01,-99,18.868,G
ESO 593-IG 008,62946,ESO 593-IG 008S,-99,2.784,GPair
IC 4838,63002,IC 4838 NED01,-99,3.026,GPair
ESO 141-IG 057,63158,ESO 141-IG 057 NED01,-99,4.792,GPair
ESO 460- G 010,63340,2MASX J19322014-2923090,-99,7.549,GPair
ESO 594-IG 007,63408,WISEA J193629.49-200435.7,-99,4.378,GPair
ESO 527-IG 007,64062,WISEA J200431.01-262539.5,-99,5.371,GPair
ESO 284-IG 041,64389,ESO 284-IG 041 NED01,-99,11.818,GPair
ESO 400-IG 007,64484,ESO 400-IG 007 NED01,-99,4.094,GPair
CGCG 447-001,64467,CGCG 447-001 NED01,-99,11.700,GPair
UGC 11539,64454,VII Zw 931 NOTES01,-99,5.588,GPair
CGCG 447-003,64615,CGCG 447-003 NED01,-99,69.856,GPair
ESO 462-IG 020,64707,ESO 462-IG 020 NED01,-99,6.701,GPair
UGC 11564,64723,UGC 11564 NED02,-99,23.932,GPair
ESO 285-IG 036,65011,ESO 285-IG 036 NED02,-99,0.063,GPair
UGC 11634,65416,WISEA J204817.33+164335.1,-99,8.513,GPair
ESO 235-IG 013,65692,ESO 235-IG 013 NED01,-99,2.609,GPair
II Zw 096,65779,II Zw 096 NED02,-99,6.809,GPair
ESO 144-IG 016,65986,WISEA J210306.15-593435.7,-99,7.827,GPair
ESO 145-IG 001,66480,WISEA J211659.40-591959.1,-99,1.407,GPair
NGC 7204,68061,NGC 7204B,-99,15.510,GPair
ESO 467-IG 022,68306,ESO 467-IG 022 NED01,-99,24.190,GPair
NGC 7242,68434,NGC 7242 NED01,-99,13.982,GPair
ESO 467-IG 039,68509,WISEA J221738.20-272540.1,-99,2.332,GPair
ESO 011-IG 007,68833,WISEA J222522.85-834858.4,-99,34.658,GPair
ESO 076-IG 015,68846,6dF J2225550-703403,-99,1.211,GPair
ESO 467-IG 055,68820,2MASS J22252077-3121050,-99,16.792,GPair
ESO 238-IG 011,68907,ESO 238-IG 011 NED02,-99,8.126,GPair
IV Zw 110 NED02,69516,IV Zw 110 NED01,-99,21.776,GPair
ESO 603-IG 023,69890,ESO 603-IG 023 NED02,-99,27.066,GPair
ESO 239-IG 006,70182,ESO 239-IG 006 NED01,-99,8.346,GPair
NGC 7459,3168554,NGC 7459 NED02,200385,6.516,GPair
ESO 290-IG 051,70494,ESO 290-IG 051 NED02,-99,29.904,GPair
AM 2309-235 NED01,70673,2MASX J23120701-2333168,-99,4.706,GPair
ESO 535-IG 014,71020,WISEA J231843.37-270752.7,-99,5.533,GPair
ESO 077-IG 014,71158,ESO 077-IG 014 NED01,-99,7.819,GPair
ESO 347-IG 014,71423,ESO 347-IG 014 NED01,71422,1.417,GPair
ESO 408-IG 002,71491,ESO 408-IG 002 NED01,-99,4.426,GPair
MRK 0930,71681,MRK 0930S,-99,4.504,GPair
ESO 536- G 010,71898,WISEA J233649.25-265929.5,-99,4.730,GPair
ESO 408-IG 017,72142,WISEA J234149.08-363732.2,-99,1.746,GPair
ESO 292-IG 015,72197,WISEA J234307.41-425436.4,-99,28.759,GPair
IC 5349,72358,IC 5349 NED01,-99,3.734,GPair
NGC 7774,72679,NGC 7774 NED01,-99,7.067,GPair
IC 1623,4667731,IC 1623B,4008,5.726,GPair
VV 107,9449,VV 107a,-99,4.715,GPair
IC 1892,11750,IC 1892 NED01,4681571,0.000,GPair
NGC 1487,14117,NGC 1487 NED01,3669546,15.222,GPair
VV 262,51926,VV 262a,-99,11.420,GPair
VV 017,69991,VV 017a,-99,13.307,GPair
CGCG 502-027,3166493,CGCG 502-027 NED02,4773,0.076,GPair
NGC 0704,6953,NGC 0704 NED02,197601,4.436,GPair
NGC 0978,9821,NGC 0978A,-99,12.152,GPair
IC 0316,12576,IC 0316 NED01,-99,5.812,GPair
NGC 5222,47871,NGC 5222 NED01,-99,12.050,GPair
MCG +00-35-012,48008,UGC 08584 NED02,-99,5.324,GPair
CGCG 220-039,97532,CGCG 220-039 NED01,52297,12.353,GPair
UGC 10152,3167940,SDSS J160243.30+411150.1,-99,3.534,GPair
NGC 6052,57039,NGC 6052 NED01,-99,1.370,GPair
MCG +02-27-005,30431,MCG +02-27-005 NED01,-99,3.296,GPair
UGC 09509,52728,UGC 09509 NOTES01,52726,7.669,GPair
UGC 09509 NOTES01,52726,UGC 09509 NOTES02,5094024,12.038,G
UGCA 166,3167220,MRK 0116 NED01,-99,0.000,GPair
IC 5364,72950,IC 5364 NED02,-99,2.021,GPair
IC 5289,70645,IC 5289 NED02,-99,5.086,GPair
3C 433,66688,WISEA J212344.58+250427.7,-99,15.315,GPair
VI Zw 138,7688,VI Zw 138 NOTES02,-99,1.901,GPair
FAIRALL 0216,3479,ABELL S0112:[GMT93] C,-99,7.124,GPair
VV 636,9775,2MASX J02335812+3157226,3515990,0.405,GPair
PKS 0452-260,2824146,WISEA J045433.80-255758.8,-99,0.942,GPair
PKS 0602-64,319866,WISEA J060238.44-644316.6,-99,5.532,GPair
PKS 1221-42,139813,WISEA J122343.36-423532.2,-99,6.493,GPair
PKS 1555-140,56531,WISEA J155821.90-140959.2,-99,0.617,GPair
PKS 1302-325,140063,WISEA J130458.52-324914.9,-99,0.809,GPair
MCG +12-02-001,3183,MCG +12-02-001 NED02,3182,6.755,GPair
GALEXASC J011423.46+103548.6,89893,WISEA J011423.56+103549.9,-99,0.829,GPair
III Zw 035,6390,III Zw 035 NOTES01,-99,3.689,GPair
IRAS 03359+1523,13430,2MASX J03384633+1532549,-99,6.190,GPair
IRAS 04141+0008,14783,WISEA J041643.11+001621.9,-99,2.657,GPair
IRAS 04358-4654,138745,WISEA J043715.76-464841.9,-99,3.677,GPair
KUG 0447+080,16127,WISEA J045013.03+080806.9,-99,3.559,GPair
IRAS 04580+0018,3080743,WISEA J050035.11+002321.0,-99,1.500,GPair
IRAS 05241-2153,17282,WISEA J052613.07-215049.4,-99,6.475,GPair
2MASS J06133180-1022453,97155,WISEA J061331.87-102247.5,-99,3.203,GPair
