objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
UGC 09108,50861,UGC 09108 NED03,-99,10.129,GTrpl
CGCG 059-055,23136,WISEA J081515.44+101650.8,-99,81.125,GTrpl
NGC 6670,62033,NGC 6670A,-99,17.048,GTrpl
IC 3278,40345,IC 3278 NED03,-99,10.732,GTrpl
VV 145,34164,WISEA J111320.12+023248.4,-99,12.296,GTrpl
ARP 251,3163,WISEA J005348.40-135114.9,-99,10.104,GTrpl
CGCG 406-110,71475,CGPG 2324.7+0429 NED03,-99,16.161,GTrpl
WISEA J215104.80-484832.7,190565,ESO 237-IG 006 NED01,67484,2.100,GTrpl
CGCG 074-053,49987,CGCG 1359.7+0949 NED01,-99,9.993,GTrpl
UGC 06527,35620,UGC 06527 NED03,-99,25.342,GTrpl
NGC 5679,52132,NGC 5679 NED02,-99,9.557,GTrpl
CGCG 004-085,24198,CGCG 004-085 NED01,-99,13.253,GTrpl
ESO 202- G 013,15010,ESO 202- G 013 NED03,-99,0.000,GTrpl
2MASX J15202412+3105572,54733,ABELL 2061:KYDISC 00010,-99,3.656,GTrpl
CGCG 015-030,43783,CGCG 015-030 NED02,-99,5.492,GTrpl
CGCG 164-057,53747,CGCG 164-057 NED03,-99,24.970,GTrpl
CGCG 165-014,53859,CGCG 165-014 NED03,-99,55.193,GTrpl
NGC 7212,68065,NGC 7212 NED02,-99,13.059,GTrpl
CGCG 049-142,54812,MCG +01-39-020 NED01,-99,109.793,GTrpl
UGC 09540,200320,UGC 09540 NED02,-99,1.067,GTrpl
ESO 197-IG 001,6605,ESO 197-IG 001 NED01,-99,44.984,GTrpl
MCG +09-15-076,25334,KUG 0857+528,-99,1.980,GTrpl
B2 1637+29,58696,2MASX J16392015+2950558,-99,1.514,GTrpl
IC 3128,39562,IC 3128A,-99,25.484,GTrpl
CGCG 103-047,49969,CGCG 103-047 NED02,-99,17.182,GTrpl
VV 628,32827,SBS 1052+581,-99,39.774,GTrpl
MCG +04-37-038,56101,WISEA J154855.78+214818.5,-99,0.996,GTrpl
CGCG 255-027,62741,CGCG 255-027 NED02,-99,13.895,GTrpl
CGCG 013-047,38041,CGCG 013-047 NED01,-99,18.196,GTrpl
IV Zw 157,1698718,KUG 2334+237,-99,14.149,GTrpl
ESO 186-IG 054,64810,WISEA J202945.92-543721.4,-99,12.045,GTrpl
UGC 07936,43044,UGC 07936 NED01,-99,17.362,GTrpl
UGC 11044,61116,UGC 11044 NED03,-99,0.000,GTrpl
UGC 09394,52167,UGC 09394 NED03,-99,22.091,GTrpl
APMUKS(BJ) B020550.65-13135 ID,174834,WISEA J020816.54-125940.4,-99,4.192,GTrpl
VV 639,31258,VV 639 NED03,-99,9.331,GTrpl
ESO 194-IG 037,2732,ESO 194-IG 037 NED03,-99,0.000,GTrpl
NGC 7764A,72762,NGC 7764A NED01,-99,18.576,GTrpl
AM 2319-534,129126,WISEA J232156.77-532925.9,-99,9.202,GTrpl
VV 154,26677,SDSS J092449.60+213418.6,-99,4.524,GTrpl
CGCG 120-016,1764122,CGCG 120-016 NED02,-99,32.472,GTrpl
NGC 5745,52669,NGC 5745 NED03,-99,0.000,GTrpl
CGCG 012-072,36593,CGCG 012-072 NED01,-99,7.854,GTrpl
AM 0418-513,129621,WISEA J042014.12-512637.5,-99,3.544,GTrpl
ESO 355-IG 012,9058,WISEA J022307.03-325135.1,-99,46.596,GTrpl
CGCG 135-050,54804,CGCG 135-050 NED01,-99,6.868,GTrpl
UGC 06896,37459,UGC 06896 NED03,-99,21.115,GTrpl
CGCG 382-027,536,CGCG 382-027 NED02,-99,33.801,GTrpl
CGCG 037-059,31006,CGCG 037-059 NED03,-99,28.857,GTrpl
