# Object-level update of coordinates and other galaxy properties based on VI
# (visual inspections). A value of -99 means that property should not be
# updated.
#
objname,ra,dec,diam,pa,ba,comment
WISEA J185454.36-465138.8,-99.,-99.,1.8,-99.,-99.,Extended envelope
IC 4801,-99.,-99.,2.2,-99.,-99.,Extended envelope
WISEA J190504.92-385450.5,-99.,-99.,0.4,0.0,1.0,Smaller than initial size and better geometry
WISEA J191506.11-171351.0,-99.,-99.,1.0,-99.,-99.,Extended envelope
MCG -06-44-014,-99.,-99.,1.4,-99.,-99.,Extended envelope
NGC 6854,-99.,-99.,4.3,-99.,-99.,Extended envelope
NGC 6854B,-99.,-99.,0.5,-99.,-99.,Smaller than initial size
MCG -04-50-008,-99.,-99.,0.8,-99.,-99.,Extended envelope
ESO 530- G 020,-99.,-99.,1.0,-99.,-99.,Extended envelope
PGC 131568,322.4089,-41.8788,0.5,0.0,1.0,Smaller than initial size and better geometry
WISEA J215710.68-712901.6,-99.,-99.,0.8,-99.,-99.,Extended envelope
ESO 237-IG 040 NED02,-99.,-99.,1.0,-99.,-99.,Extended envelope
WISEA J222716.03-024920.3,336.8164,-2.8233,-99.,-99.,-99.,Better coordinates
WISEA J223547.75-743651.7,-99.,-99.,1.7,-99.,-99.,Extended envelope
WISEA J000142.50-334607.9,0.4291,-33.7693,-99.,-99.,-99.,Better coordinates
UGC 07910 NED02,-99.,-99.,1.0,-99.,-99.,Extended envelope
III Zw 066,186.82405883635172,14.147236516618312,1.4,42.0,0.62,Centered on a star
CGCG 290-060,-99.,-99.,1.0,-99.,-99.,Extended envelope
VCC 1017,186.8826,9.5958,-99.,15.0,-99.,Better coordinates and PA
WISEA J200056.55-553753.7,-99.,-99.,1.5,-99.,-99.,Extended envelope
KUG 0048-201,-99.,-99.,1.1,-99.,-99.,Smaller than initial size
WISEA J233059.02+163529.6,-99.,-99.,0.7,-99.,-99.,Larger
GALEXASC J225721.34+275854.9,-99.,-99.,0.6,-99.,-99.,Larger
WISEA J094017.60+130136.5,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J230841.56+214129.3,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J215632.58+075346.9,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J230450.34+224708.0,-99.,-99.,0.7,-99.,-99.,Larger
WISEA J011032.33+295735.4,-99.,-99.,0.7,-99.,-99.,Larger
LSBC F583-02,-99.,-99.,1.5,-99.,-99.,Larger
WISEA J003733.44-065519.9,-99.,-99.,1.2,-99.,-99.,Extended envelope
WISEA J231407.94+064440.3,-99.,-99.,0.7,-99.,-99.,Larger
CGCG 287-072,-99.,-99.,1.5,-99.,-99.,Extended envelope
WISEA J230009.18+242102.6,-99.,-99.,1.0,-99.,-99.,Extended envelope
GALEXASC J232858.64+312343.2,-99.,-99.,1.0,-99.,-99.,Larger
