# Object-level actions based on VI (visual inspections).
objname,action,reason,comment
SDSS J095357.69+455451.9,drop,faint shred or compact,
SDSS J095529.87+372524.5,drop,faint shred or compact,
SDSS J095531.90+372522.5,drop,faint shred or compact,
SDSS J095912.20+363728.3,drop,faint shred or compact,
SDSS J095921.13+543042.5,drop,faint shred or compact,
SDSS J095921.25+543056.2,drop,faint shred or compact,
WISEA J095933.43+433943.3,drop,faint shred or compact,
SDSS J100053.35+470122.0,drop,faint shred or compact,
SDSS J100148.51+484022.8,drop,faint shred or compact,
SDSS J100408.65+530329.9,drop,faint shred or compact,
SDSS J100732.78+525327.3,drop,faint shred or compact,
SDSS J100855.70+580435.4,drop,faint shred or compact,
SDSS J100927.85+490234.1,drop,faint shred or compact,
SDSS J100953.55+580820.3,drop,faint shred or compact,
SDSS J100953.91+580826.3,drop,faint shred or compact,
2MASS J10100352+4707061,drop,faint shred or compact,
SDSS J101119.06+503323.7,drop,faint shred or compact,
SDSS J101245.70+543041.1,drop,faint shred or compact,
SDSS J101255.50+585146.5,drop,faint shred or compact,
SDSS J101624.39+474544.7,drop,faint shred or compact,
SDSS J101735.49+431048.9,drop,faint shred or compact,
WISEA J101843.81+512803.0,drop,faint shred or compact,
SDSS J101907.76+635806.0,drop,faint shred or compact,
SDSS J102038.98+284232.4,drop,faint shred or compact,
WISEA J102039.50+284242.3,drop,faint shred or compact,
SDSS J102236.71+543147.3,drop,faint shred or compact,
SDSS J102247.80+373653.8,drop,faint shred or compact,
SDSS J102257.05+604543.8,drop,faint shred or compact,
SDSS J102705.66+460332.4,drop,faint shred or compact,
SDSS J102809.42+391401.9,drop,faint shred or compact,
2MASS J10282229+4334240,drop,faint shred or compact,
SDSS J102856.10+385255.7,drop,faint shred or compact,
SDSS J102945.28+471712.8,drop,faint shred or compact,
SDSS J103130.88+464213.8,drop,faint shred or compact,
SDSS J103232.78+564240.2,drop,faint shred or compact,
SDSS J103413.32+452956.2,drop,faint shred or compact,
SDSS J103439.09+343510.0,drop,faint shred or compact,
SDSS J103448.54+470136.5,drop,faint shred or compact,
SDSS J103501.72+614240.6,drop,faint shred or compact,
SDSS J103815.38+450418.2,drop,faint shred or compact,
SDSS J103909.69+371423.2,drop,faint shred or compact,
SDSS J104507.53+503611.9,drop,faint shred or compact,
SDSS J104605.72+451037.7,drop,faint shred or compact,
SDSS J104720.34+314056.7,drop,faint shred or compact,
WISEA J104720.77+314059.2,drop,faint shred or compact,
SDSS J104827.27+381741.6,drop,faint shred or compact,
SDSS J104912.03+372635.4,drop,faint shred or compact,
SDSS J105245.21+380300.3,drop,faint shred or compact,
WISEA J105310.42+455837.0,drop,faint shred or compact,
SDSS J105409.21+564910.0,drop,faint shred or compact,
2MASS J10570070+5736457,drop,faint shred or compact,
SDSS J105844.05+431916.4,drop,faint shred or compact,
SDSS J110036.98+440543.7,drop,faint shred or compact,
SDSS J110146.78+455221.3,drop,faint shred or compact,
SDSS J110333.34+451012.4,drop,faint shred or compact,
SDSS J110416.00+530801.2,drop,faint shred or compact,
SDSS J110418.39+500206.5,drop,faint shred or compact,
SDSS J110610.41+313658.6,drop,faint shred or compact,
SDSS J110611.06+313700.3,drop,faint shred or compact,
SDSS J110611.31+481607.2,drop,faint shred or compact,
SDSS J110913.14+493118.0,drop,faint shred or compact,
SDSS J111022.29+541110.1,drop,faint shred or compact,
SDSS J111118.09+472623.6,drop,faint shred or compact,
SDSS J111243.98+580641.2,drop,faint shred or compact,
SDSS J111244.88+580659.6,drop,faint shred or compact,
SDSS J111334.40+481839.8,drop,faint shred or compact,
SDSS J111350.14+385809.6,drop,faint shred or compact,
SDSS J111455.82+502008.0,drop,faint shred or compact,
SDSS J111537.06+325259.4,drop,faint shred or compact,
SDSS J111537.66+325245.6,drop,faint shred or compact,
SDSS J111650.54+544351.7,drop,faint shred or compact,
SDSS J111723.59+504032.6,drop,faint shred or compact,
SDSS J112117.33+470317.2,drop,faint shred or compact,
SDSS J112133.13+443537.9,drop,faint shred or compact,
SDSS J112147.06+554513.5,drop,faint shred or compact,
SDSS J112214.59+341651.3,drop,faint shred or compact,
SDSS J112418.10+480842.1,drop,faint shred or compact,
SDSS J112544.09+553116.5,drop,faint shred or compact,
SDSS J112556.47+641942.7,drop,faint shred or compact,
SDSS J112629.05+544716.2,drop,faint shred or compact,
2MASS J11262908+5447105,drop,faint shred or compact,
WISEA J112626.04+544729.2,drop,faint shred or compact,
SDSS J112736.75+472258.0,drop,faint shred or compact,
SDSS J112734.56+472245.6,drop,faint shred or compact,
WISEA J112735.48+472246.3,drop,faint shred or compact,
SDSS J112750.18+473429.2,drop,faint shred or compact,
GALEXASC J112852.57+505957.9,drop,faint shred or compact,
SDSS J112931.73+631413.7,drop,faint shred or compact,
SDSS J112932.14+631408.2,drop,faint shred or compact,
SDSS J113046.92+410943.3,drop,faint shred or compact,
SDSS J113857.83+500021.1,drop,faint shred or compact,
SDSS J113958.28+535234.2,drop,faint shred or compact,
SDSS J114325.89+360639.1,drop,faint shred or compact,
SDSS J114501.37+501958.1,drop,faint shred or compact,
SDSS J114517.62+493417.3,drop,faint shred or compact,
SDSS J114630.83+554639.7,drop,faint shred or compact,
SDSS J115026.20+455612.9,drop,faint shred or compact,
SDSS J115052.35+530404.6,drop,faint shred or compact,
SDSS J115225.34+585837.3,drop,faint shred or compact,
SDSS J115235.95+490815.4,drop,faint shred or compact,
SDSS J115328.30+594200.2,drop,faint shred or compact,
SDSS J115330.24+594151.9,drop,faint shred or compact,
SDSS J115349.52+631158.0,drop,faint shred or compact,
SDSS J115409.96+442149.4,drop,faint shred or compact,
SDSS J115458.50+484444.2,drop,faint shred or compact,
SDSS J115501.22+484711.7,drop,faint shred or compact,
SDSS J115503.09+484141.3,drop,faint shred or compact,
SDSS J115603.43+394340.3,drop,faint shred or compact,
SDSS J115811.73+423609.8,drop,faint shred or compact,
SDSS J115812.76+423559.2,drop,faint shred or compact,
SDSS J120015.68+541518.7,drop,faint shred or compact,
SDSS J120021.70+563713.7,drop,faint shred or compact,
SDSS J120023.20+563714.9,drop,faint shred or compact,
SDSS J120024.24+563711.0,drop,faint shred or compact,
WISEA J120032.48+561846.1,drop,faint shred or compact,
SDSS J120337.08+543251.1,drop,faint shred or compact,
SDSS J120537.62+424106.6,drop,faint shred or compact,
SDSS J120720.96+573823.2,drop,faint shred or compact,
SDSS J120733.03+481748.5,drop,faint shred or compact,
SDSS J120802.48+391436.2,drop,faint shred or compact,
SDSS J120846.65+471325.7,drop,faint shred or compact,
SDSS J120942.34+505843.3,drop,faint shred or compact,
SDSS J121400.82+321858.9,drop,faint shred or compact,
2MASS J12165258+3444052,drop,faint shred or compact,
SDSS J122221.00+310740.6,drop,faint shred or compact,
SDSS J122221.43+310737.5,drop,faint shred or compact,
SDSS J122224.12+492007.4,drop,faint shred or compact,
SDSS J122510.32+451055.3,drop,faint shred or compact,
SDSS J122933.66+354622.5,drop,faint shred or compact,
SDSS J123022.89+504229.7,drop,faint shred or compact,
SDSS J123152.56+522407.4,drop,faint shred or compact,
SDSS J123604.12+475435.6,drop,faint shred or compact,
SDSS J123616.14+663602.8,drop,faint shred or compact,
SDSS J124222.29+362756.5,drop,faint shred or compact,
SDSS J124437.30+490034.8,drop,faint shred or compact,
SDSS J124620.50+451710.9,drop,faint shred or compact,
2MASS J12495631+4943049,drop,faint shred or compact,
SDSS J125115.81+522918.6,drop,faint shred or compact,
SDSS J125136.57+365707.0,drop,faint shred or compact,
SDSS J125218.43+481128.8,drop,faint shred or compact,
SDSS J125341.51+481806.2,drop,faint shred or compact,
SDSS J125350.38+465649.0,drop,faint shred or compact,
SDSS J125650.60+302520.9,drop,faint shred or compact,
SDSS J125734.81+482927.6,drop,faint shred or compact,
SDSS J130014.86+481826.7,drop,faint shred or compact,
SDSS J130019.93+574745.2,drop,faint shred or compact,
SDSS J130023.43+481624.6,drop,faint shred or compact,
SDSS J130118.93+573719.3,drop,faint shred or compact,
SDSS J130153.13+361346.6,drop,faint shred or compact,
SDSS J130309.76+472650.8,drop,faint shred or compact,
SDSS J130312.13+484659.7,drop,faint shred or compact,
SDSS J130321.39+650807.5,drop,faint shred or compact,
SDSS J130428.74+431619.1,drop,faint shred or compact,
SDSS J130437.40+483210.5,drop,faint shred or compact,
SDSS J130545.41+325022.6,drop,faint shred or compact,
SDSS J130556.66+325016.7,drop,faint shred or compact,
SDSS J130557.35+325013.7,drop,faint shred or compact,
SDSS J130624.47+532848.2,drop,faint shred or compact,
GALEXASC J130728.25+542650.4,drop,faint shred or compact,
2MASS J13084589+4313465,drop,faint shred or compact,
SDSS J130852.72+395558.5,drop,faint shred or compact,
SDSS J130902.27+505130.3,drop,faint shred or compact,
SDSS J131011.10+483725.1,drop,faint shred or compact,
SDSS J131034.09+453913.7,drop,faint shred or compact,
