# VI-based update to LVD v1.0.5 properties
objname,ra,dec,diam,ba,pa,radec_ref,diam_ref,ba_ref,pa_ref
HIPASS J1348-37,207.1412,-37.9677,0.6,-99.0,15.0,VI,VI,,VI
KK 213,-99.0,-99.0,0.82,-99.0,-99.0,,v1.0.5,,
dw1342-43,205.6833333333333,-43.25527777777778,-99.0,-99.0,-99.0,NED,,,
dw1227p0136,186.9418,1.6037,1.8,0.8,-99.0,VI,VI,VI,
ESO 294-G010,-99.0,-99.0,2.2,-99.0,-99.0,,VI,,
KKSG 29,189.30624999999998,-10.49611111111111,-99.0,-99.0,-99.0,NED,,,
KDG 215,-99.0,-99.0,-99.0,-99.0,54.0,,,,VI
AGC 238890,-99.0,-99.0,1.103,0.66,163.0,,SGA2020,SGA2020,SGA2020
dw0132+1422,-99.0,-99.0,-99.0,-99.0,49.0,,,,VI
KKSG 37,-99.0,-99.0,-99.0,-99.0,150.0,,,,VI
HIPASS J1337-39,204.35541666666663,-39.89661111111111,0.75,-99.0,0.0,NED,VI,,VI
KKSG 22,166.53224999999998,-1.4469722222222223,-99.0,-99.0,-99.0,NED,,,
dw0136p1628,-99.0,-99.0,-99.0,-99.0,122.0,,,,VI
JKB142,-99.0,-99.0,-99.0,-99.0,150.0,,,,VI
LSBC D565-09,143.3069583333333,20.515361111111112,0.5,-99.0,105.0,NED,VI,,VI
LeG19,161.72754166666667,12.788194444444445,-99.0,-99.0,-99.0,NED,,,
dw1049p1247,162.29749999999999,12.792777777777777,-99.0,-99.0,-99.0,NED,,,
LeG14,161.5591665,12.9605556,-99.0,-99.0,-99.0,HYPERLEDA,,,
dw1238m0105,189.70878723304824,-1.0868441333076733,0.16,0.7,48.0,VI,VI,VI,VI
Holmberg II,124.77074999999998,70.72002777777777,-99.0,-99.0,-99.0,NED,,,
NGC2976,-99.0,-99.0,-99.0,-99.0,143.0,,,,HYPERLEDA
DDO 125,186.9249170689504,43.4934747726463,4.7,-99.0,-99.0,VI,VI,,
UGC 6451,-99.0,-99.0,1.866,-99.0,-99.0,,SGA2020,,
KK 77,147.55449,67.509182,-99.0,-99.0,24.0,HYPERLEDA,,,VI
KDG 63,151.27666666666664,66.55888888888889,-99.0,-99.0,-99.0,NED,,,
MCG+09-20-131,183.945437,52.387951,1.4,-99.0,-99.0,SGA2020,VI,,
UGC 11411,287.1813087065812,70.28425850224755,1.0,0.72,153.,VI,VI,VI,VI
KK 191,198.4161869237115,42.043011904407486,-99.,-99.,-99.,VI,,,,
KK 109,176.7996586361319,43.672241072937,0.48,0.5,2.6,VI,VI,VI,VI
