OBJNAME,FIELD,NEW_VALUE,REASON
WISEA J183137.50+312435.8,REGION,2,Not in dr11-south
WISEA J164228.94+343030.0,REGION,2,Not in dr11-south
MCG +06-35-011,REGION,2,Not in dr11-south
2MASX J14432844+3428494,REGION,2,Not in dr11-south
WISEA J093902.46+333055.4,REGION,2,Not in dr11-south
KUG 0656+338,REGION,2,Not in dr11-south
WISEA J164228.94+343030.0,REGION,2,Not in dr11-south
WISEA J055017.29-711421.9,DIAM,0.7,MCs
WISEA J181424.50-523152.3,DIAM,0.9,VI
WISEA J060249.26-650639.2,DIAM,0.85,VI
WISEA J060249.26-650639.2,BA,0.97,VI
WISEA J060249.26-650639.2,PA,18.0,VI
WISEA J051333.81-435039.4,DIAM,0.6,VI
WISEA J051333.81-435039.4,BA,0.42,VI
WISEA J051333.81-435039.4,PA,37.0,VI
WISEA J224045.48+110100.2,DIAM,0.77,VI
WISEA J224045.48+110100.2,BA,0.61,VI
WISEA J224045.48+110100.2,PA,121.0,VI
FGCE 1544,RA,315.2401,VI
FGCE 1544,DEC,-42.8170,VI
FGCE 1544,DIAM,1.0,VI
FGCE 1544,PA,10.0,VI
WISEA J043537.97-114317.1,DIAM,0.6,VI
WISEA J043537.97-114317.1,BA,0.26,VI
WISEA J043537.97-114317.1,PA,70.0,VI
WISEA J032207.84+211741.2,RA,50.532351,VI
WISEA J032207.84+211741.2,DEC,21.294901,VI
WISEA J035630.88-475302.0,RA,59.127920,VI
WISEA J035630.88-475302.0,DEC,-47.884027,VI
WISEA J040702.20-170737.0,RA,61.758813,VI
WISEA J040702.20-170737.0,DEC,-17.126917,VI
ESO 502- G 018,DIAM,1.5,VI
CGCG 375-043 NED01,DIAM,1.0,VI
CGCG 375-043 NED01,BA,0.84,VI
CGCG 375-043 NED01,PA,113.0,VI
GALEXASC J215607.11-655147.1,RA,329.0305,VI
GALEXASC J215607.11-655147.1,DEC,-65.8636,VI
GALEXASC J215607.11-655147.1,DIAM,1.2,VI
GALEXASC J215607.11-655147.1,BA,0.9,VI
GALEXASC J215607.11-655147.1,PA,0.0,VI
WISEA J025813.71+055416.7,DIAM,0.6,VI
WISEA J025813.71+055416.7,BA,0.3,VI
WISEA J025813.71+055416.7,PA,160.0,VI

RA,,VI
DEC,,VI

RA,,VI
DEC,,VI

DIAM,,VI
BA,,VI
PA,,VI
