OBJNAME,FIELD,NEW_VALUE,REASON
SMDG J0317417-370839,DIAM,0.7,VI
NGC 2993,DIAM,3.0,VI
NGC 4869,DIAM,1.5,VI
NGC 4637,DIAM,2.0,VI
NGC 4637,PA,90.0,VI
NGC 1531,DIAM,2.2,VI
NGC 0441,DIAM,2.2,VI
NGC 7233,DIAM,3.0,VI
UGC 06697,DIAM,2.9,VI
UGC 06697,BA,0.2,VI
UGC 06697,PA,135.0,VI
NGC 3841,DIAM,1.7,VI
NGC 4323,DIAM,1.5,VI
NGC 4323,BA,0.7,VI
NGC 4323,PA,147.0,VI
NGC 0392,DIAM,1.35,VI
NGC 0392,BA,0.7,VI
NGC 0392,PA,50.0,VI
WISEA J200241.66-555530.3,DIAM,0.8,VI
NGC 1326B,DIAM,7.5,VI
NGC 1601,DIAM,1.5,VI
UGC 10169,DIAM,3.2,VI
UGC 10164,DIAM,1.5,VI
WISEA J132814.50-313247.4,DIAM,0.7,VI
WISEA J132817.11-313338.7,DIAM,0.8,VI
NGC 4257,DIAM,2.8,VI
NGC 4257,BA,0.32,VI
NGC 4257,PA,74.0,VI
WISEA J050759.25-373016.6,DIAM,0.9,VI
WISEA J050759.25-373016.6,BA,0.41,VI
WISEA J050759.25-373016.6,PA,31.0,VI
MCG -04-53-019,DIAM,0.9,VI
MCG -04-53-019,BA,0.5,VI
ESO 548- G 016,DIAM,1.4,VI
ESO 548- G 016,BA,0.47,VI
ESO 548- G 016,PA,134.0,VI
2MASX J13000626+2746332,PA,120.0,VI
WISEA J201221.54-564755.8,DIAM,0.6,VI
WISEA J201230.86-564753.9,DIAM,1.2,VI
WISEA J123833.33+023952.8,DIAM,0.6,VI
WISEA J103704.91-272359.7,DIAM,1.0,VI
WKK 7657,DIAM,1.5,VI
VPC 0773,DIAM,0.8,VI
NGC 5091,DIAM,2.0,VI
NGC 5091,BA,0.4,VI
NGC 4283,DIAM,1.5,VI
IC 4721A,DIAM,1.0,VI
IC 4721A,BA,0.9,VI
IC 3290,DIAM,2.2,VI
IC 3290,BA,0.7,VI
IC 3290,PA,35.0,VI
NGC 1046,DIAM,2.1,VI
NGC 1046,BA,0.9,VI
NGC 1046,PA,30.0,VI
NGC 1044 NED01,DIAM,1.0,VI
NGC 1044 NED01,BA,0.7,VI
NGC 1044 NED01,PA,115.0,VI
NGC 4164,DIAM,1.5,VI
ESO 280- G 007,DIAM,2.0,VI
WISEA J181744.09-424422.7,DIAM,1.5,VI
WISEA J221018.77-121014.2,DIAM,2.5,VI
IC 2163,DIAM,4.0,VI
UGC 09861 NED02,DIAM,3.8,VI
WISEA J074240.60+092220.6,DIAM,4.0,VI
CGCG 060-036,DIAM,3.2,VI
IC 0983,DIAM,5.5,VI
IC 0983,BA,0.87,VI
IC 0983,PA,120.0,VI
ESO 342- G 008,DIAM,2.6,VI
ESO 342- G 008,BA,0.68,VI
ESO 342- G 008,PA,58.0,VI
MCG +03-32-084,DIAM,0.73,VI
MCG +03-32-084,BA,0.76,VI
MCG +03-32-084,PA,69.0,VI
NGC 0289,DIAM,8.0,VI
WISEA J172342.22-645728.6,DIAM,0.9,VI
WISEA J172342.22-645728.6,BA,0.6,VI
WISEA J172342.22-645728.6,PA,40.0,VI
2MASX J20090639-5422478,DIAM,2.0,SGA2020
2MASX J20090639-5422478,BA,0.79,SGA2020
2MASX J20090639-5422478,PA,37.0,SGA2020
NGC 0998,DIAM,1.7,VI
NGC 0998,BA,0.67,VI
NGC 0998,PA,6.4,VI
ESO 034-IG 011 NED01,DIAM,1.6,VI
ESO 034-IG 011 NED01,BA,0.54,VI
ESO 034-IG 011 NED01,PA,150.0,VI
ESO 034-IG 011 NED02,DIAM,2.5,VI
MCG -01-06-022,DIAM,2.2,VI
MCG -01-06-022,BA,0.37,VI
MCG -01-06-022,PA,175.0,VI
IC 1078,DIAM,1.3,VI
