OBJNAME,REGION,RA,DEC,DIAM,PA,BA,MAG,REASON
WISEA J111632.34+291633.5,dr11-south,169.13470833333335,29.275972222222222,0.9,113.2,0.83,14.9,SGA2020 dropped
AM 0517-250 NED02,dr11-south,79.95699999999998,-25.10552777777778,0.664,59.7,0.390,16.375,SGA2020
SSTSL2 J103723.18-271029.1,dr11-south,159.34654166666664,-27.175305555555557,0.664,48.0,0.363,18.960,HYPERLEDA
I Zw 167 NOTES02,dr9-north,252.30299999999997,53.40511111111111,0.664,120.0,1.000,15.340,LIT
AM 0426-625 NED01,dr11-south,66.8031,-62.7938,1.0,0.0,1.000,13.000,LIT
NGC 4410 NED02,dr11-south,186.62324999999996,9.019222222222224,1.1,88.5,0.702,13.218,SGA2020
PGC004072,dr11-south,17.21260880410511,-15.40680857685954,2.720,69.5,0.760,14.830,SGA2020 dropped
PGC004070,dr11-south,17.218545009555534,-15.42188173571031,0.796,58.0,0.595,15.920,SGA2020 dropped
IC0077,dr11-south,17.182227120288452,-15.420923273640765,0.653,82.0,0.837,16.227,SGA2020 dropped
PGC073659,dr11-south,17.205695538297096,-15.42382629973095,0.558,61.7,0.808,17.300,SGA2020 dropped
PGC093122,dr11-south,203.733882356164,13.742476499925486,2.633,34.4,0.803,15.563,SGA2020 dropped
UGC11126,dr11-south,272.14062142053615,25.72467325452021,2.617,45.2,0.104,17.000,SGA2020 dropped
PGC3135931,dr9-north,260.4294453155835,57.28460734098274,1.0,69.8,0.217,17.755,SGA2020 dropped
ESO299-005,dr11-south,37.368184023850375,-39.58166142747833,2.404,137.0,0.130,16.018,SGA2020 dropped
PGC053553,dr9-north,224.88501661641945,53.89737494855305,0.7,13.0,0.661,14.500,SGA2020 dropped
PGC045357,dr9-north,196.56575198215037,62.00751851595164,0.7,112.1,0.572,15.630,SGA2020 dropped
PGC062853,dr9-north,287.5967519260351,49.167976978047534,1.0,162.7,0.468,15.349,SGA2020 dropped
PGC3131728,dr9-north,244.1881732968575,48.6004486970113,0.7,13.3,0.195,17.240,SGA2020 dropped
PGC2705264,dr9-north,261.5699086736204,67.74856599913473,1.0,113.8,0.439,15.390,SGA2020 dropped
2MASXJ12002006+5617100,dr9-north,180.0835190002388,56.286148412289286,2.086,40.4,0.522,16.465,SGA2020 dropped
PGC037428,dr11-south,178.92576178818248,24.920152853056784,2.047,48.2,0.131,16.545,SGA2020 dropped
UGC08862,dr11-south,209.16940110776233,20.17139009701555,2.042,135.4,0.125,15.710,SGA2020 dropped
UGC10890,,262.9201874756233,32.2319165196278,2.0,87.5,0.1216,15.511,SGA2020 dropped
UGC12112,dr11-south,339.30601308668645,11.95082527509412,1.962,135.2,0.150,16.204,SGA2020 dropped
UGC08149,dr11-south,195.6994212655986,6.78567246966174,1.949,133.5,0.122,15.890,SGA2020 dropped
PGC094859,dr11-south,2.3592046475612625,-58.82592627526755,0.6,118.9,0.106,17.000,SGA2020 dropped
ESO192-015,dr11-south,355.60179210787453,-56.787500788189504,1.832,133.3,0.193,15.600,SGA2020 dropped
PGC059605,dr9-north,256.5790262074811,66.90613513370282,1.089,3.0,0.832,16.690,SGA2020 dropped
PGC059603,dr9-north,256.57742503775705,66.92738011273528,0.5,70.9,0.569,16.690,SGA2020 dropped
PGC059604,dr9-north,256.5767809798511,66.92027176041124,0.5,10.6,0.492,15.620,SGA2020 dropped
