OBJNAME,REGION,RA,DEC,DIAM,PA,BA,MAG,REASON
UGC04609,dr9-north,132.25503877431748,41.19922776782017,1.9,5.0,0.805,15.340,SGA2020 dropped
NGC2684,dr9-north,133.7247667548364,49.160506120138336,1.684,50.5,0.779,13.700,SGA2020 dropped
NGC2686B,dr9-north,133.7524871533872,49.14246388795797,0.4,42.1,0.547,16.655,SGA2020 dropped
NGC2687A,dr9-north,133.770965121733,49.156479699324706,0.374,45.0,0.487,17.000,SGA2020 dropped
PGC2298058,dr9-north,271.688716153723,47.43184905204794,0.5,18.0,0.284,16.740,SGA2020 dropped
PGC091815,dr11-south,355.7618866857085,-4.524921579982708,1.657,45.2,0.157,16.925,SGA2020 dropped
PGC2128446,dr9-north,155.5031614556237,38.4873040505279,0.5,121.5,0.546,16.095,SGA2020 dropped
PGC091280,dr11-south,200.49850271291206,8.100314276446952,1.640,134.0,0.159,16.716,SGA2020 dropped
2MASXJ14311171+2414302,dr11-south,217.79894746424696,24.241705613411042,1.629,133.7,0.158,16.730,SGA2020 dropped
UGC10694,dr11-south,256.2344780086266,43.24177527842925,1.623,136.0,0.124,16.933,SGA2020 dropped
PGC052947,dr11-south,222.39410081415883,11.248045201999657,1.559,51.2,0.713,15.268,SGA2020 dropped
PGC1497170,dr11-south,258.47823375161823,15.950310242226045,1.0,119.9,0.434,15.800,SGA2020 dropped
PGC003360,dr11-south,14.102476821430384,-1.143107312150495,1.483,45.5,0.160,16.408,SGA2020 dropped
PGC091069,dr11-south,164.6323386926692,-4.470279625787298,1.478,45.5,0.140,16.595,SGA2020 dropped
PGC142239,dr11-south,327.13406301532075,-46.8994860181715,1.0,84.5,0.277,16.630,SGA2020 dropped
PGC2078845,dr9-north,178.29357490607174,36.33220590049058,1.461,63.8,0.664,15.730,SGA2020 dropped
PGC2078843,dr9-north,178.31856233988398,36.332375668580134,0.444,91.1,0.759,18.035,SGA2020 dropped
PGC051922,dr9-north,218.02385756044845,57.953051943794456,0.7,82.4,0.579,16.112,SGA2020 dropped
PGC2266571,dr9-north,281.1071346821515,45.539567071688914,1.447,92.7,0.656,16.550,SGA2020 dropped
PGC488114,dr11-south,27.447483735679196,-48.36763278526045,0.5,147.8,0.133,18.150,SGA2020 dropped
PGC2157414,dr9-north,259.6815016316128,39.89618210831789,1.429,27.2,0.231,16.300,SGA2020 dropped
PGC057864,dr9-north,245.08865378559483,73.81327501508045,1.418,78.6,0.207,16.840,SGA2020 dropped
PGC059387,dr9-north,254.90823151466506,68.43854344411434,1.404,27.7,0.695,15.970,SGA2020 dropped
PGC062386,dr9-north,281.6092871533485,54.28333633696059,0.7,142.6,0.476,16.210,SGA2020 dropped
PGC2620657,dr9-north,297.4208868391036,61.58236549806192,0.7,68.3,0.478,15.840,SGA2020 dropped
2MASXJ13360814+5911359,dr9-north,204.03424719342954,59.19329153582605,0.4,95.3,0.534,16.674,SGA2020 dropped
PGC2587577,dr9-north,204.0609326047412,59.19354185605169,0.576,13.0,0.275,18.556,SGA2020 dropped
PGC2587584,dr9-north,204.0222036846891,59.19399166067725,0.634,173.3,0.782,16.697,SGA2020 dropped
PGC2587890,dr9-north,204.06329542472662,59.21898457666551,0.639,41.7,0.380,17.493,SGA2020 dropped
PGC071991,dr11-south,354.6510833451676,27.02968111187679,1.384,170.4,0.406,15.635,SGA2020 dropped
PGC085563,dr11-south,354.58614814851774,27.050906641988632,0.740,104.9,0.630,16.650,SGA2020 dropped
PGC055395,,233.30410074289185,31.305032089615242,1.375,83.4,0.814,15.730,SGA2020 dropped
PGC2267160,dr9-north,165.0558809055966,45.5740438535876,0.8,176.5,0.422,16.180,SGA2020 dropped
PGC2705390,dr9-north,227.7084993943828,67.75520095613184,0.6,120.0,0.402,16.680,SGA2020 dropped
PGC097400,dr9-north,176.1533835545137,67.40584327011169,1.356,81.6,0.692,16.477,SGA2020 dropped
PGC2699660,dr9-north,176.14250480054508,67.41437091358068,0.475,60.0,0.692,18.010,SGA2020 dropped
PGC037835,dr9-north,180.0579053654697,56.250622987672855,1.335,27.1,0.579,16.149,SGA2020 dropped
PGC2094754,dr9-north,243.72575641713365,37.1851732254241,1.334,164.2,0.838,16.225,SGA2020 dropped
PGC3089336,dr11-south,220.24811669707685,27.56028183460563,1.331,79.8,0.565,16.498,SGA2020 dropped
PGC398703,dr11-south,63.74466745815101,-56.61638276645128,0.7,67.4,0.143,18.060,SGA2020 dropped
PGC2234402,dr9-north,120.51779815842922,44.010932322732565,1.1,30.0,0.522,16.678,SGA2020 dropped
PGC3130544,dr9-north,120.52101999839103,44.0067860203107,0.5,29.9,0.555,17.291,SGA2020 dropped
PGC049040,dr11-south,207.30118170317905,-7.20984857120244,0.9,12.2,0.549,15.664,SGA2020 dropped
PGC049036,dr11-south,207.29040671444676,-7.231343352029131,0.4,142.9,0.667,15.746,SGA2020 dropped
PGC2149967,dr9-north,160.51578896691458,39.44916635244341,0.674,59.8,0.820,17.500,SGA2020 dropped
PGC2149942,dr9-north,160.49990153627073,39.4475313686056,1.277,63.6,0.532,17.390,SGA2020 dropped
IC5328A,dr11-south,353.30694340772715,-45.02421270680565,1.0,156.9,0.424,14.741,SGA2020 dropped
PGC2028581,,254.8448973818686,33.289464356330754,1.250,86.3,0.413,18.283,SGA2020 dropped
SDSSJ150120.93+593505.5,dr9-north,225.33730451355444,59.58490197186373,0.7,152.0,0.186,18.287,SGA2020 dropped
SDSSJ095537.10+695508.1,dr9-north,148.9042561220222,69.91889527335215,0.6,72.8,0.418,17.947,SGA2020 dropped
PGC091617,dr9-north,270.6327484717665,45.1340946733337,1.0,158.5,0.129,17.620,SGA2020 dropped
PGC2186020,dr9-north,246.9410260501769,41.73856774252506,0.5,14.0,0.260,17.192,SGA2020 dropped
PGC2764267,dr9-north,276.27303771784295,74.75345921496192,1.220,43.7,0.578,17.620,SGA2020 dropped
2MASXJ13590442+3308452,,209.7685799735484,33.14595193931319,0.418,40.9,0.881,17.011,SGA2020 dropped
2MASXJ13590394+3308172,,209.76644723434254,33.13824682465341,1.216,155.1,0.607,16.010,SGA2020 dropped
PGC2024619,,209.76259350327965,33.14371135474307,0.3,56.9,0.841,16.475,SGA2020 dropped
2MASXJ10441780+3942105,dr9-north,161.07407940021196,39.70282443337362,1.209,22.3,0.638,16.465,SGA2020 dropped
PGC1065164,dr11-south,56.61384811192168,-3.925637259600379,1.207,31.7,0.198,16.700,SGA2020 dropped
SDSSJ123810.50+600103.3,dr9-north,189.54386096510225,60.01760534989039,0.6,42.5,0.438,18.268,SGA2020 dropped
PGC1872440,,180.91983919723108,29.62654783259486,0.6,45.6,0.357,17.000,SGA2020 dropped
PGC951074,dr11-south,2.6604492908293005,-12.560107307695372,0.7,154.0,0.514,16.550,SGA2020 dropped
PGC060989,dr9-north,267.7667115635401,62.82097558371616,0.7,30.0,0.20,15.601,SGA2020 dropped
PGC1508724,dr11-south,241.41333606897123,16.436183310572734,1.147,139.2,0.634,17.028,SGA2020 dropped
PGC1508574,dr11-south,241.41844113774278,16.429269505077055,0.728,118.7,0.968,17.933,SGA2020 dropped
PGC1483002,dr11-south,134.3479609915049,15.376909025651312,0.5,165.8,0.362,18.250,SGA2020 dropped
PGC1483788,dr11-south,247.11818954717876,15.406249193638514,0.7,120.5,0.473,16.288,SGA2020 dropped
PGC2031957,,221.39944187753215,33.4336334649338,0.7,116.6,0.438,15.720,SGA2020 dropped
PGC2336311,dr9-north,111.91194742583778,49.204701450373285,1.129,153.4,0.364,17.670,SGA2020 dropped
PGC3256736,dr11-south,150.35708191892,-4.869968050341797,1.127,135.9,0.172,16.810,SGA2020 dropped
PGC1926015,,197.94993083198204,30.97250359357423,1.125,138.4,0.365,16.304,SGA2020 dropped
PGC2617755,dr9-north,287.33025560038766,61.42715634421836,1.0,54.1,0.507,17.040,SGA2020 dropped
PGC057519,,243.29835797159188,30.90450222914114,1.0,105.1,0.634,16.049,SGA2020 dropped
PGC057496,,243.24382634825218,30.89424970401751,0.485,164.2,0.876,16.326,SGA2020 dropped
PGC094197,dr9-north,173.9167162868625,55.18279375144203,1.0,148.2,0.759,16.077,SGA2020 dropped
PGC094196,dr9-north,173.92039399690768,55.18013627539491,0.4,49.6,0.769,16.372,SGA2020 dropped
PGC1396975,dr11-south,21.682519207276165,11.667138410363522,1.091,154.0,0.233,16.700,SGA2020 dropped
PGC395205,dr11-south,308.1383853197208,-56.986322555258944,0.9,42.7,0.408,17.010,SGA2020 dropped
PGC059605,dr9-north,256.5790262074811,66.90613513370282,1.089,3.0,0.832,16.690,SGA2020 dropped
PGC059603,dr9-north,256.57742503775705,66.92738011273528,0.5,70.9,0.569,16.690,SGA2020 dropped
PGC059604,dr9-north,256.5767809798511,66.92027176041124,1.5,10.6,0.492,15.620,SGA2020 dropped
PGC2157372,dr9-north,157.22935040945407,39.894641527469595,1.087,71.1,0.211,17.197,SGA2020 dropped
PGC1980617,,189.25568666486657,32.108288199212424,1.073,6.2,0.293,16.565,SGA2020 dropped
PGC3119395,,148.91445984737078,1.5967721617883082,1.073,49.6,0.699,17.487,SGA2020 dropped
PGC008450,dr11-south,33.12056303853845,29.18275600396062,0.7,163.8,0.353,16.890,SGA2020 dropped
PGC2544663,dr9-north,233.4730340140685,56.69064100216375,1.060,148.0,0.539,16.118,SGA2020 dropped
PGC2190409,dr9-north,247.0571996514764,41.98908300205335,0.7,87.3,0.467,17.690,SGA2020 dropped
PGC989460,dr11-south,329.1065875051571,-9.560982236785593,0.6,102.9,0.735,16.610,SGA2020 dropped
PGC094756,dr11-south,230.42302549599984,7.723524354867806,0.806,83.0,0.952,16.361,SGA2020 dropped
CGCG 049-142 NED01,dr11-south,230.40082850229786,7.710286053694338,1.050,88.6,0.363,15.423,SGA2020 dropped
PGC1865461,,119.341627989478,29.41155958259113,0.5,96.7,0.293,17.592,SGA2020 dropped
PGC2079995,dr9-north,255.8952696156375,36.40154348841167,0.5,146.7,0.596,17.480,SGA2020 dropped
PGC059605,dr9-north,256.5790262074811,66.90613513370282,1.089,3.0,0.832,16.690,SGA2020 dropped
PGC059603,dr9-north,256.57742503775705,66.92738011273528,0.5,70.9,0.569,16.690,SGA2020 dropped
PGC059604,dr9-north,256.5767809798511,66.92027176041124,1.4,10.6,0.492,15.620,SGA2020 dropped
PGC395319,dr11-south,311.57979429126965,-56.97564539511086,0.7,89.6,0.173,17.370,SGA2020 dropped
PGC443387,dr11-south,298.8061707783015,-52.476030915250796,0.5,171.6,0.311,17.120,SGA2020 dropped
PGC2341672,dr9-north,136.16696065685284,49.3921739173909,0.5,2.6,0.265,17.433,SGA2020 dropped
PGC1130327,,35.46330987875613,-0.9626323270026571,1.023,176.5,0.196,17.724,SGA2020 dropped
PGC060871,dr9-north,266.9667406512481,69.0701721339273,0.646,133.2,0.832,17.950,SGA2020 dropped
PGC060872,dr9-north,266.96734273931844,69.0750213291041,0.5,175.6,0.352,17.800,SGA2020 dropped
PGC1991740,,212.60620726919987,32.329461806285195,1.021,122.3,0.695,17.228,SGA2020 dropped
PGC1568120,dr11-south,205.55129055273468,18.719493122288142,0.5,97.0,0.302,17.500,SGA2020 dropped
PGC2101092,dr9-north,209.60937866482084,37.4524119117958,1.015,124.5,0.219,17.819,SGA2020 dropped
2MASXJ12553105+0404347,dr11-south,193.87935460860328,4.076132886034993,1.012,62.8,0.527,17.110,SGA2020 dropped
PGC451254,dr11-south,307.19577411976303,-51.90606753663997,0.5,64.4,0.290,17.240,SGA2020 dropped
PGC1166349,dr11-south,314.53349378188864,0.45470865913035635,0.5,32.0,0.506,16.320,SGA2020 dropped
PGC1967204,,269.79143096430226,31.840177402714545,1.003,157.2,0.638,15.990,SGA2020 dropped
PGC2165725,dr9-north,171.13150002704083,40.43456609845276,0.6,178.1,0.583,17.200,SGA2020 dropped
PGC2780643,dr9-north,192.00431324450201,79.70245132109999,0.933,142.5,0.275,18.030,SGA2020 dropped
PGC2742903,dr9-north,263.15111633166134,71.39582776891082,0.5,43.1,0.653,16.510,SGA2020 dropped
PGC049084,dr9-north,207.49775268464688,71.00478939665162,0.911,5.8,0.659,17.660,SGA2020 dropped
PGC2666441,dr9-north,261.17271979927733,64.28377246922103,0.961,132.0,0.558,17.024,SGA2020 dropped
PGC044504,dr9-north,194.71731557214852,59.26596621975635,0.967,88.0,0.949,15.699,SGA2020 dropped
PGC083505,dr9-north,176.81521565724114,55.71706872616308,0.923,151.7,0.834,16.642,SGA2020 dropped
PGC3094753,dr9-north,176.8493960920567,55.734414444353504,0.513,109.4,0.451,16.753,SGA2020 dropped
PGC2478546,dr9-north,239.28740949665806,54.73215245611664,0.7,120.6,0.800,16.334,SGA2020 dropped
PGC2201088,dr9-north,281.39118189180317,42.54646593721375,0.968,125.3,0.713,16.460,SGA2020 dropped
WISEA J173613.12+384921.7,dr9-north,264.0544268855325,38.82326205602367,0.935,165.7,0.633,15.604,SGA2020 dropped
PGC2033996,,264.05969682765664,33.53035553027744,0.922,14.9,0.913,16.250,SGA2020 dropped
NGC 0751,dr11-south,29.38745833333333,33.20308333333334,0.7,0.0,1.0,13.393,SGA2020
PGC2002160,dr11-south,19.606855031508907,32.5539565349988,0.947,139.4,0.710,17.160,SGA2020 dropped
IC2946,dr11-south,174.3736294147847,32.25244471059403,0.982,179.7,0.986,15.200,SGA2020 dropped
PGC1963302,dr11-south,135.28261179736566,31.764903668329715,0.917,104.6,0.646,16.947,SGA2020 dropped
PGC054768,dr11-south,230.30328777591603,30.657943353639364,0.981,107.3,0.461,15.602,SGA2020 dropped
PGC1857054,dr11-south,349.56794901153654,29.144986175310688,0.998,175.3,0.818,16.390,SGA2020 dropped
WISEA J221949.75+261328.0,dr11-south,334.9572615538217,26.224420224161715,0.956,153.9,0.729,16.536,SGA2020 dropped
NGC2735A,dr11-south,135.6744139459612,25.938394759798136,0.7,102.5,0.632,14.200,SGA2020 dropped
NGC6027E,dr11-south,239.8109817434262,20.76619795664192,0.993,50.1,0.411,14.394,SGA2020 dropped
NGC6027B,dr11-south,239.7951611584337,20.762159067979187,0.498,36.1,0.362,15.226,SGA2020 dropped
NGC6027D,dr11-south,239.80380832386552,20.759962415179153,0.488,110.0,0.867,16.610,SGA2020 dropped
PGC053184,dr11-south,223.26858240074412,16.701673822804302,0.933,6.3,0.454,16.609,SGA2020 dropped
PGC214797,dr11-south,330.88948826734475,12.648517760028717,0.589,1.8,0.445,17.086,SGA2020 dropped
PGC214796,dr11-south,330.8812564278155,12.626012044940893,0.6,86.7,0.732,16.646,SGA2020 dropped
PGC1253615,dr11-south,220.13272073220259,3.5092830641717185,0.994,32.4,0.421,16.454,SGA2020 dropped
PGC1187817,dr11-south,359.5406399061667,1.2085062310241061,0.938,54.2,0.217,17.980,SGA2020 dropped
PGC1126231,dr11-south,16.339916501648425,-1.1232529130092752,0.908,133.7,0.189,18.170,SGA2020 dropped
PGC1124269,dr11-south,175.42883285582923,-1.2067402559846918,0.957,103.1,0.739,16.848,SGA2020 dropped
PGC1051259,dr11-south,6.916093300767864,-4.9572963124958624,0.945,3.6,0.187,17.780,SGA2020 dropped
WISEA J012149.92-135810.0,dr11-south,20.458037373003407,-13.969486537354499,0.931,73.3,0.603,16.346,SGA2020 dropped
NGC0734,dr11-south,28.73868042388292,-17.079808441301235,0.919,20.4,0.584,16.210,SGA2020 dropped
PGC810586,dr11-south,22.58769337341608,-22.670923018298826,0.826,85.1,0.385,16.110,SGA2020 dropped
PGC133775,dr11-south,22.637873573609042,-22.664853410125385,0.943,0.1,0.825,17.725,SGA2020 dropped
PGC810295,dr11-south,22.595423955385943,-22.690465474734108,0.464,148.4,0.809,17.040,SGA2020 dropped
PGC684544,dr11-south,70.52655487627261,-32.87990917213412,0.997,61.1,0.151,17.790,SGA2020 dropped
PGC2508729,dr9-north,172.7257692960065,55.625868958644844,0.854,90.2,0.458,17.200,SGA2020 dropped
PGC2392942,dr9-north,174.6201826606633,51.36770063982673,0.893,137.4,0.189,18.428,SGA2020 dropped
PGC139744,dr9-north,181.36052701806165,51.33962672640791,0.864,137.7,0.890,17.092,SGA2020 dropped
PGC2067405,dr9-north,191.975929250243,35.62243209710943,0.860,140.2,0.570,17.990,SGA2020 dropped
SDSSJ130201.79+352732.4,dr9-north,195.50758929522047,35.45937739083333,0.851,9.6,0.195,18.314,SGA2020 dropped
WISEA J232244.02+343613.8,dr11-south,350.6834018980372,34.60384232133197,0.878,65.0,0.727,16.804,SGA2020 dropped
PGC2800981,dr11-south,205.59208880478522,29.82582772114767,0.5,14.3,0.313,17.294,SGA2020 dropped
PGC1880697,dr11-south,205.58581302865971,29.855194602298187,0.6,25.8,0.767,16.666,SGA2020 dropped
PGC1880954,dr11-south,205.59961885304358,29.861873717732898,0.701,51.7,0.419,16.806,SGA2020 dropped
PGC054884,dr11-south,230.61854702821532,27.686930739767142,0.882,165.2,0.756,16.844,SGA2020 dropped
PGC054881,dr11-south,230.615797465657,27.699101639391987,0.420,110.6,0.331,17.275,SGA2020 dropped
PGC054883,dr11-south,230.62155342690096,27.707672445952504,2.217,165.1,0.563,16.506,SGA2020 dropped
PGC1718354,dr11-south,165.41658659510483,24.857223442101553,0.859,70.9,0.876,16.574,SGA2020 dropped
IC1632,dr11-south,17.68077667043374,17.683214184142884,0.886,12.4,0.760,16.480,SGA2020 dropped
PGC1511662,dr11-south,207.26891790704568,16.559851400375905,0.859,126.6,0.724,17.287,SGA2020 dropped
PGC1429577,dr11-south,159.24593755203608,13.381194084076723,0.859,67.2,0.234,17.817,SGA2020 dropped
PGC042077,dr11-south,189.1573211577539,10.938443183824004,0.894,78.5,0.873,17.563,SGA2020 dropped
WISEA J234106.57+093809.4,dr11-south,355.27739455408886,9.635941558958908,0.851,126.6,0.774,16.565,SGA2020 dropped
PGC3124192,dr11-south,220.24192333875678,3.451555512418282,0.7,34.4,0.697,15.863,SGA2020 dropped
PGC052452,dr11-south,220.21953746515695,3.4183074134468105,0.855,40.9,0.748,15.453,SGA2020 dropped
PGC003922,dr11-south,16.59970986023295,-0.14490254289180468,0.854,167.7,0.821,15.916,SGA2020 dropped
PGC073656,dr11-south,17.199243602463458,-15.438361523597699,0.860,168.2,0.670,16.558,SGA2020 dropped
PGC492063,dr11-south,76.56752758149729,-48.041903855429474,0.883,12.6,0.190,17.560,SGA2020 dropped
WISEA J061610.03-495130.9,dr11-south,94.04179372469098,-49.858662248994975,0.5,0.0,1.0,16.851,SGA2020 dropped
PGC422579,dr11-south,16.63536652323973,-54.12663472704351,0.879,173.0,0.235,17.300,SGA2020 dropped
