# Object-level actions based on VI (visual inspections). Note that an object may
# appear more than once.
objname,action,reason,comment
III Zw 120,drop,no source,Galaxy triple.
III Zw 096,drop,no source,Galaxy triple.
III Zw 065,drop,no source,Galaxy triple.
III Zw 022,drop,no source,Galaxy triple.
GALEXASC J130252.64-023102.9,drop,no source,Galaxy triple.
GALEXASC J023427.50+325455.9,drop,no source,Galaxy triple.
GALEXASC J030053.26-104515.2,drop,no source,Galaxy triple.
GALEXASC J050209.70-633247.3,drop,no source,Galaxy triple.
GALEXASC J104649.52-395954.1,drop,no source,Galaxy triple.
GALEXASC J105343.22-454355.2,drop,no source,Galaxy triple.
GALEXASC J023430.41+331357.6,drop,no source,Galaxy triple.
GALEXASC J110913.38-472254.5,drop,no source,Galaxy triple.
GALEXASC J193526.97-523514.7,drop,no source,Galaxy triple.
GALEXASC J230033.22-470332.9,drop,no source,Galaxy triple.
GALEXASC J133634.69+430113.1,drop,no source,Galaxy triple.
IC 1559 GROUP,drop,no source,Galaxy group.
VIII Zw 495,drop,no source,Galaxy triple.
VIII Zw 060,drop,no source,Galaxy triple.
VIII Zw 068,drop,no source,Galaxy triple.
VIII Zw 125,drop,no source,Galaxy triple.
VIII Zw 169,drop,no source,Galaxy triple.
VIII Zw 198,drop,no source,Galaxy triple.
VIII Zw 294,drop,no source,Galaxy triple.
VIII Zw 346,drop,no source,Galaxy triple.
VIII Zw 073,drop,no source,Galaxy triple.
VIII Zw 319,drop,no source,Galaxy triple.
V Zw 245,drop,no source,Galaxy triple.
V Zw 026,drop,no source,Galaxy triple.
V Zw 121,drop,no source,Galaxy triple.
V Zw 137,drop,no source,Galaxy triple.
V Zw 146,drop,no source,Galaxy triple.
V Zw 174,drop,no source,Galaxy triple.
V Zw 184,drop,no source,Galaxy triple.
V Zw 209,drop,no source,Galaxy triple.
V Zw 249,drop,no source,Galaxy triple.
V Zw 279,drop,no source,Galaxy triple.
V Zw 280,drop,no source,Galaxy triple.
V Zw 438,drop,no source,Galaxy triple.
V Zw 232,drop,no source,Galaxy triple.
NGC 4933,drop,no source,Galaxy triple.
NGC 3280,drop,no source,Galaxy triple.
VIII Zw 060 NED02,drop,no source,In 'VIII Zw 060' group.
VV 353b,drop,no source,In 'ARP 115' group.
VV 316,drop,no source,In 'ARP 142' group.
NGC 6482 GROUP,drop,no source,Galaxy group.
NGC 0045 GROUP,drop,no source,Galaxy group.
NGC 7386 GROUP,drop,no source,Galaxy group.
NGC 4357 GROUP,drop,no source,Galaxy group.
NGC 0043 GROUP,drop,no source,Galaxy group.
NGC 7805 GROUP,drop,no source,Galaxy group.
NGC 4725 GROUP,drop,no source,Galaxy group.
NGC 3607 Group,drop,no source,Galaxy group.
NGC 3672 GROUP,drop,no source,Galaxy group.
NGC 1511 GROUP,drop,no source,Galaxy group.
#
UGC 06224,drop,duplicate,Close duplicate of 'NGC 3561'.
#
LCRS B222134.3-391730,drop,incorrect coordinates,
II Zw 184 NOTES03,drop,incorrect coordinates,In 'II Zw 184' group.
III Zw 022 NOTES02,drop,incorrect coordinates,In 'III Zw 022' group.
III Zw 022 NOTES01,drop,incorrect coordinates,In 'III Zw 022' group.
#
AGC 222775,drop,radio source,In 'CGCG 128-031' group.
AGC 212070,drop,radio source,In 'CGCG 039-044' group.
2MASS J01144834-0029514,drop,radio source,In 'UGC 00793' group.
AGC 214023,drop,radio source,In 'VIII Zw 128' group.
FIRST J105749.1+361443,drop,radio source,In 'VV 747' group.
AGC 230341,drop,radio source,In 'VV 831' group.
AGC 749361,drop,radio source,In 'KUG 1605+275' group.
SIP 0253-1,drop,Xray source,In 'NGC 3690' group.
AGC 320762,drop,radio source,In 'UGC 11958' group.
#
ESO 186-IG 054 NED01,hyperleda-coords,NED incorrect,In 'ESO 186-IG 054' group.
MCG +10-20-005 NED02,hyperleda-coords,NED incorrect,In 'MCG +10-20-005' group.
WISEA J134023.91+564814.7,hyperleda-coords,NED incorrect,In 'MCG +10-20-005' group.
ESO 533-IG 002 NED02,hyperleda-coords,NED incorrect,In 'ESO 533-IG 002' group.
ESO 244-IG 029 NED01,hyperleda-coords,NED incorrect,In 'ESO 244-IG 029' group.
NGC 0333A,hyperleda-coords,NED incorrect,In 'NGC 0333' group.
GALEXASC J001905.03-612351.6,hyperleda-coords,NED incorrect,In 'AM 0016-614' group.
UGC 12891 NED02,hyperleda-coords,NED incorrect,In 'UGC 12891' group.
WISEA J000020.87+225942.5,hyperleda-coords,NED incorrect,In 'UGC 12891' group.
V Zw 085 NOTES03,hyperleda-coords,NED incorrect,In 'V Zw 085' group.
ESO 204-IG 024 NED02,hyperleda-coords,NED incorrect,In 'ESO 204-IG 024' group.
MCG -03-13-040,hyperleda-coords,NED incorrect,In 'IRAS 04561-1501' group.
ESO 251- G 001 NED02,hyperleda-coords,NED incorrect,In 'ESO 251- G 001' group.
ESO 157-IG 024 NED01,hyperleda-coords,NED incorrect,In 'ESO 157-IG 024' group.
ESO 249-IG 019 NED02,hyperleda-coords,NED incorrect,In 'ESO 249-IG 019' group.
ESO 249-IG 019 NED01,hyperleda-coords,NED incorrect,In 'ESO 249-IG 019' group.
ESO 356-IG 025 NED01,hyperleda-coords,NED incorrect,In 'ESO 356-IG 025' group.
ESO 154-IG 015 NED01,hyperleda-coords,NED incorrect,In 'ESO 154-IG 015' group.
2MASX J02421325-0829320,hyperleda-coords,NED incorrect,In 'KUG 0239-087' group.
AM 0235-424 NED01,hyperleda-coords,NED incorrect,In 'ESO 247- G 002' group.
ESO 088-IG 006 NED01,hyperleda-coords,NED incorrect,In 'ESO 088-IG 006' group.
VII Zw 374 NOTES01,hyperleda-coords,NED incorrect,In 'VII Zw 374' group.
2MASS J17505415+3152374,hyperleda-coords,NED incorrect,In 'CGCG 171-008' group.
ESO 237-IG 039 NED01,hyperleda-coords,NED incorrect,In 'ESO 237-IG 039' group.
FCCB 0140,hyperleda-coords,NED incorrect,In 'DUKST 357-064' group.
ESO 194-IG 036 NED02,hyperleda-coords,NED incorrect,In 'ESO 194-IG 036' group.
NGC 0454 NED01,hyperleda-coords,NED incorrect,In 'NGC 0454' group.
UGC 01818 NED02,hyperleda-coords,NED incorrect,In 'UGC 01818' group.
NGC 1088 NED02,hyperleda-coords,NED incorrect,In 'NGC 1088' group.
IC 0298 NED01,hyperleda-coords,NED incorrect,In 'IC 0298' group.
ESO 359-IG 014 NED01,hyperleda-coords,NED incorrect,In 'ESO 359-IG 014' group.
ESO 157-IG 014 NED02,hyperleda-coords,NED incorrect,In 'ESO 157-IG 014' group.
ESO 015-IG 011 NED02,hyperleda-coords,NED incorrect,In 'ESO 015-IG 011' group.
ESO 414-IG 009 NED02,hyperleda-coords,NED incorrect,In 'ESO 414-IG 009' group.
ESO 087-IG 041 NED02,hyperleda-coords,NED incorrect,In 'ESO 087-IG 041' group.
NGC 3550 NED01,hyperleda-coords,NED incorrect,In 'NGC 3550' group.
ESO 269-IG 022 NED01,hyperleda-coords,NED incorrect,In 'ESO 269-IG 022' group.
CGCG 160-062 NED02,hyperleda-coords,NED incorrect,In 'CGCG 160-062' group.
SDSS J143520.72+185841.5,hyperleda-coords,NED incorrect,In '2MASX J14352068+1858426' group.
IC 1821 NED01,hyperleda-coords,NED incorrect,In 'IC 1821' group.
2MASX J03481293-4618387,hyperleda-coords,NED incorrect,In '2dFGRS S889Z199' group.
VV 491 NED02,hyperleda-coords,NED incorrect,In 'MCG -02-09-035' group; train wreck.
DUKST 475-026,hyperleda-coords,NED incorrect,In 'NGC 0343' group.
IV Zw 056 NOTES02,hyperleda-coords,NED incorrect,In 'IV Zw 056' group.
2MASS J01114421-1532587,hyperleda-coords,NED incorrect,In 'GALEXASC J011144.18-153256.6' group.
[LEB2022] J123525.9+355622.9,hyperleda-coords,NED incorrect,In 'KUG 1232+362' group.
CGCG 042-200 NED03,hyperleda-coords,NED incorrect,In 'VCC 1838' group.
IC 0186B,hyperleda-coords,NED incorrect,In 'IC 0186' group.
II Zw 184 NOTES01,hyperleda-coords,NED incorrect,In 'II Zw 184' group.
II Zw 184 NOTES02,hyperleda-coords,NED incorrect,In 'II Zw 184' group.
IV Zw 016 NOTES01,hyperleda-coords,NED incorrect,In 'IV Zw 016' group.
IV Zw 161 NOTES03,hyperleda-coords,NED incorrect,In 'IV Zw 161' group.
VIII Zw 060 NED01,hyperleda-coords,NED incorrect,In 'VIII Zw 060' group.
NGC 4933A,hyperleda-coords,NED incorrect,In 'NGC 4933' group.
UGC 02337 NED03,hyperleda-coords,NED incorrect,In 'UGC 02337' group.
PGC 017740,hyperleda-coords,NED incorrect,In 'VV 162' group.
PGC 017742,hyperleda-coords,NED incorrect,In 'VV 162' group.
