OBJNAME,FIELD,NEW_VALUE,REASON
IC 0285,DIAM,1.9857209,VI
IC 0285,BA,0.45037878,VI
IC 0285,PA,116.02019,VI
IC 4011,DIAM,0.7,VI
NGC 4886,DIAM,1.4,VI
dw1120p1332,RA,170.067000,VI
dw1120p1332,DEC,13.549000,VI
dw1120p1332,DIAM,0.48,VI
dw1049p1233,DIAM,0.441,VI
dw1342-43,DIAM,0.6087598,VI
dw1046+1244,DIAM,0.14000003,VI
NGC 628-dwB,DIAM,0.15,VI
IC 4212,RA,198.012729,VI
IC 4212,DEC,-6.991827,VI
NGC 4747,RA,192.941458,VI
NGC 4747,DEC,25.777083,VI
NGC 7018 NED02,RA,316.856818,VI
NGC 7018 NED02,DEC,-25.428687,VI
NGC 5474,RA,211.256000,VI
NGC 5474,DEC,53.662000,VI
NGC 6835,RA,298.6387,VI
NGC 6835,DEC,-12.5674,VI
