OBJNAME,FIELD,NEW_VALUE,REASON
WISEA J115453.17+660255.0,RA,178.7215,VI
WISEA J115453.17+660255.0,DEC,66.0486,VI
MCG +10-16-101 NED02,RA,169.1384,VI
MCG +10-16-101 NED02,DEC,61.3513,VI
MCG +10-16-101 NED02,DIAM,0.4,VI
MCG +10-16-101 NED02,BA,1.0,VI
MCG +10-16-101 NED02,PA,0.0,VI
KUG 1722+601A,PA,170.0,VI
KUG 1722+601A,DIAM,0.6,VI
UGC 10925,DIAM,0.8,VI
MCG +13-05-024,RA,95.6546,VI
MCG +13-05-024,DEC,80.1142,VI
UGC 03886,DIAM,1.5,VI
MCG +11-10-010,PA,50.0,VI
WISEA J093844.42+451835.2,RA,144.6852,VI
WISEA J093844.42+451835.2,DEC,45.3101,VI
FGC 1980,BA,0.3,VI
NGC 6521A,DIAM,1.0,VI
WISEA J122912.92-022920.1,DIAM,0.8,VI
WISEA J122912.92-022920.1,BA,1.0,VI
WISEA J122912.92-022920.1,PA,0.0,VI
PGC 251349,RA,94.0665,VI
PGC 251349,DEC,-74.2055,VI
PGC 251349,DIAM,0.4,VI
WISEA J061614.40-741237.7,DIAM,1.0,VI
WISEA J061614.40-741237.7,PA,150.0,VI
UGC 00720 NED01,DIAM,1.5,VI
NGC 7268 NED01,DIAM,3.4,VI
2MASS J00554647-3724322,DIAM,1.2,VI
WISEA J130608.21-373547.2,DIAM,0.5,VI
NGC 4759 NED01,DIAM,0.8,VI
NGC 4759 NED02,DIAM,4.2,VI
NGC 4759 NED02,BA,1.0,VI
NGC 4759 NED02,PA,90.VI
NGC 4761,DIAM,0.5,VI
NGC 4761,BA,0.82,VI
NGC 4761,PA,80.0,VI
NGC 7268 NED01,DIAM,3.0,VI
NGC 7268 NED01,BA,0.8,VI
WISEA J222536.24-311142.4,PA,0.0,VI
PGC1 2807105 NED001,RA,33.1110,VI
PGC1 2807105 NED001,DEC,10.3334,VI
PGC1 2807105 NED001,PA,160.0,VI
PGC624906,RA,63.7647,VI
PGC624906,DEC,-37.3325,VI
PGC 631538,RA,86.0209,VI
PGC 631538,DEC,-36.8745,VI
PGC 631538,BA,0.7,VI
PGC 746522,RA,157.9649,VI
PGC 746522,DEC,-28.0466,
PGC 746522,PA,45.0,VI
PGC 928056,RA,315.0592,VI
PGC 928056,DEC,-14.1727,VI
PGC 928056,DIAM,1.0,VI
PGC 928056,BA,0.7,VI
PGC 928056,PA,0.0,VI
