OBJNAME,REGION,RA,DEC,DIAM,PA,BA,MAG,REASON
WISEA J022050.79-314858.5,dr11-south,35.21170833333333,-31.81625,0.6,105.0,0.78,12.859,Dropped after vicuts
WISEA J171643.31+485541.3,dr9-north,259.180462,48.928161,0.5,0.0,1.0,14.0,VI added
WISEA J054339.26-295442.1,dr11-south,85.91379166666665,-29.911555555555555,0.6,40.0,0.72,12.588,Dropped after vicuts
WISEA J213938.36+085641.0,dr11-south,324.90987499999994,8.944694444444444,1.5,160.0,0.84,12.127,Dropped after vicuts
WISEA J202927.95-832545.3,dr11-south,307.36741666666666,-83.4293888888889,0.8,135.0,0.76,12.418,Dropped after vicuts
ESO 481- G 015 NED03,dr11-south,48.87470833333333,-22.801916666666667,0.8,90.0,0.7,13.799,Dropped after vicuts
WISEA J220737.68+220353.8,dr11-south,331.907,22.06491666666667,0.6,100.0,0.9,13.828,Dropped after vicuts
DESI J029.6349-01.5860,dr11-south,29.6349,-1.5860,0.7,1.0,0.0,15.0,VI-added
DESI J073.7159-64.5924,dr11-south,73.7160,-64.5924,0.8,0.7,45.0,15.0,VI-added
WISEA J002715.22-375309.4,dr11-south,6.813458333333333,-37.88597222222222,0.7,145.0,0.66,12.916,Dropped after vicuts
WISEA J050053.89+064233.9,dr11-south,75.22449999999999,6.709388888888889,0.6,100.0,0.82,13.529,Dropped after vicuts
WISEA J173447.35+183220.3,dr11-south,263.69716666666665,18.539,0.6,85.0,0.68,12.797,Dropped after vicuts
LCRS B234211.5-384229,dr11-south,356.20625,-38.43047222222222,0.65,55.0,0.54,12.712,Dropped after vicuts
WISEA J220221.94+055748.7,dr11-south,330.5915,5.963527777777778,0.65,65.0,0.7,12.345,Dropped after vicuts
WISEA J231502.60+203207.7,dr11-south,348.76099999999997,20.53541666666667,0.7,110.0,0.86,14.096,Dropped after vicuts
GALEXASC J191821.89-685005.1,dr11-south,289.59499999999997,-68.83588888888889,0.7,0.5,120.0,15.0,Dropped after vicuts
DESI J305.2704-53.3485,dr11-south,305.2704,-53.3485,0.7,0.0,1.0,17.0,Dropped after vicuts
DESI J074.5047-07.9022,dr11-south,74.5047,-7.9022,0.7,10.0,0.5,17.0,VI-added
DESI J193.9472-06.1564,dr11-south,193.9472,-6.1564,0.7,0.0,1.0,17.0,VI-added
WISEA J145020.73-065939.3,dr11-south,222.58637499999998,-6.9943333333333335,0.7,55.0,0.68,12.225,Dropped after vicuts
DESI J074.8587-27.0695,dr11-south,74.8587,-27.0695,0.7,0.0,1.0,16.0,VI-added
DESI J010.7882-08.1841,dr11-south,10.7882,-8.1841,0.7,0.0,1.0,17.0,VI-added
WISEA J173651.75+220531.4,dr11-south,264.215625,22.09208333333333,0.6,50.0,0.86,12.003,Dropped after vicuts
WISEA J225327.11-564950.9,dr11-south,343.36312499999997,-56.83080555555556,0.6,90.0,1.0,13.945,Dropped after vicuts
DESI J175.6190-13.0047,dr11-south,175.6190,-13.0047,0.75,0.0,1.0,17.0,VI-added
WISEA J024610.16-010703.5,,41.542333333333325,-1.1176388888888888,0.5,40.0,0.92,13.07,Dropped after vicuts
DESI J096.2978+51.0570,dr9-north,96.2978,51.0570,0.5,0.0,1.0,15.0,VI-added
