OBJNAME,FIELD,NEW_VALUE,REASON
UGC 01449,PA,160.0,VI
UGC 06450,BA,0.9,VI
UGC 06450,DIAM,0.7,VI
WISEA J011811.85-172311.1,DIAM,0.7,VI
UGC 7636,RA,187.5036984,Tractor center
UGC 7636,DEC,7.929482,Tractor center
WISEA J004300.03-221545.3,DIAM,0.7,Larger
PGC479321,RA,25.1950,VI
PGC479321,DEC,-49.2078,VI
WISEA J221437.23-264519.8,RA,333.6557,VI
WISEA J221437.23-264519.8,DEC,-26.7554,VI
WISEA J221437.23-264519.8,PA,135.0,VI
2MASS J02174170+2933331,RA,34.4256,VI
2MASS J02174170+2933331,DEC,29.5592,VI
SDSS J022232.85-054256.2,RA,35.6383,VI
SDSS J022232.85-054256.2,DEC,-5.7134,VI
SDSS J022232.85-054256.2,DIAM,0.6,VI
PGC 767267,RA,202.2293,VI
PGC 767267,DEC,-26.4890,VI
FCCB 0934,RA,53.5856,VI
FCCB 0934,DEC,-33.4282,VI
WISEA J113907.74-405112.4,RA,174.7802,VI
WISEA J113907.74-405112.4,DEC,-40.8530,VI
WISEA J114308.03-275309.7,RA,175.7835,VI
WISEA J114308.03-275309.7,DEC,-27.8860,VI
PGC 1018798,RA,241.6410,VI
PGC 1018798,DEC,-7.4496,VI
APMUKS(BJ) B012910.64-044952.6,RA,22.9280,VI
APMUKS(BJ) B012910.64-044952.6,DEC,-4.5749,VI
PGC921599,RA,12.2275,VI
PGC921599,DEC,-14.6676,VI
MCG -02-26-021,DIAM,0.8,VI
MCG -02-26-020,DIAM,1.1,VI
WISEA J195324.44-565230.7,RA,298.3520,VI
WISEA J195324.44-565230.7,DEC,-56.8742,VI
WISEA J092556.87-692901.3,RA,141.4871,VI
WISEA J092556.87-692901.3,DEC,-69.4821,VI
ESO 449- G 008,RA,230.7661,VI
ESO 449- G 008,DEC,-31.8001,VI
ESO 449- G 008,PA,45.0,VI
AM 0552-410 E,DIAM,1.1,VI
APMBGC 359+080-037,BA,0.9,VI
PGC724128,RA,85.9777,VI
PGC724128,DEC,-29.8752,VI
PGC 723854,RA,85.9213,VI
PGC 723854,DEC,-29.9008,VI
PGC 723854,BA,0.8,VI
PGC 723854,DIAM,0.6,VI
WISEA J200908.72-124712.1,RA,302.2858,VI
WISEA J200908.72-124712.1,DEC,-12.7876,VI
WISEA J200908.72-124712.1,BA,0.8,VI
PGC 780885,RA,299.2090,VI
PGC 780885,DEC,-25.2635,VI
WISEA J174558.68-752758.7,RA,266.4934,VI
WISEA J174558.68-752758.7,DEC,-75.4659,VI
WISEA J174558.68-752758.7,BA,0.8,VI
WISEA J174558.68-752758.7,DIAM,0.7,VI
WISEA J034521.64-743854.6,DIAM,1.0,VI
2MASX J05525111-2103054,DIAM,1.5,VI
WISEA J041416.03+015606.6,DIAM,0.9,VI
CSRG 0519,RA,95.8320936,VI
CSRG 0519,DEC,-87.585007,VI
CSRG 0519,DIAM,1.0,VI
CSRG 0519,PA,40.0,VI
WISEA J115639.22-314541.9,DIAM,1.2,VI
WISEA J024934.41+042142.0,DIAM,0.7,VI
KUG 2308+079,DIAM,0.6,VI
WISEA J232442.98+094942.2,DIAM,0.7,VI
DESI J336.9584-74.1844,DIAM,0.8,VI
WISEA J192737.86-692504.1,DIAM,0.8,VI
WISEA J135546.45-432740.2,DIAM,1.5,VI
WISEA J135546.45-432740.2,PA,0.0,VI
WISEA J135546.45-432740.2,BA,1.0,VI
KUG 1005+306,PA,150.0,VI
KUG 1005+306,DIAM,0.7,VI
WISEA J140602.47-220316.9,RA,211.5113,VI
WISEA J140602.47-220316.9,DEC,-22.0548,VI
WISEA J061214.15-233809.9,DIAM,1.0,VI
WISEA J134251.43-220329.7,RA,205.7148,VI
WISEA J134251.43-220329.7,DEC,-22.0570,VI
WISEA J134251.43-220329.7,DIAM,0.6,VI
2MASS J12592893-3114071,RA,194.8716,VI
2MASS J12592893-3114071,DEC,-31.2365,VI
2MASS J12592893-3114071,BA,0.8,VI
WISEA J134727.68-114039.2,DIAM,1.2,VI
WISEA J134727.68-114039.2,BA,0.8,VI
WISEA J134436.11-111315.5,DIAM,1.0,VI
WISEA J053504.85-114439.9,RA,83.7695,VI
WISEA J053504.85-114439.9,DEC,-11.7442,VI
WISEA J174145.45-735015.2,DIAM,0.9,VI
WISEA J035820.18-682546.3,BA,0.8,VI
WISEA J035820.18-682546.3,DIAM,1.2,VI
WISEA J125638.89-141411.0,DIAM,0.7,VI
WISEA J125638.89-141411.0,BA,0.9,VI
WISEA J165356.11-041255.5,DIAM,0.8,VI
WISEA J165356.11-041255.5,BA,0.9,VI
WISEA J112155.96-863547.5,DIAM,0.8,VI
FAIRALL 0918,DIAM,1.2,VI
2MASS J14294627-1459297,RA,217.4420,VI
2MASS J14294627-1459297,DEC,-14.9903,VI
NGC 4486B,DIAM,1.0,VI
WISEA J164252.75-040037.8,DIAM,1.2,VI
NGC 7101,DIAM,1.9,VI
WISEA J181954.88-461621.0,DIAM,0.7,VI
WISEA J130925.06-291804.7,RA,197.3552,VI
WISEA J130925.06-291804.7,DEC,-29.3001,VI
2MASS J14562645-3758318,RA,224.1105,VI
2MASS J14562645-3758318,DEC,-37.9767,VI
WISEA J065400.82-652458.2,DIAM,1.2,VI
WISEA J065400.82-652458.2,BA,0.9,VI
WISEA J065410.14-652516.3,DIAM,1.0,VI
WISEA J193726.36-203458.6,DIAM,0.7,VI
WISEA J051511.40-615955.4,DIAM,1.0,VI
LCSB S2179P,RA,237.5380,VI
LCSB S2179P,DEC,-33.0533,VI
PGC1 0252058 NED001,RA,291.8626,VI
PGC1 0252058 NED001,DEC,-74.0832,VI
WISEA J024307.75+091917.6,DIAM,0.6,VI
FAIRALL 1429,DIAM,0.7,VI
WISEA J134228.18-381554.5,RA,205.6170,VI
WISEA J134228.18-381554.5,DEC,-38.2651,VI
WISEA J231831.01+315359.3,BA,0.9,VI
WISEA J231831.01+315359.3,DIAM,0.5,VI
ESO 439- G 005,DIAM,1.5,VI
ESO 439- G 005,BA,0.9,VI
ESO 439- G 005,PA,0.0,VI
WISEA J203012.93-832535.6,DIAM,1.4,VI
2MASX J14225967-3106016,DIAM,1.0,VI
WISEA J164848.16-732242.5,DIAM,0.8,VI
WISEA J222044.07-793211.1,DIAM,1.0,VI
WISEA J212807.46-722015.4,DIAM,0.8,VI
2MASS J21241218-3931052,RA,321.0496,VI
2MASS J21241218-3931052,RA,-39.5167,VI
MCG -01-55-004 NED01,DIAM,1.5,VI
MCG -01-55-004,DIAM,0.7,VI
WISEA J122001.29-440559.6,RA,185.0048,VI
WISEA J122001.29-440559.6,DEC,-44.1000,VI
WISEA J122001.29-440559.6,DIAM,0.6,VI
WISEA J122001.29-440559.6,BA,0.9,VI
WISEA J083351.62-101440.7,PA,130.0,VI
WISEA J083351.62-101440.7,DIAM,1.0,VI
2MFGC 09129,DIAM,1.2,VI
