OBJNAME,REGION
DESI J263.1442-76.4081,
DESI J337.1667+06.6574,
WISEA J065612.65-592015.8,
LCRS B140328.9-115324,
WISEA J200058.10-611810.1,
WISEA J165510.86-073054.7,
WISEA J183228.82-442741.1,
DESI J296.4473-78.9692,
DESI J217.9927-86.4706,
DESI J233.8638-27.0159,
DESI J067.6839-36.4833,
DESI J317.5034-39.9551,
DESI J232.3877-28.5492,
CGMW 3-4586,
WISEA J170044.70-175539.8,
DESI J305.3100-82.3457,
GALEXASC J232154.46-274733.0,
WISEA J081010.84+245851.5,
2MASS J10352134+0837380,
DESI J327.8500-77.8363,
DESI J040.3871+11.3528,
WISEA J193408.81-272634.6,
DESI J243.3467-80.6109,
WISEA J101440.41-244124.2,
IRAS 12248-4207,
DESI J297.3626-60.0305,
DESI J294.0475-82.1433,
DESI J231.9359-29.5833,
GALEXMSC J150554.63+021206.5,
DESI J235.0792-27.5639,
WISEA J011314.30-565615.9,
DESI J224.0023+20.1004,
WISEA J012544.20+014611.0,
DESI J244.1135-18.8013,
DESI J345.8731+23.6329,
PGC357260,
WISEA J075157.08+054817.2,
WISEA J040837.71-062338.0,
DESI J347.0358+25.4595,
DESI J169.3771-11.4683,
DESI J312.6355-09.1848,
DESI J094.9604-60.3195,
DESI J270.8468-87.8797,
DESI J288.2012-77.2404,
WISEA J054738.34+061733.9,
DESI J280.6464-66.4206,
DESI J166.4366-28.7474,
DESI J325.1387+19.8585,
LCRS B232605.4-422438,
DESI J327.9916+13.1215,
WISEA J163114.74-115637.7,
DESI J132.8101-87.2960,
WISEA J211201.81-261627.6,
2MASS J16204030-7234523,
DESI J141.7853-07.0618,
DESI J036.2738-85.0864,
DESI J201.7046-84.7356,
DESI J001.9803+11.6565,
DESI J076.4003-07.4619,
DESI J321.3031-05.8834,
WISEA J014330.34+344604.2,
WISEA J095956.04-175424.2,
DESI J290.5660-43.4596,
DESI J307.3820-59.2208,
DESI J336.7272-53.7890,
DESI J318.1156-04.8305,
SDSS J210608.35+080756.1,
WISEA J194032.36-145956.0,
DESI J164.7220-87.6272,
DESI J038.6332+07.6458,
WISEA J015019.34-120913.7,
DESI J145.0772-86.2343,
DESI J203.2805-85.3134,
DESI J122.6705-87.2792,
WISEA J165942.32-104615.7,
2MASX J23522693-6353270,
DESI J244.7545-80.5023,
DESI J069.4340-03.6159,
WISEA J172801.03-623036.7,
DESI J347.2082+19.3086,
WISEA J113929.93+212141.2,
DESI J322.1389+12.8163,
MCG +01-23-010 NED02,
DESI J002.7778+20.9087,
FCCB 2075,
DESI J229.4632-33.0277,
DESI J345.4599+19.6395,
SARS 016.42137-37.00006,
DESI J231.8055-27.8431,
DESI J261.2262-78.2017,
2MASS J16132216-6605454,
DESI J252.8556+27.6945,
DESI J299.1270-81.1570,
DESI J212.2741-84.6420,
WISEA J164837.60-283522.6,
2MASS J22585117+0604464,
APMUKS(BJ) B232424.75-401502.4,
WISEA J175300.69+092000.8,
PGC 1017312,
DESI J289.5729-79.5454,
DESI J293.0271-76.9913,
2MASS J10193004-7252554,
2MASS J00082160-3052209,
DESI J294.6001-78.1519,
DESI J218.2698-00.9617,
WISEA J103638.09+205418.8,
2MASS J22125594-6505165,
WISEA J131552.98-455449.1,
DESI J228.5391+12.4862,
DESI J232.6709-28.0190,
WISEA J022217.68+362134.5,
DESI J346.5119+24.9687,
WISEA J213815.97-053119.5,
DESI J288.3654-36.9550,
WISEA J181535.62+295654.1,
WISEA J002817.02+332102.1,
DESI J347.1039+14.6944,
DESI J344.9569+22.6306,
WISEA J144616.75+101334.2,
2MASS J15104408-3832371,
DESI J346.4327+21.2739,
2MASX J17430064+2106029,
DESI J229.4303-33.4544,
DESI J261.8707-78.6342,
DESI J317.5970-07.2877,
DESI J314.7280-47.2562,
DESI J008.8396-82.1579,
DESI J349.4418+25.4254,
WISEA J012815.12-113720.4,
DESI J311.5869+07.3042,
DESI J020.7725+16.9113,
WISEA J141500.03-344855.5,
DESI J198.2974-19.5539,
DESI J233.8577-23.0737,
WISEA J084538.01-173659.2,
DESI J216.5681-86.9365,
DESI J348.4217+19.4661,
DESI J335.6812+28.3165,
WISEA J003352.82+271232.2,
DESI J139.6637+20.6811,
CGMW 4-2236,
DESI J236.0291-16.6444,
DESI J016.8900+03.3658,
DESI J153.5954-88.2245,
WISEA J062736.34-171058.5,
DESI J237.6031-04.0170,
WISEA J060702.49-732907.1,
LCSB S1710P,
2dFGRS S504Z228,
WISEA J103519.50-794052.7,
DESI J257.3857-79.6038,
DESI J216.0400-84.2286,
WISEA J214623.82-582525.9,
DESI J323.8828+12.2751,
WISEA J225320.58+322413.8,
DESI J226.4879+28.1922,
DESI J232.7604-27.1075,
DESI J317.8285-07.2042,
DESI J072.3048-05.8080,
DESI J343.1387+24.7613,
DESI J036.3456+28.3426,
WISEA J063925.84-435721.8,
DESI J260.6188-78.8081,
2MASS J11220712-8131346,
DESI J262.5073-76.5531,
DESI J235.2738-24.9290,
DESI J265.8982+15.5927,
DESI J071.5203-00.9826,
WISEA J205007.78-240303.5,
DESI J097.6118-58.8352,
DESI J127.3629-86.3755,
DESI J294.0351-78.6360,
PGC 438238,
DESI J185.7734-42.0424,
DESI J300.1223-78.8163,
DESI J066.5001-11.3690,
DESI J022.0944+28.7047,
WISEA J221836.23-354325.7,
WISEA J034952.13-514220.3,
DESI J321.3390-07.3677,
WISEA J102412.89-045255.0,
DESI J233.6559-26.7220,
WISEA J054713.77+010850.6,
WISEA J003320.21+210633.0,
DESI J327.6323+13.4126,
DESI J031.8493+20.1777,
PGC 1779027,
WISEA J213326.87-294812.4,
DESI J044.4995+06.8226,
DESI J190.3031-06.7124,
WISEA J211414.34-332459.8,
DESI J206.9326-84.7941,
DESI J129.6681-85.3651,
2dFGRS S574Z135,
SDSS J143441.19+120759.8,
APMUKS(BJ) B021128.54-215440.2,
DESI J139.0342+28.9450,
DESI J334.8149+27.3287,
DESI J261.0723-77.9174,
DESI J321.5267-03.1647,
WISEA J033225.26-692618.0,
WISEA J100509.83-233342.0,
DESI J325.0535+19.8430,
GALEXASC J095619.99-135516.1,
2MASXi J1718287+123053,
DESI J298.0881-78.8090,
WISEA J015146.54-115209.8,
WISEA J001208.51+174647.1,
DESI J043.1870-14.7833,
DESI J191.1064-06.5770,
WISEA J083106.28+084053.5,
DESI J206.4146-84.7220,
SMDG J1237032+112843,
DESI J262.7407-76.4302,
GALEXASC J203930.18-385140.6,
WISEA J230941.35-330528.4,
DESI J329.5307-03.0465,
WISEA J233008.26-144644.1,
DESI J338.2533-45.5201,
WISEA J083441.05-053824.8,
DESI J347.9248+24.2346,
2MASS J06375262-6718301,
WISEA J022103.87+292402.6,
WISEA J081214.89-783256.7,
DESI J135.2684-87.2958,
DESI J350.4157-57.6828,
kkh 067,
2MASS J09325391+6736546,
PGC 128388,
PGC 129515,
PGC 132465,
FAIRALL 0187,
WISEA J164649.88+225405.2,
2dFGRS S560Z061,
APMBGC 303-131+066,
2MASXi J1431221+243048,
UGC 08825 NED01,
WISEA J062139.25-522114.3,
WISEA J062140.23-522043.9,
ESO 186- G 022,
WISEA J021446.21-264036.3,
2MASS J11455786+0637270,
2MASX J02144729-2640514,
2dFGRS S548Z073,
2MASS J09565893+0548480,
PGC130487,
PGC 474389,
SDSS J090318.17+015232.9,
2MASS J09031623+0152433,
WISEA J151446.69+040420.0,
2MFGC 13481,
