OBJNAME,FIELD,NEW_VALUE,REASON
NGC 4116,RA,181.903565,VI
NGC 4116,DEC,2.692229,VI
WISEA J200641.84-740817.8,DIAM,0.5,VI
WISEA J200643.28-740830.2,DIAM,0.5,VI
NGC 4630,RA,190.6302,VI
NGC 4630,DEC,3.9586,VI
UGC 10406,RA,247.3192,VI
UGC 10406,DEC,3.1158,VI
UGC 02275,DIAM,5.5,VI
UGC 02275,PA,0.0,VI
UGC 02275,BA,1.0,VI
UGC 00667,DIAM,0.7,VI
NGC 4356,RA,186.0612,VI
NGC 4356,DEC,8.5368,VI
NGC 1365,PA,45.0,VI
MCG -02-32-022,RA,190.1998,VI
MCG -02-32-022,DEC,-14.5366,VI
UGC 11680 NED01,RA,316.9223,VI
UGC 11680 NED01,DEC,3.8716,VI
WISEA J082144.84-771947.6,RA,125.43781124272687,VI
WISEA J082144.84-771947.6,DEC,-77.32841411821875,VI
NGC 6166 NED01,DIAM,4.0,VI
NGC 6166A NED01,DIAM,0.5,VI
NGC 6166D,DIAM,0.5,VI
I Zw 153 NOTES01,DIAM,0.5,VI
CGCG 224-040 NED01,DIAM,0.75,VI
MCG +07-34-065,DIAM,0.5,VI
ESO 445- G 007,PA,0.0,VI
ESO 350-IG 034 NED02,DIAM,1.7,VI
ESO 350-IG 034 NED02,BA,0.9,VI
WISEA J232406.38+142505.7,RA,351.050076,VI
WISEA J232406.38+142505.7,DEC,14.424084,VI
