OBJNAME,REGION
WISEA J092245.14+100940.5
WISEA J202510.69-202748.3
WISEA J092534.28+072535.1
WISEA J000608.39+330341.5
WISEA J150307.13-725724.4
WISEA J002736.93-363355.3
WISEA J012307.52-305429.8
WISEA J235115.06+143103.4
WISEA J022005.92-042452.2
2MASS J11502065-0035305
WISEA J232656.12-102143.5
WISEA J155941.88+332714.3
WISEA J214118.23-034905.8
2MASS J00161441-3123447
LCRS B023447.5-423941
2MASS J11575608+0724048
WISEA J215122.45-581303.3
WISEA J074208.97+160623.4
VIII Zw 180 NOTES03
WISEA J115527.98+120438.6
WISEA J112834.74-363610.1
WISEA J145042.61+230912.1
2MASX J17085350-6848177
WISEA J103537.72+232348.6
WISEA J205047.18-411929.6
WISEA J215016.74-070800.3
WISEA J171744.25+082906.8
WISEA J141434.03+190006.3
WISEA J083059.39+043958.9
WISEA J234515.33-254942.9
WISEA J032535.53+114420.6
WISEA J170118.14+240547.3
WISEA J220125.64-454241.3
WISEA J123048.66-011545.0
WISEA J114421.93+305459.0
WISEA J072235.68-473435.5
WISEA J150150.15+251307.4
WISEA J123901.79-172858.0
WISEA J224457.80+171507.5
WISEA J003449.06-063624.3
WISEA J120414.10+282005.1
WISEA J220519.73+163907.1
WISEA J220532.16-654250.9
WISEA J000846.06-464910.7
WISEA J104356.59+093459.4
WISEA J082622.10-183321.4
WISEA J095612.35+054806.5
WISEA J115705.45+232352.7
WISEA J140819.36-284618.4
WISEA J034037.70-131554.5
WISEA J173044.78+223958.2
WISEA J013518.93-542841.6
WISEA J134820.93+321831.1
WISEA J211956.05-731423.7
WISEA J160846.37+332919.3
WISEA J035739.52-401804.8
WISEA J163844.47+281317.2
WISEA J161257.21+222824.2
2MASS J08190176+1759115
WISEA J165139.95+335541.2
WISEA J144033.57+191633.1
WISEA J235322.85-864751.1
WISEA J233413.95+072130.7
V Zw 121 NOTES03
WISEA J190603.69-435209.5
WISEA J141738.28+020342.1
WISEA J142513.82-322339.1
WISEA J014247.79-301139.8
ESO 195-IG 023 NED03
LCRS B000741.7-412623
WISEA J134015.09+035933.6
WISEA J021406.35-242125.4
WISEA J152043.77+332448.4
WISEA J221204.99-125820.3
2MASX J16185615+1056376
WISEA J235640.57-101241.0
WISEA J082348.72-574448.5
WISEA J001332.37+061754.8
WISEA J201040.97-741535.8
WISEA J152330.18+205427.4
WISEA J195653.71-463215.2
WISEA J221406.18+293444.5
WISEA J131041.30+150730.5
WISEA J052144.44-390429.4
WISEA J141401.96+190403.7
WISEA J230122.98-510647.7
2MASS J06131688-1825434
WISEA J113616.09-374524.6
WISEA J122006.97+075243.5
WISEA J000001.19+202632.8
WISEA J083427.50-181954.8
WISEA J134053.75+025540.5
WISEA J144808.85+215335.2
WISEA J234413.11-040819.1
WISEA J205717.59-430915.8
WISEA J035741.79-401755.0
ESO 190-IG 014 NED02
WISEA J125755.97-015319.9
WISEA J222416.62-801408.4
WISEA J105110.42+313030.7
LCRS B112625.1-023234
WISEA J034049.72-520145.1
WISEA J115602.86+045851.2
WISEA J004535.02-571036.6
WISEA J205450.05-643429.6
WISEA J014847.31-140010.4
WISEA J080621.17+071206.8
WISEA J120938.22-042030.0
WISEA J170416.57-663259.4
WISEA J100622.30+151002.1
WISEA J093305.84+321636.8
WISEA J161754.96+330619.7
WISEA J171754.59+274821.0
WISEA J121516.82-071049.7
WISEA J212903.62-555543.0
WISEA J141817.51+221529.4
