OBJNAME,FIELD,NEW_VALUE,REASON
WISEA J183137.50+312435.8,REGION,2,No south data
WISEA J164228.94+343030.0,REGION,2,No south data
MCG +06-35-011,REGION,2,No south data
2MASX J14432844+3428494,REGION,2,No south data
WISEA J093902.46+333055.4,REGION,2,No south data
KUG 0656+338,REGION,2,No south data
KUG 0717+338,REGION,2,No south data
WISEA J133303.99+335225.6,REGION,2,No south data
SDSS J133330.13+335231.6,REGION,2,No south data
WISEA J133330.14+334903.2,REGION,2,No south data
CGPG 1239.8+3359,REGION,2,No south data
NGC 300,DIAM,25.0,SGA2020
MESSIER 033,DIAM,77.60863,SGA2020
MESSIER 033,BA,0.59,HYPERLEDA
MESSIER 033,PA,22.7,HYPERLEDA
ESO 499- G 007,DIAM,1.1,HYPERLEDA
ESO 499- G 007,BA,0.75,HYPERLEDA
ESO 499- G 007,PA,9.4,HYPERLEDA
WISEA J032207.84+211741.2,RA,50.532351,VI
WISEA J032207.84+211741.2,DEC,21.294901,VI
WISEA J032207.84+211741.2,DIAM,0.5,VI
WISEA J032207.84+211741.2,BA,1.0,VI
WISEA J032207.84+211741.2,PA,0.0,VI
WISEA J035630.88-475302.0,RA,59.127920,VI
WISEA J035630.88-475302.0,DEC,-47.884027,VI
WISEA J040702.20-170737.0,RA,61.759116,VI
WISEA J040702.20-170737.0,DEC,-17.126934,VI
2MASX J09303817-1011122,RA,142.658437,VI
2MASX J09303817-1011122,DEC,-10.186100,VI
WISEA J094945.21-240624.2,RA,147.438409,VI
WISEA J094945.21-240624.2,DEC,-24.104345,VI
WISEA J101242.89-354816.4,RA,153.1796,VI
WISEA J101242.89-354816.4,DEC,-35.8048,VI
WISEA J103110.15-434731.8,RA,157.792781,VI
WISEA J103110.15-434731.8,DEC,-43.792877,VI
2MFGC 08505,RA,163.684453,VI
2MFGC 08505,DEC,-43.564757,VI
2MFGC 08505,DIAM,0.5,VI
2MFGC 08505,BA,0.3,VI
2MFGC 08505,PA,150.0,VI
WISEA J110609.09-262559.1,RA,166.538838,VI
WISEA J110609.09-262559.1,DEC,-26.433095,VI
WISEA J110609.09-262559.1,DIAM,0.5,VI
WISEA J110609.09-262559.1,BA,1.0,VI
WISEA J110609.09-262559.1,PA,0.0,VI
WISEA J122400.26-033737.1,RA,186.000608,VI
WISEA J122400.26-033737.1,DEC,-3.626107,VI
WISEA J140548.10-394411.5,RA,211.4510,VI
WISEA J140548.10-394411.5,DEC,-39.7358,VI
2MASS J14530597-3956245,RA,223.276583,VI
2MASS J14530597-3956245,DEC,-39.937951,VI
WISEA J154301.82-275427.7,RA,235.759332,VI
WISEA J154301.82-275427.7,DEC,-27.907508,VI
UGC 10143 NOTES03,DIAM,1.084,VI
UGC 10143 NOTES03,BA,0.13,VI
UGC 10143 NOTES03,PA,103.2,VI
WISEA J172228.18+140423.5,RA,260.6178,VI
WISEA J172228.18+140423.5,DEC,14.0727,VI
WISEA J172228.18+140423.5,DIAM,0.5,VI
WISEA J172228.18+140423.5,BA,1.0,VI
WISEA J172228.18+140423.5,PA,0.0,VI
WISEA J191255.62-363231.3,RA,288.230433,VI
WISEA J191255.62-363231.3,DEC,-36.540179,VI
WISEA J191255.62-363231.3,PA,105.0,VI
WISEA J200648.91-533022.6,RA,301.703177,VI
WISEA J200648.91-533022.6,DEC,-53.505476,VI
WISEA J200648.91-533022.6,DIAM,0.5,VI
ESO 400- G 025,RA,306.9100,VI
ESO 400- G 025,DEC,-32.9578,VI
WISEA J234008.62+265402.1,RA,355.035050,VI
WISEA J234008.62+265402.1,DEC,26.900549,VI
MCG -02-01-015,DIAM,0.778,SGA2020
MCG -02-01-015,BA,0.67,SGA2020
MCG -02-01-015,PA,169.3,SGA2020
PGC 796013,RA,201.037787,VI
PGC 796013,DEC,-23.879685,VI
WISEA J141711.44+063609.3,DIAM,1.0,VI
WISEA J141711.44+063609.3,BA,1.0,VI
WISEA J141711.44+063609.3,PA,0.0,VI
ESO 183-IG 023 NED03,RA,283.163801,VI
ESO 183-IG 023 NED03,DEC,-55.981606,VI
ESO 112- G 006,DIAM,1.4,VI
ESO 112- G 006,BA,0.25,VI
