OBJNAME,REGION
SDSS J133055.76+470507.8,
WISEA J131128.22-012043.3,
2MASX J13113005-0120430,
2MASX J13112952-0120280,
2MASS J13113005-0120286,
WISEA J011618.79+332205.4,
WISEA J011758.89-172354.2,
WISEA J110931.99+442338.6,
PGC 220959,
PGC 223378,
PGC 223756,
PGC 225849,
2MASS J13444702-7420410,
PGC 293882,
PGC 361248,
WISEA J004305.21-572934.4,
PGC 396678,
PGC 488620,
WISEA J210805.23-463025.8,
PGC 530518,
PGC 541231,
PGC 562069,
2MASS J15262581-3745412,
PGC 631488,
PGC 639705,
CGMW 4-1388,
PGC 689181,
PGC 710946,
2MASX J16432373-2841073,
PGC 757837,
PGC 758963,
2MASX J12493088-2605573,
2MASX J00263607-2316522,
PGC 804808,
PGC 813509,
PGC 823248,
2MASX J21215186-2147084,
PGC 845550,
2MASX J19470813-1916182,
PGC 875575,
PGC 878953,
PGC 879921,
2MASX J05255548-1432515,
2MASS J08012631-1129171,
WISEA J213136.71-094408.7,
PGC 991482,
2MASS J09525377-0843014,
PGC 1057281,
PGC 1092141,
PGC 1121334,
PGC 1142916,
SDSS J233005.49+004332.3,
PGC 1185858,
PGC 1204415,
PGC 1206816,
SDSS J114540.05+024949.0,
PGC 1247977,
PGC 1336212,
WISEA J003414.19+101715.9,
PGC 1395929,
WISEA J101300.30+155026.3,
WISEA J101300.08+155031.3,
WISEA J134639.20+254049.0,
2MASS J21433001+2618047,
WISEA J103559.50+302343.6,
2MASS J18301368+3209557,
WISEA J083239.43-055405.3,
WISEA J115838.58+153511.9,
WISEA J121716.72+453512.2,
WISEA J131325.42+461849.3,
WISEA J131327.30+461904.5,
WISEA J140458.75+534406.2,
WISEA J140458.21+534358.5,
2MASX J21162454-0000163,
2MASS J15512765+3944212,
WISEA J172340.04+471629.2,
2MASS J19085225+4815175,
PGC 2313632,
WISEA J232933.39-010246.3,
WISEA J122733.67+221349.4,
26 Com:[GR2015] 109d,
PGC2493930,
PGC 2219256,
WISEA J070831.32+432218.9,
WISEA J071554.50+612010.5,
PGC2616065,
WISEA J071650.31+441038.4,
PGC2238338,
PGC 2786020,
WISEA J073113.79+815837.6,
PGC 2295673,
WISEA J081012.20+422228.7,
WISEA J081010.76+422208.2,
PGC 2197364,
PGC 2365144,
WISEA J081959.97+501036.1,
WISEA J082523.98+622611.4,
PGC 3097418,
PGC 2396675,
2MASX J08425916+5135428,
WISEA J085538.52+573348.1,
SDSS J085554.97+421832.1,
PGC 2196359,
WISEA J085555.63+421834.8,
PGC2770883,
2MASS J10210322+4700489,
PGC 2290914,
WISEA J112130.97+534405.3,
PGC2751897,
PGC 2277908,
PGC 1889981,
WISEA J112434.22+300544.7,
WISEA J113253.72+581059.3,
PGC2575545,
PGC 2580678,
WISEA J113718.42+340922.0,
PGC2044798,
PGC 2617943,
PGC2079279,
PGC 2669622,
PGC 2702577,
SDSS J124052.22+513654.8,
PGC2397002,
2MASX J12421432+4215592,
PGC2195602,
WISEA J124504.49+551525.3,
PGC 2496341,
WISEA J124502.83+551607.3,
WISEA J124800.57+794210.2,
PGC2780643,
WISEA J130308.69+495329.2,
PGC2356618,
WISEA J130436.76+715645.5,
PGC 2746612,
2MASS J13072866+5426496,
PGC2469933,
PGC100332,
PGC1 0045749 NED020,
WISEA J132822.46+655419.3,
PGC2681792,
PGC 2103356,
PGC1 0049356 NED036,
PGC 2764438,
2MASX J13591688+7446446,
WISEA J143537.69+395742.1,
PGC 2686573,
PGC 2542825,
PGC 3097758,
PGC 2780837,
WISEA J162157.27+410027.9,
PGC 2174416,
WISEA J162156.80+410013.2,
WISEA J164152.47+700717.5,
WISEA J164150.54+700707.0,
PGC 2734219,
WISEA J164154.47+700818.6,
WISEA J164147.29+700806.3,
PGC 2558785,
PGC 2033982,
WISEA J173812.87+395532.2,
PGC 2395994,
WISEA J174507.35+324700.7,
PGC 2012196,
PGC 2639922,
WISEA J175608.65+623411.4,
2MASX J18054167+5551023,
WISEA J182130.89+312219.6,
PGC 1944051,
2MASS J18232377+3612374,
PGC 2076830,
WISEA J182435.80+631613.5,
PGC 2652750,
PGC 1993242,
WISEA J183004.93+322128.3,
PGC 2128944,
2MASS J18435903+3830131,
WISEA J185914.70+522447.0,
PGC2414266,
PGC 301464,
PGC 463864,
PGC095113,
WISEA J000159.27-524044.9,
PGC314710,
PGC 880978,
ESO 111-IG 011,
PGC 789212,
PGC 536319,
PGC445933,
PGC 1789702,
WISEA J000447.55-161411.9,
PGC 900643,
PGC 595115,
PGC 588767,
PGC 450698,
PGC 130934,
PGC 1073912,
PGC 1073881,
PGC 1284557,
WISEA J001110.43-421857.9,
PGC 1861133,
PGC1402213,
PGC 708966,
PGC 1054314,
PGC 1054303,
PGC 408742,
PGC 1032813,
PGC 850934,
2MASS J00143454+1749111,
PGC1542492,
PGC 424119,
PGC 1561262,
PGC 1561142,
WISEA J001559.20-315813.3,
PGC 698658,
PGC 937493,
PGC 1028542,
PGC 471763,
PGC 783852,
WISEA J001815.75+014503.8,
PGC 294995,
PGC 312364,
WISEA J002221.65-130403.2,
PGC 943394,
PGC 931470,
PGC 931441,
WISEA J002304.36-603551.5,
WISEA J002307.18-603539.5,
PGC 127810,
PGC444221,
PGC 768475,
PGC 426694,
PGC 998485,
PGC 998461,
WISEA J003009.22-500711.4,
PGC 469700,
PGC 1035620,
PGC 1035633,
WISEA J003135.40+123335.2,
PGC1411822,
WISEA J003149.85-791108.4,
PGC 230901,
PGC 944985,
WISEA J003205.92-072504.1,
WISEA J003205.27-072454.7,
PGC 1019370,
PGC 750995,
PGC 1042922,
PGC 1042937,
PGC 1042514,
PGC 1001517,
PGC 280344,
PGC595058,
PGC 1495004,
PGC 965009,
PGC 826347,
WISEA J003502.57-025211.6,
PGC1081033,
PGC 771542,
PGC1241187,
PGC 1019484,
PGC 469485,
PGC 392625,
WISEA J003733.06-571309.1,
PGC398256,
PGC 1512325,
WISEA J003847.84-182210.2,
PGC 868975,
WISEA J004004.39-531113.3,
GALEXASC J004000.88-531126.6,
PGC 133693,
PGC095064,
PGC 322026,
PGC 1729471,
WISEA J004155.26+251328.0,
PGC 1466772,
PGC 236288,
PGC 236303,
WISEA J004635.22-140242.0,
PGC 817715,
PGC 1125474,
PGC 359652,
PGC 232314,
PGC 995064,
PGC 1100308,
PGC 486100,
PGC 565566,
PGC 1051322,
PGC 853277,
PGC 401197,
PGC 3099135,
DESI J013.5582-03.5912,
PGC 498899,
PGC 983754,
PGC 983705,
PGC 425028,
PGC 896127,
PGC 938881,
WISEA J005531.66-160013.2,
WISEA J005550.84+003910.4,
WISEA J005550.55+003919.4,
ABELL 0116:KYDISC 00053,
PGC 431796,
PGC 329866,
PGC 329869,
PGC 398033,
PGC 692835,
PGC717548,
PGC 888362,
2MASX J01005649-2732201,
PGC 753421,
PGC 129295,
PGC 452132,
PGC 845231,
WISEA J010301.29-201055.9,
PGC 1069508,
PGC559188,
PGC 588401,
2dFGRS S446Z061,
PGC 685713,
PGC406386,
PGC 589779,
PGC 587338,
PGC 673011,
PGC 663714,
PGC708302,
PGC722008,
PGC 603450,
PGC 603445,
PGC 566140,
PGC 594300,
PGC 594277,
WISEA J010651.07-394607.3,
PGC 480887,
PGC 665510,
PGC 634369,
PGC 599575,
PGC 458907,
PGC 458814,
PGC 589080,
WISEA J010851.43-152608.3,
WISEA J010851.01-152542.5,
WISEA J010848.83-152435.7,
WISEA J010852.08-152621.1,
WISEA J010852.16-152242.2,
GALEXASC J010851.56-152254.7,
PGC 004081,
IC 0080 NED02,
WISEA J010849.31-152525.8,
IC 0077,
2MASX J01084781-1526178,
MCG -03-04-012,
IC 0080 NED01,
PGC 1094598,
PGC 785014,
PGC 225292,
PGC 095127,
PGC 095128,
PGC 431698,
PGC 1037429,
PGC 1037434,
PGC 1702679,
PGC 656998,
PGC1724528,
PGC 1208579,
PGC 1208509,
PGC 844810,
WISEA J011447.25-091037.8,
PGC 994226,
PGC 1194775,
WISEA J011534.26-361701.7,
PGC892394,
PGC903500,
PGC 442138,
PGC461901,
PGC446581,
PGC 1213503,
WISEA J011751.17+020125.6,
PGC 690220,
PGC 294582,
PGC363178,
PGC 127841,
PGC 592017,
PGC 416273,
PGC845383,
PGC 607833,
PGC 095443,
PGC938993,
PGC 396635,
PGC 429671,
PGC1085784,
PGC 990322,
PGC355577,
PGC 1124961,
PGC 921215,
PGC 347354,
PGC 1048576,
PGC 539324,
PGC 539357,
PGC 810107,
APMBGC 152+008-026,
PGC142015,
PGC 262959,
PGC 1012158,
PGC1064343,
PGC 382985,
PGC 1102870,
PGC 292849,
PGC 729305,
PGC 127900,
PGC707812,
PGC 692362,
PGC 312561,
PGC1043951,
WISEA J015155.52+331131.4,
PGC 2026068,
WISEA J015216.28-300616.7,
PGC721344,
PGC 393515,
PGC 1192844,
PGC 680913,
PGC 1182098,
WISEA J015314.81+010207.2,
PGC 1354554,
PGC1360381,
PGC 447773,
PGC459876,
WISEA J015650.56+272037.6,
PGC1805035,
2dFGRS S153Z155,
PGC 678961,
PGC 087557,
WISEA J015734.64-064852.8,
PGC 1028342,
WISEA J015918.73-061932.8,
PGC 1840047,
PGC 357572,
PGC352017,
PGC 809566,
PGC 368772,
PGC662872,
2dFGRS S572Z045,
WISEA J020651.88-321027.0,
PGC132940,
PGC 663912,
PGC663850,
PGC 677163,
PGC 641506,
PGC 466824,
PGC1884356,
PGC 218976,
PGC 218972,
WISEA J021314.29+012730.8,
PGC 1279289,
PGC557135,
PGC 342836,
PGC 296061,
PGC 578810,
PGC847750,
PGC354782,
PGC468804,
PGC 240174,
PGC 095470,
PGC1789768,
PGC 2057374,
PGC 1119341,
PGC519642,
PGC 917558,
PGC 889758,
PGC 513186,
PGC 449055,
PGC 449093,
PGC 266389,
WISEA J022222.38-715638.9,
PGC338714,
PGC095025,
PGC 409255,
PGC 576198,
PGC 283181,
PGC 570905,
WISEA J022610.65-544456.5,
PGC 416226,
PGC 415990,
PGC 547352,
PGC 412321,
PGC 918498,
PGC663300,
PGC 688660,
WISEA J023148.58+271553.5,
PGC 1802576,
PGC443215,
PGC 937761,
PGC963296,
PGC 685929,
PGC 417363,
WISEA J023519.47-332258.3,
PGC 677124,
PGC 712845,
WISEA J023532.72-313748.7,
PGC 702978,
PGC678071,
PGC 726492,
PGC 661262,
PGC 981491,
PGC 981516,
PGC 910491,
PGC 761321,
WISEA J023847.86+264826.5,
PGC1788949,
WISEA J023923.22-250506.4,
PGC 625160,
PGC 875577,
WISEA J024247.45-322543.4,
PGC 692023,
PGC 752885,
PGC466587,
PGC 793541,
PGC 896329,
PGC 888716,
PGC 883727,
PGC 764715,
PGC 753224,
PGC 570802,
PGC 528490,
PGC 628618,
2dFGRS S106Z267,
PGC796033,
PGC 594161,
PGC475009,
PGC 363656,
PGC 346373,
PGC 775888,
PGC 699323,
PGC 699109,
PGC361128,
PGC 886772,
PGC978985,
PGC 440377,
PGC956682,
PGC 440226,
PGC 959069,
LCRS B025711.8-443940,
PGC 281299,
PGC 249228,
PGC 540968,
PGC 639161,
PGC 722330,
PGC407122,
PGC 956462,
WISEA J030651.09-041258.2,
PGC1061263,
PGC 265610,
PGC694480,
PGC 956460,
PGC 679564,
PGC 411379,
WISEA J031201.62-272348.7,
WISEA J031201.71-272333.7,
PGC755600,
PGC 907370,
PGC 011994,
PGC 910699,
WISEA J031525.17-424628.8,
PGC 567772,
PGC 706850,
PGC675156,
PGC676337,
GALEXASC J031629.60-241959.5,
PGC129485,
PGC127967,
PGC673920,
PGC 666953,
PGC 491198,
PGC761760,
PGC 726560,
PGC 130260,
PGC 130259,
PGC797453,
PGC 3097234,
PGC 392104,
PGC750800,
WISEA J032401.30-093437.5,
PGC989205,
PGC 412227,
FCCB 0627,
PGC 617831,
PGC 649302,
PGC 516761,
PGC 3097871,
FLSBG 029,
WISEA J033228.59-582912.5,
2MASS J13321936+4709386,
2MASS J13355219+4727068,
PGC379894,
PGC 3097872,
PGC 418341,
PGC603806,
PGC 457567,
PGC525877,
PGC 587602,
PGC 908105,
PGC 522120,
PGC 094964,
PGC 409985,
PGC130296,
PGC 423776,
PGC 131214,
PGC 3097879,
PGC 756117,
PGC787491,
PGC 664209,
GALEXASC J034245.43-341816.3,
PGC652867,
PGC721716,
PGC 285577,
PGC 265979,
PGC954770,
PGC 564077,
PGC 3097885,
PGC 3097887,
WISEA J035043.32+105801.7,
WISEA J035040.29+105705.5,
WISEA J035042.65+105803.4,
PGC 765115,
PGC613774,
PGC 252325,
PGC725657,
PGC 508897,
PGC 767546,
WISEA J035505.60-870436.7,
PGC 215987,
PGC563004,
PGC 444840,
PGC 408998,
PGC 133079,
PGC 456440,
PGC 443200,
PGC 559492,
PGC 730486,
PGC 340224,
PGC 424754,
WISEA J040423.80-535534.5,
PGC529268,
PGC 422822,
PGC 630055,
PGC 542659,
PGC 389881,
PGC 435544,
PGC 666219,
PGC 014465,
PGC 088242,
PGC 609076,
PGC 609139,
WISEA J040811.51-092748.0,
PGC 3097307,
WISEA J040817.33-612449.5,
PGC355534,
PGC355512,
PGC 416188,
PGC 131315,
PGC 1011643,
PGC 434126,
PGC 129489,
PGC 1016039,
PGC 760806,
PGC876779,
PGC414386,
PGC 456017,
PGC 621419,
PGC 525593,
PGC519621,
PGC601272,
PGC 731940,
PGC 921902,
WISEA J041652.72-863058.0,
PGC 216601,
PGC 405904,
WISEA J041936.89-014858.1,
PGC 1109328,
PGC458572,
PGC 926906,
PGC 130351,
PGC 515933,
PGC 437094,
PGC476719,
PGC 387664,
PGC 411507,
PGC 718853,
PGC565950,
PGC 3097346,
WISEA J042803.91-182612.0,
WISEA J042802.89-182519.3,
PGC 3097348,
PGC 463374,
APMUKS(BJ) B042913.40-464313.1,
PGC 3097350,
WISEA J043040.80-463645.1,
PGC 483632,
PGC 729388,
PGC 635440,
PGC 700881,
WISEA J043252.58+010025.4,
PGC 1181686,
PGC 490968,
PGC 498310,
PGC 499422,
PGC 642207,
PGC 477666,
PGC 596156,
PGC 457429,
PGC 249313,
WISEA J043707.26-743554.1,
PGC1136539,
PGC402454,
PGC 498953,
PGC 1124929,
PGC 829515,
PGC 686173,
PGC695849,
PGC 826559,
WISEA J044442.29-031853.4,
PGC 1209502,
PGC 1209490,
PGC 677008,
PGC 469818,
PGC 1183630,
PGC 1183549,
PGC 1183619,
PGC 088355,
PGC 329352,
PGC 362099,
PGC 362097,
PGC1048302,
PGC838213,
PGC741454,
PGC 1070208,
PGC 527505,
WISEA J045315.40-160257.4,
PGC 903153,
PGC 811610,
PGC715392,
PGC519798,
PGC804513,
PGC3099162,
LEDA 401821,
PGC 666058,
PGC 666111,
PGC 666086,
PGC 475731,
PGC 959348,
PGC 427367,
PGC 382044,
PGC 239367,
PGC 626037,
PGC 1120604,
WISEA J050354.38-100144.8,
PGC 568798,
PGC 239739,
PGC 796527,
PGC524909,
PGC 237472,
PGC 1095675,
PGC 758095,
PGC 1168718,
PGC 1136823,
PGC 747033,
WISEA J051225.69-495642.5,
PGC471596,
PGC 572917,
PGC 572892,
PGC 572863,
WISEA J051320.09-414247.9,
PGC457546,
WISEA J051331.28-421607.1,
WISEA J051333.70-421631.4,
PGC 566065,
PGC738739,
PGC130457,
PGC 485949,
PGC 572968,
2MASX J05153935-4142112,
PGC 713709,
PGC 699862,
WISEA J051619.03-315235.6,
PGC 699930,
PGC708405,
PGC691324,
WISEA J051851.24-415237.2,
PGC 443576,
PGC 763541,
PGC 357356,
PGC736487,
WISEA J052334.05-285142.6,
WISEA J052437.72-454236.8,
PGC 523766,
PGC 614669,
PGC 876215,
PGC 354336,
PGC 933354,
WISEA J052819.42-201536.2,
PGC844244,
PGC 889430,
PGC 936509,
PGC 686020,
PGC759008,
PGC 1426333,
WISEA J053514.13+131457.3,
PGC 624585,
PGC 328757,
PGC748729,
PGC 930204,
WISEA J053552.97-140041.1,
WISEA J053708.90-641243.6,
PGC 325118,
PGC 485998,
PGC 485978,
2MASS J05371872-4835125,
PGC 734162,
PGC 546290,
PGC 546306,
WISEA J054059.94-383632.1,
2MASS J05413574-1924428,
PGC 855653,
PGC 797045,
PGC794545,
PGC3099174,
WISEA J054530.34-255620.9,
PGC 017740,
WISEA J054723.40-353315.4,
PGC647449,
WISEA J054935.30-290233.3,
PGC 734125,
PGC 749344,
PGC 520614,
WISEA J055101.55-453419.0,
PGC 525303,
PGC 878306,
PGC 222639,
PGC 507531,
PGC 653015,
WISEA J055307.18-350735.1,
PGC 755707,
PGC 818506,
WISEA J055541.27-344325.4,
PGC 562972,
PGC 655334,
2MASX J05581376-2123367,
PGC 828824,
PGC 869321,
PGC 342972,
WISEA J060042.30-264404.0,
PGC764542,
PGC 495590,
PGC 314312,
PGC 314334,
PGC 303322,
2MASS J06073876-6637040,
PGC 805091,
PGC 874164,
PGC 310584,
PGC 310582,
PGC 3098200,
PGC 327320,
PGC 703279,
PGC 331715,
PGC 256483,
PGC 746411,
LEDA 075567,
PGC 749818,
PGC 609606,
PGC 305576,
PGC 494627,
PGC 488966,
PGC 781023,
PGC 771799,
PGC 890204,
PGC 621170,
PGC 752991,
PGC 446732,
WISEA J062232.17-521503.3,
WISEA J062304.09-714109.5,
PGC 267705,
PGC 306130,
PGC 277349,
WISEA J062607.95-694506.0,
WISEA J062614.42-680245.8,
PGC 289075,
PGC 306225,
PGC 628489,
PGC 639910,
PGC 781659,
