OBJNAME,FIELD,NEW_VALUE,REASON
dw1000m0831,RA,150.228900,NED
dw1000m0831,DEC,-8.530500,NED
dw1002m0642,RA,150.657000,NED
dw1002m0642,DEC,-6.708300,NED
UGC 7242,RA,183.5354,VI
UGC 7242,DEC,66.0902,VI
GALEXASC J091730.10+262729.8,RA,139.37553295495766,VI
GALEXASC J091730.10+262729.8,DEC,26.458587025567933,VI
GALEXASC J091730.10+262729.8,DIAM,0.58680165,VI
GALEXASC J091730.10+262729.8,BA,0.7422832,VI
GALEXASC J091730.10+262729.8,PA,146.44102,VI
2dFGRS S345Z154,RA,345.94052578873976,VI
2dFGRS S345Z154,DEC,-30.461483736832086,VI
2dFGRS S345Z154,DIAM,0.9240345,VI
2dFGRS S345Z154,BA,0.675193,VI
2dFGRS S345Z154,PA,176.77347,VI
LV J0616-5745,RA,94.0364,VI
LV J0616-5745,DEC,-57.7643,VI
NGC 2903-HI-1,RA,142.6665,VI
NGC 2903-HI-1,DEC,21.7236,VI
KKSG 18,DIAM,2.2,VI
KKSG 20,RA,166.1676,VI
KKSG 20,DEC,0.0582,VI
DDO 44,RA,113.54940074138219,VI
DDO 44,DEC,66.88564660799477,VI
2MASX J12421207+4216242,DIAM,1.7,VI
PGC370024,DIAM,1.1,VI
PGC370024,PA,20.0,VI
WISEA J001654.39-064754.2,PA,90.0,VI
MRSS 540-100577,RA,8.6217,VI
MRSS 540-100577,DEC,-21.5821,VI
WISEA J003712.39-500819.3,RA,9.2998,VI
WISEA J003712.39-500819.3,DEC,-50.1390,VI
PGC212559,RA,9.5275,VI
PGC212559,DEC,2.7204,VI
ESO 151-IG 011 NED01,RA,14.1689,,VI
ESO 151-IG 011 NED01,DEC,-56.6927,VI
LCRS B010428.4-423145,RA,16.6874,,VI
LCRS B010428.4-423145,DEC,-42.2625,VI
WISEA J011045.09-813238.6,DIAM,0.7,VI
WISEA J013257.72-612436.6,RA,23.2403,VI
WISEA J013257.72-612436.6,DEC,-61.4103,VI
WISEA J014805.23-611456.1,DIAM,0.6,VI
WISEA J014825.07-311248.4,PA,45.0,VI
KUG 0149-057,PA,65.0,VI
WISEA J020330.12-224430.4,DIAM,0.6,VI
WISEA J020652.49-321109.8,DIAM,0.6,VI
WISEA J020722.91-341944.3,DIAM,0.6,VI
WISEA J020900.27-360216.4,DIAM,0.6,VI
WISEA J020900.27-360216.4,PA,0.0,VI
WISEA J022022.81-170217.8,DIAM,0.7,VI
GALEXASC J022053.03-463526.1,PA,0.0,VI
GALEXASC J022053.03-463526.1,RA,35.2226,VI
GALEXASC J022053.03-463526.1,DEC,-46.5914,VI
PGC 547320,RA,37.1281,VI
PGC 547320,DEC,-43.5610,VI
PGC 547320,DIAM,0.7,VI
WISEA J023227.36-132730.5,PA,0.0,VI
WISEA J023227.36-132730.5,BA,0.8,VI
WISEA J023227.36-132730.5,DIAM,0.6,VI
6dF J0236520-152937,RA,39.2166,,VI
6dF J0236520-152937,DEC,-15.4929,VI
PGC381584,RA,39.5570,VI
PGC381584,DEC,-58.1596,VI
PGC782883,RA,39.8496,,VI
PGC782883,DEC,-25.0846,VI
PGC 888758,RA,41.5903,VI
PGC 888758,DEC,-17.1050,VI
PGC 888758,PA,90.0,VI
PGC 888758,BA,0.8,VI
PGC 888758,DIAM,0.9,VI
WISEA J024930.64-370508.9,PA,100.0,VI
WISEA J025508.20-604228.1,DIAM,0.7,VI
ESO 053-IG 021 NED01,PA,0.0,VI
ESO 053-IG 021 NED01,DIAM,0.4,VI
WISEA J025701.82-121033.1,DIAM,0.7,VI
WISEA J030225.74-743650.6,DIAM,0.7,VI
LCRS B030043.7-441724,DIAM,0.7,VI
WISEA J031025.66-121122.7,DIAM,0.6,VI
WISEA J031524.58-424603.7,DIAM,0.7,VI
PGC558248,DIAM,0.4,VI
FCCB 0018,PA,90.0,VI
WISEA J031640.04-513354.8,DIAM,0.7,VI
WISEA J031657.48-601730.0,DIAM,0.8,VI
WISEA J031657.48-601730.0,BA,0.9,VI
WISEA J031657.48-601730.0,PA,0.0,VI
FCCB 0033,PA,45.0,VI
WISEA J031737.56-480632.7,DIAM,0.7,VI
WISEA J031756.92-294006.0,RA,49.4872,VI
WISEA J031756.92-294006.0,DEC,-29.6684,VI
PGC425728,RA,52.1013,VI
PGC425728,DEC,-53.8264,VI
PGC378807,RA,53.1191,,VI
PGC378807,DEC,-58.4906,VI
PGC 379884,RA,53.1482,,VI
PGC 379884,DEC,-58.3580,VI
WISEA J033301.67-543311.1,DIAM,0.7,VI
2MASX J03412097-7501396,DIAM,0.6,VI
2MASX J03412097-7501396,BA,0.9,VI
2MASS J03522951-7401506,PA,150.0,VI
2MASS J03522951-7401506,DIAM,1.0,VI
PGC 3097890,BA,0.3,VI
WISEA J035843.83-182744.4,BA,0.3,VI
WISEA J035843.83-182744.4,DIAM,0.5,VI
PGC 424745,RA,61.0887,VI
PGC 424745,DEC,-53.9223,VI
WISEA J040613.91-530007.7,DIAM,0.6,VI
LSBG F156-041,DIAM,0.7,VI
LSBG F156-041,BA,0.9,VI
PGC 419589,RA,61.9386,,VI
PGC 419589,DEC,-54.4243,VI
PGC 419589,DIAM,0.3,VI
LSBG F156-040,RA,62.4415,VI
LSBG F156-040,DEC,-54.7493,VI
PGC731947,DIAM,0.9,VI
PGC129601,BA,0.3,VI
PGC129601,PA,140.0,VI
WISEA J041800.89-500238.7,RA,64.5047,VI
WISEA J041800.89-500238.7,DEC,-50.0436,VI
GALEXASC J042640.13-573744.6,PA,45.0,VI
GALEXASC J042640.13-573744.6,RA,66.6664,VI
GALEXASC J042640.13-573744.6,DEC,-57.6293,VI
WISEA J042645.11-551305.0,DIAM,0.8,VI
ESO 202- G 029,PA,0.0,VI
ESO 202- G 029,DIAM,0.8,VI
ESO 360- G 017,RA,68.9905,VI
ESO 360- G 017,DEC,-35.9827,VI
WISEA J043919.61-004302.6,DIAM,0.8,VI
NGC 1646 NED02,DIAM,0.3,VI
PGC3084954,RA,71.1094,VI
PGC3084954,DEC,-8.5354,VI
NGC 1646 NED01,DIAM,4.0,VI
WISEA J044725.40-204138.5,BA,0.9,VI
GALEXASC J045527.16-303530.7,RA,73.8648,VI
GALEXASC J045527.16-303530.7,DEC,-30.5913,VI
WISEA J050206.11-493234.8,PA,140,VI
WISEA J050206.11-493234.8,DIAM,0.5,VI
WISEA J050243.69-534033.4,DIAM,0.7,VI
FAIRALL 1133,PA,30.0,VI
FAIRALL 1133,DIAM,1.5,VI
PGC572734,RA,78.2854,VI
PGC572734,DEC,-41.7251,VI
PGC457576,RA,78.3703,VI
PGC457576,DEC,-51.3247,VI
GALEXASC J051614.95-315256.0,RA,79.0628,VI
GALEXASC J051614.95-315256.0,DEC,-31.8819,VI
PGC570956,RA,79.7090,VI
PGC570956,DEC,-41.8790,VI
PGC 3094964,RA,80.8516,VI
PGC 3094964,DEC,-61.1826,VI
WISEA J052800.59-613346.8,DIAM,0.8,VI
WISEA J052810.19-620850.4,RA,82.0405,VI
WISEA J052810.19-620850.4,DEC,-62.1481,VI
PGC348666,RA,82.0421,VI
PGC348666,DEC,-62.1502,VI
WISEA J053534.79-372117.1,DIAM,0.8,VI
WISEA J053743.96-290240.3,BA,0.7,VI
WISEA J054134.60-234726.2,BA,0.9,VI
WISEA J054410.02-482021.8,DIAM,0.6,VI
PGC 017727,RA,86.2789,VI
PGC 017727,DEC,-26.0778,VI
2MASXi J0551060-174420,BA,0.8,VI
WISEA J055811.02-212336.1,DIAM,0.7,VI
WISEA J055907.92-182031.7,DIAM,0.7,VI
WISEA J055907.92-182031.7,PA,45.0,VI

RA,,VI
DEC,,VI
