OBJNAME,REGION,RA,DEC,DIAM,PA,BA,MAG,REASON
WISEA J141845.19+555227.2,dr9-north,214.68833333333333,55.87422222222222,1.1,135.0,0.8,11.87,SGA2020
WISEA J030819.93-364218.8,dr11-south,47.083166666666656,-36.705222222222226,0.8,70.0,0.78,12.554,Dropped after vicuts
WISEA J133838.27+571844.3,dr9-north,204.65937499999995,57.312305555555554,0.7,125.0,0.78,11.181,Dropped after vicuts
WISEA J050951.99-360801.5,dr11-south,77.466625,-36.133805555555554,0.6,155.0,0.74,12.931,Dropped after vicuts
MCG +01-39-011,dr11-south,228.80879166666662,4.386222222222223,0.8,100.0,1.0,12.145,Dropped after vicuts
