OBJNAME,REGION
WISEA J155645.09+462049.0,
2MASX J14313599+7512243,
WISEA J134435.76+294514.3,
PGC 2382097,
WISEA J182432.42+324734.9,
WISEA J095413.99+770445.6,
2MASS J18291882+5511101,
WISEA J182303.68+381304.4,
WISEA J102544.44+360122.6,
WISEA J175819.99+472429.7,
2MASS J15335449+5857462,
2MASS J18215525+3141574,
PGC 1970842,
WISEA J175634.54+730240.4,
WISEA J184912.65+370704.3,
2MASX J12071739+6623155,
PGC 2629576,
WISEA J064906.05+640633.8,
PGC 2114837,
PGC 2343813,
WISEA J191820.61+504313.7,
PGC 219027,
WISEA J221112.54-264055.4,
WISEA J164915.17-690004.8,
WISEA J164922.44-690054.7,
WISEA J072122.88+554528.3,
# dr9-north FAILGEO
WISEA J071326.00+440348.6,
2MASX J07132663+4403536,
WISEA J074325.96+342114.0,
SDSS J074324.91+342157.3,
WISEA J085853.61+442437.6,
WISEA J085856.48+442423.9,
WISEA J090641.89+412212.6,
WISEA J101128.78+304853.2,
WISEA J101523.26+360018.5,
WISEA J102159.47+382808.9,
SDSS J102202.12+382810.7,
2MASS J10424724+5423368,
2MASX J10424825+5423317,
WISEA J104641.75+344235.7,
2MASS J10464296+3442382,
UGC 05998 NED02,Part of galaxy
VII Zw 406 NOTES02,
2MASX J13595177+3629076,
WISEA J122453.10+333125.8,
WISEA J122453.18+333141.6,
WISEA J123602.23+565002.8,
WISEA J123600.86+565002.3,
WISEA J133121.83+313741.2,
SDSS J133124.01+313702.6,
WISEA J135951.38+363023.9,
WISEA J135947.17+363032.1,
WISEA J153635.65+373101.9,
WISEA J153635.80+373054.5,
WISEA J161402.75+491230.7,
2MASS J16140383+4913194,
2MASS J16470654+4215553,
2MASS J16470960+4216037,
WISEA J171009.88+342813.8,
2MASX J17100749+3427598,
WISEA J174048.83+441744.7,
2MASS J17404682+4418028,
WISEA J174630.21+382208.3,
WISEA J174629.17+382219.2,
WISEA J180009.56+371744.4,
WISEA J180011.05+371739.9,
GALEXASC J181131.87+670648.7,
WISEA J181440.10+453700.0,
WISEA J190325.26+710449.4,
2MASX J19032458+7104389,
WISEA J192906.87+664935.6,
2MASX J19581014+6452466,
SDSS J212824.86-004350.2,
WISEA J212824.27-004401.6,
WISEA J223217.40+285904.0,
DESI J338.0857+28.9869,
WISEA J000103.13+004907.3,
WISEA J000543.87+001827.0,
2MASX J00061362+0004597,
SDSS J001532.50+001548.2,
2MASS J00302464-0032497,
WISEA J003658.90-011315.3,
WISEA J003727.68+000744.8,
2MASX J01034467+2924216,
2MASX J02274736+0100256,
2MASS J02303187-0000067,
WISEA J023758.08+013544.0,
PGC 1192539,
SDSS J024553.28-003125.0,
WISEA J024617.96+001154.3,
WISEA J060424.23+583432.8,
WISEA J060726.79+665101.6,
MCG +10-09-012,
WISEA J060815.98+685035.9,
WISEA J060945.09+664124.6,
WISEA J061306.25+590821.8,
WISEA J061738.38+541939.3,
WISEA J061746.89+471207.0,
WISEA J061800.60+544137.8,
2MASX J06182111+4807114,
VII Zw 066 NOTES01,
WISEA J061838.77+672454.2,
2MASX J06190542+5434154,
WISEA J061912.49+470903.3,
2MASX J06220531+7947341,
2MASX J06232013+6344345,
2MASX J06242790+4414009,
WISEA J062450.69+420950.4,
WISEA J062503.06+461411.3,
WISEA J062524.74+491726.8,
WISEA J062648.44+613409.1,
2MASX J06265972+6639290,
2MASX J06271965+6247182,
2MASX J06274644+5258049,
WISEA J062845.31+503515.2,
2MASX J06284589+5318263,
WISEA J063203.72+380506.0,
2MASX J06320281+6550340,
2MASX J06323273+7533231,
WISEA J063315.62+462917.7,
WISEA J063343.06+464306.8,
VII Zw 076,
WISEA J063443.89+710830.1,
PGC2268433,
WISEA J063601.60+452244.5,
WISEA J063658.59+414553.4,
WISEA J063657.76+455323.3,
WISEA J063705.03+374908.7,
WISEA J063708.63+514550.2,
2MASX J06372829+3756250,
WISEA J063736.97+722506.7,
WISEA J063936.75+343552.1,
WISEA J063938.14+655826.3,
WISEA J063953.49+793756.1,
WISEA J064035.54+464800.4,
WISEA J064256.20+495112.6,
WISEA J064300.21+325552.6,
B3 0639+423,
WISEA J064454.44+682001.0,
WISEA J064636.70+365615.5,
WISEA J064706.60+515920.0,
VII Zw 096,
WISEA J064835.75+501409.3,
WISEA J064904.20+525419.7,
2MASS J06491924+3559295,
WISEA J064952.19+424314.5,
WISEA J064950.59+695357.3,
WISEA J065051.06+533323.9,
WISEA J065101.83+763607.2,
WISEA J065202.28+430410.4,
2MASX J06522966+3434418,
2MASX J06523335+4111135,
2MASX J06524001+4701453,
WISEA J065342.31+701909.4,
2MASX J06542675+7632351,
WISEA J065432.31+341813.1,
2MASX J06560352+5743301,
WISEA J065625.84+434058.1,
WISEA J065818.88+334001.5,
2MASX J06585090+7725217,
CGCG 234-038,
2MASX J06594116+4640197,
WISEA J065949.47+633640.5,
WISEA J070116.46+324629.2,
WISEA J070137.25+320155.6,
WISEA J070146.29+564912.0,
2MASX J07014975+4758336,
WISEA J070226.27+594039.9,
WISEA J070244.15+464917.8,
WISEA J070251.41+705350.5,
WISEA J070343.21+524032.6,
WISEA J070353.00+711112.4,
2MASX J07040123+3236073,
WISEA J070420.64+372320.9,
WISEA J070504.58+343828.3,
2MASX J07060121+4700188,
2MASX J07064143+6551258,
WISEA J070645.69+572210.8,
WISEA J070719.22+374407.8,
2MASX J07071806+5104509,
WISEA J070754.16+492952.9,
WISEA J070808.16+453102.0,
WISEA J070815.05+470032.1,
WISEA J070817.61+401253.4,
WISEA J070849.22+485237.0,
PGC2756957,
WISEA J070922.85+391831.5,
WISEA J070926.95+472611.6,
WISEA J070941.68+292911.6,
WISEA J070950.45+551804.4,
WISEA J071013.03+520033.2,
WISEA J071015.11+640659.2,
WISEA J071130.58+585953.7,
WISEA J071151.87+494936.0,
WISEA J071156.00+613607.4,
WISEA J071228.05+590743.7,
WISEA J071247.48+395604.7,
WISEA J071316.47+385841.4,
WISEA J071336.50+651605.8,
WISEA J071340.18+581527.6,
WISEA J071355.62+503232.1,
WISEA J071359.06+443437.4,
WISEA J071401.55+335601.8,
2MASX J07141308+4339347,
WISEA J071445.98+620737.0,
WISEA J071449.35+373632.8,
WISEA J071448.76+413950.5,
WISEA J071456.95+351751.2,
2MASX J07145993+4539105,
WISEA J071528.35+433229.6,
WISEA J071553.77+580005.8,
2MASX J07155816+7034196,
WISEA J071602.82+552028.4,
2MASX J07165580+3712037,
WISEA J071733.34+373452.9,
WISEA J071800.95+345750.2,
WISEA J071854.61+384043.7,
WISEA J071916.38+760444.7,
WISEA J072110.90+303551.0,
2MASX J07213609+5816256,
PGC 020816,
WISEA J072210.76+451723.6,
WISEA J072321.33+634038.5,
2MASX J07235551+3553563,
2MASX J07240804+4247104,
2MASX J07245518+5540285,
2MASX J07253290+6324022,
2MASX J07254813+3413398,
WISEA J072559.38+440403.8,
2MASX J07260962+3657419,
WISEA J072658.01+391819.4,
2MASX J07270067+5947269,
WISEA J072708.53+373914.4,
WISEA J072815.83+344032.2,
WISEA J072918.91+314626.2,
MCG +10-11-061,
WISEA J073014.70+355106.8,
2MASX J07302301+3952547,
2MASX J07302877+4131228,
WISEA J073033.90+410829.8,
2MASX J07314835+8125506,
WISEA J073211.19+345103.6,
WISEA J073210.88+391052.5,
WISEA J073341.56+580009.2,
2MASX J07334660+6611423,
WISEA J073412.27+370641.5,
WISEA J073447.74+554807.7,
WISEA J073450.71+393136.5,
2MASX J07351767+7115481,
2MASX J07354353+4512375,
2MASX J07375933+3116443,
SDSS J073804.26+472345.3,
2MASX J07383683+4557446,
SDSS J073846.55+423952.3,
2MASX J07395806+4349004,
SDSS J074024.85+461520.2,
WISEA J074133.96+440738.6,
WISEA J074133.83+490325.4,
SDSS J074147.74+433715.3,
2MASX J07421379+6110380,
SDSS J074245.35+312944.1,
2MASS J07424661+4149109,
2MASX J07432022+4530522,
WISEA J074323.78+520554.1,
WISEA J074328.82+442549.5,
2MASX J07440318+3359535,
SDSS J074432.28+462415.7,
SDSS J074640.80+372907.4,
PGC 2784348,
2MASX J07471785+3335004,
WISEA J074748.67+501259.4,
2MASX J07482661+4314222,
SDSS J074835.47+372715.0,
WISEA J074913.18+512821.3,
SDSS J075115.19+333258.3,
WISEA J075115.48+370359.1,
WISEA J075124.45+644844.4,
WISEA J075209.37+335121.3,
2MASX J07521981+3252026,
2MASS J07524439+2943552,
WISEA J075411.08+304919.8,
WISEA J075556.15+623221.1,
WISEA J075610.44+331641.0,
VII Zw 193,
2MASX J07570926+4051535,
2MASX J07581549+4859295,
2MASX J07582824+3001390,
WISEA J075853.18+624046.9,
WISEA J075856.70+313303.6,
VII Zw 196,
2MASX J07591517+6553511,
2MASS J08000066+4153375,
2MASX J08001963+3415155,
WISEA J080025.45+604604.7,
WISEA J080031.02+561237.5,
WISEA J080042.44+713449.3,
2MASX J08013672+3920211,
WISEA J080208.45+622540.8,
WISEA J080250.69+461312.8,
SDSS J080415.94+384646.5,
SDSS J080423.75+341451.0,
WISEA J080614.37+374144.5,
WISEA J080641.79+543207.2,
2MASX J08064394+6317147,
WISEA J080735.20+313259.4,
WISEA J080738.05+694943.1,
SDSS J080746.80+553416.5,
2MASX J08110257+5934512,
2MASX J08114950+6723385,
2MASX J08144285+3526147,
WISEA J081629.93+291559.5,
SDSS J081636.61+293934.6,
WISEA J081659.91+295915.9,
WISEA J081739.69+722638.1,
2MASX J08174317+3621201,
WISEA J081920.45+373951.8,
WISEA J081922.01+731112.1,
WISEA J081940.80+603919.6,
SDSS J082044.02+483020.3,
WISEA J082151.58+644037.0,
WISEA J082216.74+742450.3,
2MASX J08233637+6030144,
WISEA J082339.72+533538.4,
WISEA J082413.85+472138.8,
SDSS J082415.82+532623.8,
WISEA J082456.99+533032.0,
SDSS J082534.48+521641.4,
2MASS J08253995+4656464,
SDSS J082548.71+564625.7,
WISEA J082610.27+714453.2,
WISEA J082621.20+444414.7,
2MASS J08274274+4553339,
WISEA J082804.26+513014.9,
WISEA J082910.37+363540.9,
WISEA J082913.66+311030.8,
WISEA J082940.11+400114.3,
WISEA J082945.87+724628.6,
2MASX J08295496+6317293,
2MASX J08302517+5048483,
WISEA J083053.84+551418.3,
2MASX J08310862+5827065,
WISEA J083151.24+420354.0,
2MASX J08345779+7008101,
SDSS J083511.90+492125.0,
WISEA J083548.97+485756.7,
2MASX J08360671+7110359,
WISEA J083733.51+312640.8,
2MASX J08414420+6037365,
WISEA J084149.49+690633.6,
WISEA J084312.94+384939.0,
SDSS J084434.59+303759.1,
2MASX J08450652+6420096,
WISEA J085256.59+295802.8,
SDSS J085318.39+553619.2,
2MASX J08534055+4128103,
2MASX J08543869+4954295,
SDSS J085501.85+464329.9,
WISEA J085516.68+490500.3,
2MASX J08560425+7917409,
SDSS J085628.92+522318.6,
WISEA J085838.48+351203.6,
2MASX J09000575+4929093,
WISEA J090108.24+321437.5,
WISEA J090127.68+584542.3,
WISEA J090143.57+494712.4,
WISEA J090244.99+674149.6,
2MASS J09030704+6430320,
WISEA J090402.02+434057.4,
SDSS J090406.54+615949.9,
WISEA J090530.58+510234.3,
2MASX J09054907+6139297,
2MASX J09055686+6050276,
WISEA J090614.93+423116.8,
WISEA J090632.20+465606.8,
WISEA J090936.98+831436.7,
CGCG 264-071,Star?
SDSS J091007.39+352502.0,
2MASS J09115429+2934096,
WISEA J091213.17+571943.9,
SDSS J091500.65+362338.1,
VII Zw 268,
2MASS J09153472+5645154,
2MASX J09162413+5440210,
WISEA J091655.37+710504.4,
WISEA J091728.24+674242.6,
WISEA J091740.18+555432.3,
2MASX J09174207+5736575,
2MASS J09192437+2919069,
PGC 2095460,
2MASS J09204246+5646434,
WISEA J092131.03+342313.7,
2MASX J09222547+4144442,
WISEA J092256.11+662558.0,
WISEA J092322.04+523237.5,
SDSS J092343.65+564130.0,
WISEA J092530.39+303029.6,
2MASX J09261503+7832583,
WISEA J092721.77+580744.3,
2MASX J09291673+4814019,
WISEA J093214.83+313843.6,
2MASX J09344959+3746017,
VII Zw 284,
SDSS J093525.71+365949.0,
WISEA J093816.36+832407.3,
WISEA J093914.05+394550.6,
WISEA J093933.85+425337.9,
WISEA J094203.85+691530.3,
2MASX J09421682+3021288,
KUG 0939+411,
WISEA J094306.13+800620.9,
WISEA J094544.92-001142.9,
MRK 1424,
SDSS J094645.45+470708.7,
2MASX J09483877+5026364,
WISEA J094913.99+501151.9,
WISEA J095052.52+581236.9,
WISEA J095105.22+783157.0,
SDSS J095127.29+354805.4,
2MASX J09520255+5624445,
WISEA J095222.16+740133.8,
2MASX J09543806+5753511,
2MASS J09551561+3040339,
SDSS J095537.10+695508.1,
WISEA J095557.44+565343.0,
2MASXi J0956002+464914,
WISEA J095625.99+322305.3,
WISEA J095713.70+410616.3,
WISEA J095716.24+361342.3,
2MASS J09572799+4131485,
2MASX J09585428+7503112,
2MASX J10004040+5341527,
2MASX J10021079+3650449,
2MASS J10053872+4416028,
2MASX J10053924+6052335,
2MASS J10061872+3456408,
2MASX J10065506+3920230,
WISEA J100940.41+314526.7,
2MASX J10105998+3515072,
MCG +11-13-005,
WISEA J101156.39+392235.4,
2MASX J10120065+3334506,
2MASX J10120734+7151079,
2MASS J10125624+5551587,
WISEA J101453.05+334402.4,
2MASX J10155846+7845535,
WISEA J101729.82+755042.6,
2MASX J10180603+7656103,
SDSS J101829.09+372017.9,
WISEA J101930.38+405243.7,
2MASX J10200344+3030222,
2MASS J10214656+4131360,
WISEA J102152.61+413311.9,
WISEPC J102200.74+382914.4,
2MASXi J1022077+395001,
WISEA J102226.93+473632.3,
WISEA J102426.70+653344.9,
WISEA J102510.80+295401.9,
WISEA J102540.51+303505.1,
WISEA J102557.28+390458.4,
WISEA J102613.71+542337.6,
WISEA J102623.75+374426.1,
WISEA J102735.28+734208.9,
WISEA J102801.53+304605.5,
WISEA J102810.55+484655.8,
2MASX J10285020+3923517,
WISEA J102948.83+312751.2,
WISEA J103005.32+673507.6,
WISEA J103421.28+484455.8,
2MASX J10353718+3721260,
GALEXASC J103545.67+315931.2,
WISEA J103546.30+470120.5,
WISEA J103628.99+443936.8,
WISEA J103646.74+571806.4,
WISEA J103652.41+310527.1,
2MASX J10372128+4400121,
SDSS J104139.99+634642.3,
SDSS J104158.76+463926.2,
WISEA J104217.87+780711.2,
WISEA J104312.64+404704.4,
2MASX J10450656+4038356,
WISEA J104506.22+563828.3,
SDSS J104610.41+562837.7,
WISEA J104742.64+333447.0,
WISEA J104822.94+555810.4,
SDSS J104902.03+282957.1,
WISEA J105220.08+451944.7,
2MASS J10540936+5447212,
2MASS J10544177+5222137,
SDSS J105525.63+295140.3,
SDSS J105539.68+602750.8,
2MASS J10573180+4858242,
VII Zw 355,
WISEA J105751.82+303403.4,
2MASX J10590421+6948014,
SDSS J105935.62+405047.9,
WISEA J110013.40+453430.9,
WISEA J110154.54+522913.5,
WISEA J110205.34+562640.8,
2MASS J11031028+6147528,
WISEA J110331.11+613955.0,
WISEA J110346.05+613841.0,
WISEA J110425.35+332413.3,
WISEA J110447.51+353554.7,
SDSS J110502.32+560825.6,
SDSS J110553.21+461434.9,
SDSS J110715.49+652050.5,
SDSS J110726.40+630929.8,
WISEA J110814.38+363759.2,
2MASX J11092124+4425491,
SDSS J110940.00+384100.7,
SDSS J111300.83+313552.2,
SBS 1110+556,
WISEA J111521.12+585219.2,
WISEA J111530.77+405812.5,
WISEA J111550.86+605136.1,
WISEA J111701.41+444547.5,
WISEA J111704.27+291856.1,
SDSS J111828.78+421841.5,
2MASX J11183817+4322263,
WISEA J112003.49+642049.3,
SDSS J112408.33+675921.6,
SDSS J112451.08+332416.2,
WISEA J112540.64+555044.8,
2MASX J11254360+3603209,
2MASX J11290637+4844215,
WISEA J112921.56+584138.3,
2MASX J11302654+3841119,
WISEA J113029.73+430501.1,
SDSSCGB 04903.02,
WISEA J113114.21+484556.9,
WISEA J113226.24+560620.4,
SDSS J113318.86+574845.9,
2MASX J11341966+5631229,
SDSS J113447.12+493641.9,
WISEA J113521.16+301858.3,
2MASX J11365713+5601103,
WISEA J113658.97+565912.4,
WISEA J113835.41+440527.6,
WISEA J114059.74+314940.1,
WISEA J114159.90+713749.9,
SDSS J114225.44+392434.2,
2MASS J11423368+6207299,
2MASX J11445925+3040410,
2MASX J11454458+6531554,
WISEA J114601.07+301409.9,
SDSS J114743.41+301357.3,
WISEA J115327.28+434105.0,
WISEA J115341.24+533616.3,
WISEA J115342.48+534722.1,
WISEA J115648.03+733024.5,
2MASX J11581539+6101208,
WISEA J115855.62+743918.0,
WISEA J120003.30+344853.6,
2MASX J12003006+6627121,
WISEA J120032.33+593425.3,
WISEA J120221.49+512107.1,
WISEA J120230.53+555426.9,
WISEA J120334.26+294151.2,
WISEA J120456.14+663520.9,
2MASX J12052670+6313220,
SDSS J120649.08+314757.5,
2MASX J12071739+6623155,
2MASX J12074970+7733470,
WISEA J120813.25+322614.7,
WISEA J120906.06+315547.1,
2MASX J12090862+6610400,
WISEA J121025.10+632012.7,
SDSS J121112.31+591658.0,
2MASX J12113159+4401324,
2MASX J12122707+4459307,
PGC2612272,
2MASX J12143908+4235212,
SDSS J121837.51+335557.0,
2MASS J12202556+3127338,
WISEA J122531.63+553600.9,
SDSS J122623.81+370446.7,
2MASX J12290220+7451060,
2MASX J12294540+3655319,
2MASX J12334165+5808187,
WISEA J123344.36+663104.0,
2MASX J12335975+4448344,
WISEA J123607.35+403434.6,
WISEA J123730.89+534440.6,
SDSS J123810.50+600103.3,
SDSS J123845.54+464600.9,
SDSS J123916.17+355720.3,
WISEA J124238.91+711317.8,
2MASX J12473557+3805091,
WISEA J124750.05+664817.0,
2MASX J12481792+7929217,
2MASX J12493149+4756069,
WISEA J130030.34+332009.8,
SDSS J130343.87+460730.7,
MCG +10-19-027,
WISEA J130856.12+653121.4,
WISEA J131011.73+651202.8,
WISEA J131131.58+404832.7,
WISEA J131544.79+581341.0,
SDSS J131714.70+461355.2,
WISEA J131755.82+382336.0,
WISEA J132039.30+364103.3,
WISEA J132434.93+545615.2,
WISEA J132456.58+410724.5,
WISEA J132544.79+341415.4,
SDSS J132842.82+432606.2,
2MASX J13291443+5903179,
2MASS J13300461+4543422,
WISEA J133220.21+723951.8,
WISEA J133250.92+670112.1,
SDSS J133315.39+565053.6,
WISEA J133458.12+595649.9,
2MASX J13350710+7300388,
2MASX J13362416+5253242,
WISEA J133635.04+474110.3,
SDSS J133752.03+480837.8,
3C 288,
2MASX J13385204+3615577,
SDSS J134022.56+421523.5,
WISEA J134030.06+325206.5,
SDSS J134048.62+581249.1,
2MASX J13440817+4402443,
2MASS J13444924+6001505,
2MASX J13460688+5250139,
WISEA J134716.72+492259.9,
SDSS J134823.55+565740.1,
2MASX J13500808+3618137,
2MASX J13500915+7721339,
WISEA J135053.80+442136.2,
SDSS J135305.56+505332.4,
SDSS J135553.81+432952.0,
WISEA J135557.97+334329.2,
WISEA J135627.84+351621.3,
SDSS J135730.70+612923.9,
2MASX J13595177+3629076,
2MASX J14031776+6342358,
WISEA J140527.69+505546.5,
WISEA J140532.26+555632.9,
2MASX J14053712+8350253,
LEDA 2787209,
WISEA J140924.81+693347.4,
2MASX J14093270+6622584,
WISEA J140942.90+372014.4,
2MASS J14121014+5452530,
WISEA J141210.47+763141.3,
2MASX J14122312+3646148,
WISEA J141314.76+514507.5,
2MASX J14144395+8437401,
WISEA J141505.96+541315.7,
WISEA J141529.93+394121.6,
WISEA J141609.05+510553.1,
WISEA J141649.73+323749.4,
WISEA J141725.87+402156.0,
WISEA J141904.57+524811.5,
2MASX J14194477+3602066,
2MASX J14201290+5640521,
WISEA J142025.35+632049.5,
WISEA J142212.01+351103.4,
WISEA J142229.18+494132.0,
2MASX J14235084+8316445,
WISEA J142403.89+403829.5,
WISEA J142407.18+532408.9,
2MASS J14244909+6331473,
WISEA J142452.01+301309.8,
SDSS J142512.14+581144.4,
2MASX J14253674+4034499,
WISEA J142538.65+555839.1,
WISEA J142648.32+543918.5,
B2 1429+32A,
WISEA J143123.05+441242.0,
2MASX J14312637+3341335,
2MASX J14313599+7512243,
SDSS J143710.07+562826.3,
SDSS J144205.95+605710.2,
2MASS J14481527+3715586,
WISEA J145314.33+575116.3,
SDSS J145622.82+493725.5,
SDSS J145622.98+503515.6,
MCG +11-18-017,
2MASX J14581594+3832591,
SDSS J145925.55+553613.5,
MCG +09-25-003,
WISEA J145939.14+581810.6,
WISEA J145954.54+413814.7,
SDSSJ150120.93+593505.5,
WISEA J150133.25+551304.0,
SDSS J150301.72+443741.8,
SDSS J150326.48+441414.4,
2MASS J15034451+6227180,
SDSS J150614.15+524259.4,
2MASX J15062751+3427327,
WISEA J150639.30+464521.1,
WISEA J150639.37+820453.6,
B2 1504+34 NED01,
[HKK2009] dJ1508+5515,
2MASX J15101582+5203303,
WISEA J151050.03+674518.5,
2MASS J15150707+4852571,
WISEA J151944.62+301352.7,
WISEA J152049.19+442624.2,
WISEA J152053.21+292632.3,
2MASX J15212836+3036124,
SDSS J152129.34+312306.7,
2MASX J15232087+7148529,
WISEA J152324.02+443308.1,
WISEA J152522.67+733650.2,
WISEA J152706.93+392942.0,
WISEA J152715.70+354055.5,
2MASX J15275626+7628595,
2MASX J15291443+5801450,
WISEA J152923.57+440459.6,
PGC 2046529,
GALEXASC J153121.46+524442.3,
2MASX J15325859+8112296,
CGCG 166-007,
SDSS J153453.31+331559.4,
WISEA J153635.36+460754.8,
WISEA J153731.77+710917.6,
2MASS J15381016+2926022,
WISEA J154004.63+351217.9,
WISEA J154233.06+520939.9,
PGC 2067189,
SDSS J154458.90+355723.1,
WISEA J154701.52+302646.2,
2MASS J15471437+3859335,
PGC 2099181,
WISEA J155458.31+452152.3,
WISEA J155708.98+544355.9,
WISEA J155817.19+454713.4,
2MASS J15582758+6205257,
WISEA J160100.37+331615.6,
WISEA J160108.53+462507.6,
SDSS J160147.57+425044.2,
SDSS J160215.75+471608.1,
2MASX J16081024+5242253,
WISEA J160816.71+302516.9,
WISEA J160828.78+424628.4,
WISEA J160847.64+654141.7,
SDSS J160855.54+581938.0,
2MASS J16111369+5456408,
WISEA J161427.53+343747.6,
WISEA J161517.55+520220.0,
2MASS J16164516+4836016,
WISEA J161712.96+522215.4,
MCG +10-23-055,
B3 1618+425,
2MASX J16202969+5046080,
WISEA J162100.94+345252.7,
2MASS J16213737+4429269,
WISEA J162151.55+672152.0,
WISEA J162502.55+383005.9,
WISEA J162532.20+623824.6,
SDSS J162540.03+365205.2,
SDSS J162555.58+424242.3,
WISEA J162609.52+484107.0,
WISEA J162627.53+372413.1,
2MASX J16264933+5110462,
2MASS J16273220+3930237,
WISEA J162738.94+543129.5,
WISEA J162814.13+391013.2,
MCG +07-34-057,
WISEA J162859.51+482737.9,
2MASX J16290678+5554394,
2MASS J16290571+5713097,
WISEA J162908.34+542728.9,
SDSS J162937.19+544118.8,
